"ID"	"Function"
"njc1"	"[R,R]-2,3-Butanediol ([R,R]-Butanediol, [S,S]-2,3-Butanediol, [S,S]-Butanediol) -- Production"
"njc2"	"1,2-Ethanediol (Ethylene glycol) -- Production"
"njc3"	"1,2-propanediol (Propene diol, Propylene glycol, [R]-1,2-propanediol, [R]-propane-1,2-diol, [S]-1,2-propanediol, [S]-propane-1,2-diol) -- Production"
"njc4"	"4-Aminobutyrate (GABA) -- Production"
"njc5"	"7-Oxodeoxycholic acid -- Production"
"njc6"	"7-Oxolithocholic acid -- Production"
"njc7"	"Acetate -- Consumption"
"njc8"	"Acetate -- Production"
"njc9"	"Acetoin (3-hydroxybutanone, acetyl methyl carbinol, [R]-Acetoin) -- Production"
"njc10"	"Acetone -- Production"
"njc11"	"Adenine -- Consumption"
"njc12"	"Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III]) -- Consumption"
"njc13"	"Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III]) -- Production"
"njc14"	"alpha-Linolenic acid (Omega-3 fatty acid, eicosapentaenoic acid) -- Consumption"
"njc15"	"Arabinan -- Macromolecule"
"njc16"	"Arabinogalactan -- Macromolecule"
"njc17"	"beta-Muricholic acid -- Production"
"njc18"	"Biotin (Vitamin B7) -- Consumption"
"njc19"	"Biotin (Vitamin B7) -- Production"
"njc20"	"Butylamine -- Production"
"njc21"	"Butyrate -- Production"
"njc22"	"Cadaverine -- Production"
"njc23"	"Cellobiose -- Consumption"
"njc24"	"Cellulose (Beta-D-glucan) -- Macromolecule"
"njc25"	"Chenodeoxycholic acid (Chenodeoxycholate) -- Consumption"
"njc26"	"Chenodeoxycholic acid (Chenodeoxycholate) -- Production"
"njc27"	"Cholic acid (Cholate) -- Consumption"
"njc28"	"Cholic acid (Cholate) -- Production"
"njc29"	"Choline -- Consumption"
"njc30"	"Chondroitin 4-sulfate (Chondroitin 6-sulfate) -- Macromolecule"
"njc31"	"Citrate -- Consumption"
"njc32"	"CO2 -- Consumption"
"njc33"	"CO2 -- Production"
"njc34"	"D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose) -- Consumption"
"njc35"	"D-Fructose (Fructose) -- Consumption"
"njc36"	"D-Fructuronate -- Consumption"
"njc37"	"D-Galactose -- Consumption"
"njc38"	"D-Galacturonate -- Consumption"
"njc39"	"D-Gluconate (D-Gluconic acid, Gluconate) -- Consumption"
"njc40"	"D-Glucosamine (Glucosamine) -- Consumption"
"njc41"	"D-Glucose (Glucose) -- Consumption"
"njc42"	"D-Glucuronic acid (D-Glucuronate) -- Consumption"
"njc43"	"D-Lyxose (L-Lyxose) -- Consumption"
"njc44"	"D-Mannitol (Mannitol) -- Consumption"
"njc45"	"D-Mannose (Mannose) -- Consumption"
"njc46"	"D-Psicose -- Consumption"
"njc47"	"D-Ribose (Ribose) -- Consumption"
"njc48"	"D-Sorbitol (D-Glucitol, Sorbitol, Glucitol, L-Sorbitol, Sorbitol) -- Consumption"
"njc49"	"D-Tagatose -- Consumption"
"njc50"	"D-Tagaturonate -- Consumption"
"njc51"	"D-Xylose (Xylose) -- Consumption"
"njc52"	"Deoxycholic acid -- Production"
"njc53"	"Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide) -- Consumption"
"njc54"	"Dimethylamine -- Production"
"njc55"	"Ethanol -- Production"
"njc56"	"Folic acid (Folate, Vitamin B9) -- Consumption"
"njc57"	"Folic acid (Folate, Vitamin B9) -- Production"
"njc58"	"Formaldehyde -- Production"
"njc59"	"Formate -- Consumption"
"njc60"	"Formate -- Production"
"njc61"	"FOS (Fructooligosaccharide) -- Consumption"
"njc62"	"Fructan (Inulin, Levan) -- Macromolecule"
"njc63"	"Fumarate -- Consumption"
"njc64"	"Fumarate -- Production"
"njc65"	"Galactan -- Macromolecule"
"njc66"	"Glycerol -- Consumption"
"njc67"	"Glycochenodeoxycholate -- Consumption"
"njc68"	"Glycocholate -- Consumption"
"njc69"	"Glycodeoxycholate -- Consumption"
"njc70"	"Glycolithocholate -- Consumption"
"njc71"	"H2 (Hydrogen) -- Consumption"
"njc72"	"H2 (Hydrogen) -- Production"
"njc73"	"H2O2 -- Production"
"njc74"	"H2S (HS-) -- Production"
"njc75"	"Hemicellulose, not specified -- Macromolecule"
"njc76"	"Hippurate -- Consumption"
"njc77"	"Histamine -- Production"
"njc78"	"Hyaluronan (Hyaluronate, Hyaluronic acid) -- Macromolecule"
"njc79"	"Indole-3-acetate (Indoleacetate) -- Production"
"njc80"	"Indole -- Production"
"njc81"	"Isobutyrate (2-Methylpropanoic acid) -- Consumption"
"njc82"	"Isobutyrate (2-Methylpropanoic acid) -- Production"
"njc83"	"Isovalerate (3-Methylbutanoic acid) -- Consumption"
"njc84"	"Isovalerate (3-Methylbutanoic acid) -- Production"
"njc85"	"L-Arabitol (L-Arabinitol, D-Arabitol) -- Consumption"
"njc86"	"L-Arginine (Arginine) -- Consumption"
"njc87"	"L-Aspartate (Aspartate, D-Aspartate) -- Consumption"
"njc88"	"L-Cysteine (Cysteine, D-Cysteine) -- Consumption"
"njc89"	"L-Fucose -- Consumption"
"njc90"	"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate) -- Consumption"
"njc91"	"L-Histidine (Histidine) -- Consumption"
"njc92"	"L-Idonate -- Consumption"
"njc93"	"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate) -- Consumption"
"njc94"	"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate) -- Production"
"njc95"	"L-Leucine (Leucine) -- Consumption"
"njc96"	"L-Malate ([S]-Malate, L-Malic acid, Malate, D-Malate, [R]-Malate) -- Consumption"
"njc97"	"L-Methionine (D-Methionine) -- Consumption"
"njc98"	"L-Ornithine (Ornithine) -- Production"
"njc99"	"L-Phenylalanine (Phenylalanine, D-Phenylalanine) -- Consumption"
"njc100"	"L-Rhamnose (Rhamnose, D-Rhamnose) -- Consumption"
"njc101"	"L-Serine (Serine, D-Serine) -- Consumption"
"njc102"	"L-Threonine (Threonine) -- Consumption"
"njc103"	"L-Threonine (Threonine) -- Production"
"njc104"	"L-Tryptophan (Tryptophan) -- Consumption"
"njc105"	"L-Tyrosine (Tyrosine) -- Consumption"
"njc106"	"L-Valine (Valine, D-Valine) -- Consumption"
"njc107"	"Lactose -- Consumption"
"njc108"	"Linoleic acid (Omega-6 fatty acid) -- Consumption"
"njc109"	"Lipoic acid (Lipoate) -- Consumption"
"njc110"	"Lithocholic acid -- Production"
"njc111"	"Maltose -- Consumption"
"njc112"	"Mannan -- Macromolecule"
"njc113"	"Melibiose -- Consumption"
"njc114"	"Menaquinone (Vitamin K2) -- Production"
"njc115"	"Methanol -- Production"
"njc116"	"Methylamine (Monomethylamine) -- Production"
"njc117"	"Mucin (Mucus Glycoprotein) -- Macromolecule"
