"ID"	"ginger_29"	"henry_29"	"joans_29"	"ginger_36"	"grogu_36"	"henry_36"	"joans_36"	"franc_37"	"grogu_37"	"ginger_41"	"grogu_41"	"joans_41"	"marshmallow_41"	"ginger_42"	"grogu_42"	"henry_42"	"ivy_42"	"ophelia_57"	"wolverine_57"	"goose_58"	"wolverine_58"	"goose_59"	"hamlet_59"	"iris_59"	"ophelia_59"	"iris_60"	"wolverine_60"	"hamlet_67"	"hera_67"	"jarjarbinks_68"
"c__Negativicutes"	2948	1939	2136	1920	299	2323	1746	1926	206	2081	366	4146	100	1211	722	2361	1049	1272	1481	2436	2480	2289	1778	1958	994	1223	2518	269	3268	1862
"c__Bacteroidia"	525	977	352	918	173	821	338	985	95	433	84	640	3113	1145	426	867	2325	1890	303	355	228	545	1037	1116	1182	1985	497	3088	131	731
"c__Gammaproteobacteria"	36	422	1129	254	3436	109	1556	97	3579	910	3429	1264	2	1112	2536	31	40	130	1754	905	829	626	270	30	1367	32	292	41	15	615
"c__Clostridia"	419	366	275	597	82	563	208	864	110	344	108	1461	54	269	277	404	331	530	385	144	389	423	723	739	337	643	267	150	478	545
"c__Betaproteobacteria"	66	131	51	195	10	73	146	50	9	156	13	362	280	193	32	199	134	91	36	120	27	101	43	121	60	91	204	344	15	115
"c__Coriobacteriia"	3	139	5	70	0	13	1	53	1	3	0	5	28	40	7	77	24	66	11	10	24	4	69	15	38	10	112	40	88	70
"c__Fusobacteriia"	1	19	49	30	0	95	0	24	0	69	0	113	0	25	0	55	91	7	30	1	19	8	80	19	0	11	79	18	2	54
"c__Actinomycetes"	0	0	0	0	0	0	0	0	0	0	0	0	414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0
"c__Bacilli"	1	6	0	16	0	0	4	0	0	2	0	2	0	2	0	2	2	2	0	22	4	2	0	0	3	0	26	0	0	2
"c__Mollicutes"	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	12	0	0	0	0	0	2	6	4	0	5	0	0
