"ID"	"hera_1"	"wolverine_1"	"hamlet_11"	"hera_11"	"jarjarbinks_11"	"hera_14"	"iris_14"	"jarjarbinks_14"	"kubo_14"	"wolverine_14"	"jarjarbinks_15"	"kubo_15"	"iris_17"	"kubo_17"	"lambchop_17"	"wolverine_17"	"hamlet_18"	"hera_18"	"iris_18"	"jarjarbinks_18"	"kubo_18"	"lambchop_18"	"wolverine_18"	"ophelia_19"	"wolverine_19"	"hera_2"	"jarjarbinks_2"	"lambchop_2"	"goose_20"	"hamlet_20"	"hera_20"	"iris_20"	"korra_20"	"ophelia_20"	"hamlet_21"	"jarjarbinks_21"	"korra_21"	"kubo_21"	"goose_22"	"hamlet_22"	"hera_22"	"iris_22"	"korra_22"	"kubo_22"	"hamlet_23"	"iris_23"	"korra_23"	"goose_24"	"hera_24"	"kubo_24"	"ophelia_24"	"wolverine_24"	"kubo_25"	"lambchop_25"	"jarjarbinks_29"	"korra_29"	"jarjarbinks_3"	"kubo_30"	"hamlet_31"	"jarjarbinks_32"	"goose_37"	"hera_37"	"kubo_37"	"lambchop_37"	"ophelia_37"	"wolverine_37"	"goose_4"	"hamlet_41"	"hera_41"	"goose_42"	"lambchop_42"	"ophelia_43"	"goose_44"	"iris_44"	"jarjarbinks_44"	"lambchop_44"	"hamlet_45"	"hera_45"	"jarjarbinks_45"	"korra_45"	"ophelia_45"	"goose_46"	"hamlet_46"	"iris_46"	"lambchop_46"	"hamlet_48"	"hera_48"	"iris_48"	"jarjarbinks_48"	"korra_48"	"kubo_48"	"lambchop_48"	"ophelia_48"	"wolverine_48"	"iris_49"	"jarjarbinks_49"	"kubo_49"	"ophelia_49"	"wolverine_49"	"jarjarbinks_50"	"korra_50"	"kubo_50"	"lambchop_50"	"ophelia_50"	"wolverine_50"	"lambchop_51"	"goose_52"	"jarjarbinks_52"	"kubo_52"	"hera_53"	"kubo_53"	"iris_55"	"lambchop_55"	"ophelia_55"	"ophelia_57"	"wolverine_57"	"goose_58"	"wolverine_58"	"goose_59"	"hamlet_59"	"iris_59"	"ophelia_59"	"korra_6"	"iris_60"	"wolverine_60"	"hamlet_67"	"hera_67"	"jarjarbinks_68"	"hera_7"	"iris_7"	"korra_9"	"ophelia_9"
"g__Megamonas"	1470	1575	1020	1748	699	1818	823	593	422	1327	1051	1514	924	1514	848	2062	783	705	769	622	1334	1058	1675	777	1263	78	261	13	721	412	393	1569	456	598	1004	491	649	903	721	336	560	1712	617	1057	815	944	693	772	656	1073	1067	2442	421	1382	1050	1142	904	532	1406	932	554	590	1707	365	219	1497	0	2027	1380	607	542	1010	818	1099	43	839	418	410	378	495	1239	198	644	738	1177	501	473	965	439	689	751	871	342	1184	948	373	857	222	1073	405	699	626	1209	95	1570	1299	849	479	364	893	638	1017	665	724	627	1007	674	1812	584	817	404	207	1044	177	1528	70	1747	661	1367	1330	623	1196
"g__Phascolarctobacterium"	809	606	283	290	691	605	455	835	463	582	574	497	877	308	0	298	1326	1015	752	752	767	0	621	1230	495	278	63	203	611	1054	1357	521	726	611	1036	650	710	1021	432	180	1043	465	519	836	1121	568	571	962	964	449	610	345	533	1023	653	390	737	596	567	1302	1027	809	704	767	376	829	0	1593	688	792	1052	745	477	463	81	1214	529	559	189	317	571	913	628	654	575	987	1032	667	663	506	1033	678	924	327	609	693	1045	956	719	760	1209	1157	816	221	380	498	642	1119	581	1309	1113	790	415	692	435	230	724	382	908	654	954	513	1912	713	448	156	549	606	695	1548	381	921
"g__Megasphaera"	310	425	62	140	66	154	202	106	79	307	156	225	578	418	313	445	476	633	540	366	395	1508	592	321	444	64	84	9	983	134	426	617	232	125	394	1273	575	387	560	99	7	697	257	316	428	880	482	408	473	533	152	278	164	323	416	244	758	251	437	1185	442	273	242	573	65	345	0	376	211	729	341	155	1411	418	60	220	203	261	54	439	157	363	397	415	199	399	366	664	406	682	274	1198	154	346	1189	628	429	154	394	1313	405	555	412	29	396	1020	868	961	237	341	496	720	267	90	208	244	920	286	730	299	590	272	357	317	536	41	911	554	707	1731	424	211
"g__Phocaeicola"	260	297	478	277	394	442	231	662	157	83	342	153	186	168	0	538	511	708	320	211	239	0	286	566	244	851	610	789	132	596	660	126	182	326	310	245	155	256	115	132	66	233	178	125	559	114	116	118	905	134	632	235	166	150	152	67	110	46	407	279	66	925	221	65	258	178	1	785	495	56	126	334	17	271	86	52	1323	1250	162	209	382	259	856	331	132	724	690	166	111	83	508	43	919	331	106	144	315	899	369	100	48	280	65	161	154	34	81	93	93	270	328	126	129	348	835	180	50	121	63	593	287	367	503	427	259	2007	71	163	279	158	296	404
"g__Shigella"	2	0	7	174	264	142	0	53	1378	0	91	273	1	133	1194	0	6	3	0	52	12	491	0	1	0	1	2	6	0	1048	27	0	529	1378	358	67	514	142	407	2644	0	0	928	104	19	0	782	55	2	398	14	1	3	57	188	1149	11	68	31	792	97	3	41	169	1683	13	3488	73	27	34	3	74	64	0	18	2	1	5	32	232	31	1	4	113	4	1	22	0	671	370	1	4	11	802	1	109	0	117	255	55	44	18	2	1938	1026	0	1	17	761	27	44	0	10	375	36	1685	205	801	44	106	0	335	9	0	159	7	0	151	0	0	33	0
"g__Oribacterium"	212	177	91	181	69	177	87	166	62	158	190	120	226	221	0	134	226	256	152	260	119	0	198	127	120	79	33	12	460	133	427	222	529	91	165	214	293	147	374	75	155	129	266	99	242	256	253	297	258	356	112	147	54	1	378	107	593	108	160	712	342	312	141	400	63	259	0	978	254	294	107	166	370	197	32	178	117	201	60	237	137	257	222	230	43	386	402	267	331	160	130	168	134	176	274	746	131	166	268	280	203	210	55	23	83	49	249	407	233	289	237	287	42	147	150	164	98	163	295	279	404	144	378	206	117	72	139	315	293	1062	366	192
"g__Segatella"	330	0	4	5	25	17	31	16	20	9	8	19	33	38	0	0	18	17	56	314	107	0	0	35	57	984	112	13	200	9	11	35	249	17	35	286	289	69	375	19	564	37	159	60	15	99	140	386	22	281	24	1	78	734	136	36	210	28	52	513	480	42	243	366	14	11	1	68	27	320	1356	8	68	48	1035	1062	85	56	12	829	24	709	80	63	1304	33	22	47	242	406	512	270	52	24	43	273	506	61	18	214	776	334	952	4	4	777	393	235	598	9	243	32	2077	20	60	6	200	3	330	28	55	128	153	69	13	5	4	303	70	85	618	15
"g__Anaerobiospirillum"	0	0	1	0	25	0	0	0	67	0	0	33	0	129	0	0	0	0	0	912	72	0	2	0	0	0	2	2329	118	1	1	0	0	0	0	303	0	175	117	0	1157	0	0	697	0	1	0	119	0	0	1	0	1982	2	490	0	75	1895	0	606	310	0	0	415	0	0	1	1	0	302	14	0	101	0	835	36	0	0	0	5	0	210	0	0	38	1	1	0	166	2	0	252	0	0	0	117	0	0	0	145	1	0	41	0	0	24	340	39	0	1	1	0	14	0	0	0	394	1	413	0	0	0	1531	0	0	1	1	248	0	0	0	0
"g__Escherichia"	4	0	9	167	167	5	0	0	751	0	1	165	0	78	1552	0	1	0	0	22	4	666	0	3	0	0	1	9	1	23	0	0	362	27	5	31	339	84	256	163	0	0	600	74	23	0	505	35	0	235	1	1	2	110	92	679	5	37	5	380	67	0	26	91	860	0	1873	204	82	19	7	41	36	0	6	3	4	14	16	152	13	0	14	5	6	5	62	0	393	223	0	5	4	7	0	53	0	52	15	30	26	2	13	991	23	1	0	9	441	21	0	0	40	212	22	14	154	3	36	134	0	189	6	0	5	8	1	60	0	0	17	0
"g__Bacteroides"	30	72	77	33	139	36	1168	233	56	350	122	61	233	37	0	83	50	108	268	41	49	0	53	81	238	121	519	46	18	59	94	108	53	85	51	42	20	50	22	27	18	59	35	32	74	27	19	16	75	28	180	38	69	0	27	14	21	17	67	77	17	108	70	15	91	49	0	111	71	14	16	99	6	171	59	11	149	247	43	39	107	54	99	187	27	173	191	126	25	14	127	9	376	83	34	44	61	393	79	30	10	80	7	53	26	5	17	17	44	42	67	70	19	107	234	43	12	34	19	144	94	123	190	409	63	325	20	48	25	69	52	119
