"ID"	"Hera_1"	"Wolverine_1"	"JarJarBinks_3"	"Goose_4"	"Korra_6"	"Hera_7"	"Iris_7"	"Korra_9"	"Hamlet_11"	"Hera_11"	"JarJarBinks_11"	"Hera_14"	"Iris_14"	"JarJarBinks_14"	"Kubo_14"	"Wolverine_14"	"JarJarBinks_15"	"Kubo_15"	"Iris_17"	"Kubo_17"	"Lambchop_17"	"Wolverine_17"	"Hamlet_18"	"Hera_18"	"Iris_18"	"JarJarBinks_18"	"Kubo_18"	"Lambchop_18"	"Wolverine_18"	"Ophelia_19"	"Wolverine_19"	"Goose_20"	"Hamlet_20"	"Hera_20"	"Iris_20"	"Korra_20"	"Ophelia_20"	"Hamlet_21"	"JarJarBinks_21"	"Korra_21"	"Kubo_21"	"Goose_22"	"Hamlet_22"	"Hera_22"	"Iris_22"	"Kubo_22"	"Hamlet_23"	"Iris_23"	"Korra_23"	"Hera_24"	"Kubo_24"	"Ophelia_24"	"Wolverine_24"	"Kubo_25"	"JarJarBinks_29"	"Korra_29"	"Kubo_30"	"Hamlet_31"	"JarJarBinks_32"	"Goose_37"	"Hera_37"	"Kubo_37"	"Lambchop_37"	"Ophelia_37"	"Wolverine_37"	"Hamlet_41"	"Hera_41"	"Goose_42"	"Lambchop_42"	"Ophelia_43"	"Goose_44"	"Iris_44"	"Lambchop_44"	"Hamlet_45"	"Hera_45"	"JarJarBinks_45"	"Korra_45"	"Ophelia_45"	"Goose_46"	"Hamlet_46"	"Iris_46"	"Lambchop_46"	"Hamlet_48"	"Hera_48"	"Iris_48"	"JarJarBinks_48"	"Korra_48"	"Kubo_48"	"Lambchop_48"	"Ophelia_48"	"Wolverine_48"	"Iris_49"	"JarJarBinks_49"	"Kubo_49"	"Ophelia_49"	"Wolverine_49"	"JarJarBinks_50"	"Korra_50"	"Kubo_50"	"Lambchop_50"	"Ophelia_50"	"Wolverine_50"	"Lambchop_51"	"Goose_52"	"JarJarBinks_52"	"Kubo_52"	"Hera_53"	"Kubo_53"	"Iris_55"	"Lambchop_55"	"Ophelia_55"	"Ophelia_57"	"Wolverine_57"	"Goose_58"	"Wolverine_58"	"Goose_59"	"Hamlet_59"	"Iris_59"	"Ophelia_59"	"Iris_60"	"Wolverine_60"	"Hera_67"	"JarJarBinks_68"
"fpt1"	0	0	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0
"fpt2"	0	0	0	0	0.03	0.02	0.01	0.02	0	0.04	0	0	0	0.02	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0.02	0	0	0	0	0.02	0	0.02	0	0	0	0.02	0	0	0	0.02	0	0	0	0.04	0.02	0	0	0	0	0	0	0	0	0.04	0	0	0.02	0.02	0.02	0	0	0	0.02	0	0	0	0	0	0	0	0	0.02	0	0	0.02	0	0	0	0	0	0	0	0	0.04	0	0	0
"fpt3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	1.09	0	0	0	0	0	0	0	0.09	0	0.02	0	0
"fpt4"	0	0	0	0.09	0	0	0	0	0	0.02	0	0	0	0	0.09	0	0	0	0	0	1.38	0	0	0	0	0	0	0.78	0	0	0	0.02	0	0	0	0.04	0	0	0	0	0	0.02	0	0	0	0	0	0	0.09	0	0.02	0	0	0	0	0	0	0.02	0.02	0.02	0	0	0	0.11	0	0	0	0	0.13	0	0	0	0.04	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0.02	0	0.02	0	0	0	0	0	0	0	0	0	0	0.2	0.13	0	0	0	0	0.04	0	0	0	0.49	1.09	0	0	0.47	0	0.04	0	0	0.09	0	0.02	0	0.04
"fpt5"	0	0	0	0.09	0	0	0	0	0	0.02	0	0	0	0	0.09	0	0	0	0	0	1.38	0	0	0	0	0	0	0.78	0	0	0	0.02	0	0	0	0.04	0	0	0	0	0	0.02	0	0	0	0	0	0	0.09	0	0.02	0	0	0	0	0	0	0.02	0.02	0.02	0	0	0	0.11	0	0	0	0	0.13	0	0	0	0.04	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0.02	0	0.02	0	0	0	0	0	0	0	0	0	0	0.2	0.13	0	0	0	0	0.04	0	0	0	0.49	1.09	0	0	0.47	0	0.04	0	0	0.09	0	0.02	0	0.04
"fpt6"	0	0.02	0.07	0	0.21	0.02	0.21	0.04	0	0.09	0	0.07	0.02	0	0.02	0.18	0	0	0.04	0.04	0	0.02	0.02	0.02	0.02	0	0.02	0	0.02	0	0	0.02	0	0.07	0.07	0.33	0.04	0	0.02	0	0	0.04	0.04	0.04	0.07	0.02	0	0	0.09	0	0.09	0.02	0.02	0	0	0	0.04	0.09	0.1	0.18	0.02	0.04	0.16	0.07	0.02	0.18	0.04	0.2	0	0	0.11	0.16	0.07	0.07	0.13	0.02	0.02	0.09	0.09	0.02	0.11	0.02	0.02	0.02	0.16	0.07	0.04	0.13	0.02	0.09	0	0.07	0.42	0.02	0.04	0.09	0.11	0.02	0.2	0.02	0	0.02	0	0.07	0.09	0.02	0	0.11	0.07	0.04	0.04	0.02	0.02	0.04	0	0.09	0.04	0.07	0.09	0.16	0.11	0.02	0.13
"fpt7"	0.02	0.22	0.09	0	0.35	0.09	5.7	0.11	0.04	0.13	0.09	0.07	8.63	0.16	0.11	2.81	0.16	0.02	7.49	0.11	0	0.04	0.07	0.02	10.19	0.04	0.07	0	0.07	0.09	11.25	1.96	0.13	0.13	6.32	0.38	0.2	0.04	0.04	0	0.02	1.11	0.07	2.2	6.25	0.13	0.07	15.5	0.13	0.09	0.18	0.24	0.51	0.04	0	0	0.07	0.24	0.22	1.07	0.13	0.22	1.09	0.09	2.58	0.24	0.11	1.56	0.04	0.07	0.38	7.26	0.11	0.22	0.4	0.02	0.09	0.22	1.78	0.11	7.42	0.09	0.27	0.27	7.43	0.18	0.07	0.53	0.71	0.38	4.49	6.74	0.51	0.11	0.24	2.67	0.16	0.02	0.4	0.02	0.04	0.47	0.02	1.18	0.13	0.29	0.04	0.2	6.27	0.07	0.2	0.44	0.82	0.67	0.64	0.84	0.18	10.62	0.36	11.32	1.62	0.07	0.24
"fpt8"	32	36.51	45.67	95.78	59.32	35.55	52.95	34.99	51.11	31.94	56.59	30.75	60.57	38.75	76.11	36.37	30.01	38.2	52.27	31.48	75.56	24.06	47.78	43.64	54.25	58.11	36.82	52.75	35.84	45.28	45.92	55.21	61.48	54.66	39.69	60.68	60.28	47.57	50.23	55.68	50.2	55.48	80.59	62.38	35.66	54.1	49.79	51.6	60.13	43.63	44.28	32.42	23.14	72.41	53.29	61.93	75.01	30.92	58.32	58.09	38.87	32.93	61.57	80.08	45.39	42.96	35.33	54.76	42.05	42.07	52.17	43.04	44.59	32.24	40.26	73.79	37.64	37.59	52.29	34.35	53.48	26.05	47.17	50.14	46.08	64.13	45.01	40.23	49.84	48.5	50.9	45	53.85	39.23	51.11	47.04	47.79	44.89	46.93	32.91	88.88	47.09	33.36	50.18	55.12	58.79	55.05	47.2	45.75	21.72	56.77	37	61.1	57.7	42.82	59.05	43.55	60.57	64.85	59.92	38.87	28.65	47.32
"fpt9"	2.16	2.53	2.18	1.05	0.94	3.07	2.19	5.13	0.76	0.6	1.02	2.09	1.6	1.11	0.84	0.49	0.76	0.76	0.8	1.69	1.72	0.62	1.29	2.11	1.05	1.96	2.25	3.4	1.07	2.42	0.82	3.2	0.62	0.98	1.51	3.38	1.27	0.84	1.27	1.18	0.51	1.62	0.47	3.42	0.65	0.98	1.25	0.67	2.13	1.18	1.13	1.09	1.04	0.91	1.62	0.73	0.4	2.44	2.47	2.51	1.73	1.36	2.82	0.53	0.89	2.36	2.16	2.96	2.51	1.96	1.09	2.32	1.18	4.16	1.53	0.53	3.53	2.27	6	4.56	2.04	4.76	1.2	1.22	1.67	2.93	2.07	1.53	1.87	1.4	2.36	1.91	2.31	2.94	1.89	4.27	3.2	2.2	2.49	2.76	0.29	2.87	1.94	2.67	1.69	1.98	0.96	0.89	1.93	3.11	1.25	2.29	0.91	3.65	0.69	2.56	1.04	3.05	1.54	2.27	5.12	0.4	6.15
"fpt10"	0.02	0	0	0	0	0	0	0	0	0.02	0	0	0	0.07	0	0	0.02	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0.07	0	0.02	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0.02	0	0	0	0	0.07	0	0	0	0	0	0.07	0	0	0	0	0	0
"fpt11"	0.02	0	0	0	0	0	0	0	0	0.02	0	0	0	0.07	0	0	0.02	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0.07	0	0.02	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0.02	0	0	0	0	0.07	0	0	0	0	0	0.07	0	0	0	0	0	0
"fpt12"	0.04	0	0.22	35.63	0.08	0	0	0.56	0.13	3.31	4.25	0.16	0	0.07	23.53	0	0.2	4.33	0	2.16	31.12	0	0.02	0.02	0	1.07	0.2	12.84	0	0.04	0	0.02	1.56	0.04	0	9.14	2.31	0.69	1.38	8.05	2.23	8.74	6.65	0	0	1.84	0.24	0	12.5	0.04	6.82	0	0	0.07	4.13	17.71	1.25	0.11	7.83	1.89	0	0.89	3.51	34.36	0	0.42	0.29	0.69	0.2	1.6	1.25	0	0.11	0	0.04	0.6	4.76	0.67	0.04	0.02	0.18	0.2	0.02	0.31	0	15.25	7.99	0	0.11	0.24	1.16	0	2.42	0	2.4	0.44	1.29	0.91	0.02	0.24	41.83	1.58	0	0.02	0.38	15.23	0.49	0.04	0	0.73	8.16	0.78	2.53	4.58	1	1	1.69	0	7.39	0	0.2	0	3.21
