"ID"	"ginger_29"	"henry_29"	"joans_29"	"ginger_36"	"grogu_36"	"henry_36"	"joans_36"	"franc_37"	"grogu_37"	"ginger_41"	"grogu_41"	"joans_41"	"marshmallow_41"	"ginger_42"	"grogu_42"	"henry_42"	"ivy_42"	"ophelia_57"	"wolverine_57"	"goose_58"	"wolverine_58"	"goose_59"	"hamlet_59"	"iris_59"	"ophelia_59"	"iris_60"	"wolverine_60"	"hamlet_67"	"hera_67"	"jarjarbinks_68"
"g__Megamonas"	1280	1024	975	838	31	712	891	814	11	535	50	903	23	406	134	1054	397	627	1007	674	1812	584	817	404	207	177	1528	70	1747	661
"g__Phascolarctobacterium"	757	631	947	545	234	1162	443	711	157	948	263	1725	55	436	366	502	448	435	230	724	382	908	654	954	513	713	448	156	549	606
"g__Anaerobiospirillum"	0	0	1102	0	3423	0	1487	74	3546	0	3417	464	0	0	2495	0	0	0	0	394	1	413	1	0	0	0	0	1	0	248
"g__Megasphaera"	911	284	198	536	32	446	389	385	36	598	51	1381	22	369	187	801	203	208	244	920	286	730	299	590	272	318	536	41	911	554
"g__Phocaeicola"	66	286	74	194	110	370	17	176	42	185	49	117	96	379	30	236	1447	835	180	49	121	64	593	287	367	427	259	2007	72	164
"g__Segatella"	343	295	197	470	7	158	226	640	14	112	9	414	1535	342	322	339	0	60	6	200	3	330	28	55	128	69	13	5	4	303
"g__Oribacterium"	313	188	156	411	49	317	126	440	66	213	48	862	33	157	189	220	109	150	164	98	163	295	279	404	144	206	117	72	139	315
"g__Shigella"	1	166	0	102	0	28	0	1	0	398	0	462	1	462	18	0	0	36	1685	204	801	44	105	0	335	0	159	8	0	151
"g__Prevotellamassilia"	0	190	10	0	23	118	31	0	15	59	11	37	1134	198	33	0	0	359	0	40	0	43	182	0	305	0	0	523	18	79
"g__Parabacteroides"	103	152	14	230	10	91	13	65	13	54	8	4	187	155	29	240	133	307	32	16	41	40	66	184	198	492	60	185	15	104
"g__Bacteroides"	10	30	25	15	16	48	5	42	8	12	5	32	99	46	8	22	723	234	43	11	33	19	144	94	125	409	63	329	19	48
"g__Escherichia"	1	237	0	141	0	34	0	1	0	473	0	318	0	626	10	0	1	22	14	154	3	36	134	0	190	0	5	8	1	59
"g__Sutterella"	49	105	47	175	8	54	130	42	8	124	7	319	95	169	20	172	124	74	23	104	12	80	33	77	40	54	99	27	10	99
"g__Blautia"	27	83	41	89	3	59	15	14	1	36	5	68	6	55	24	111	8	114	57	7	48	19	106	20	25	30	24	8	55	50
"g__Wansuia"	35	46	10	29	13	53	25	106	13	31	19	187	3	21	21	25	60	60	47	4	36	32	49	49	25	46	20	10	22	45
"g__Duodenibacillus"	17	26	4	20	2	19	16	8	1	32	6	43	185	24	12	27	10	17	13	16	15	21	10	44	20	37	103	317	5	16
"g__Xylanibacter"	0	0	20	0	0	0	31	37	0	0	0	17	0	0	0	0	0	0	29	25	25	29	0	412	1	339	59	0	0	0
"g__Collinsella"	2	134	4	64	0	13	1	51	1	3	0	5	19	38	7	69	18	61	11	10	21	4	66	15	34	10	109	32	86	68
"g__Enterobacter"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	4	0	794	4	82	0	0	0
"g__Fusobacterium"	1	19	49	30	0	95	0	24	0	69	0	113	0	25	0	55	91	7	30	1	19	8	80	19	0	11	79	18	2	54
"g__Clostridium"	2	5	8	7	5	16	8	76	9	4	16	83	5	2	15	2	13	35	23	6	39	12	42	73	26	72	31	19	54	17
"g__Succinatimonas"	34	18	23	10	3	47	37	21	3	38	3	16	1	24	4	8	37	38	55	31	24	33	21	30	21	26	35	15	13	22
"g__Lacrimispora"	5	16	1	12	4	34	1	30	1	16	5	48	1	7	3	4	71	11	12	2	21	7	28	37	11	54	7	6	34	10
"g__Enterocloster"	14	11	9	9	1	22	7	36	4	7	6	23	3	11	9	7	5	13	13	3	23	12	19	49	15	87	12	2	42	18
"g__Bifidobacterium"	0	0	0	0	0	0	0	0	0	0	0	0	414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0
"g__Allisonella"	0	0	16	0	2	0	18	15	2	0	2	67	0	0	34	0	1	2	0	105	0	58	8	0	1	0	0	1	54	37
"g__Succinivibrio"	0	0	4	0	10	0	32	0	30	0	9	4	0	0	9	0	0	0	0	115	0	100	0	0	0	0	0	0	0	2
"g__Flavonifractor"	0	0	1	0	0	0	0	47	0	0	0	0	1	0	0	0	13	30	16	0	17	0	39	25	21	39	4	16	13	7
"g__Prevotella"	0	0	3	0	0	1	10	3	0	0	0	4	5	0	0	0	0	0	3	8	2	14	0	44	9	131	25	1	0	1
"g__Bilifractor"	5	2	4	19	2	8	8	15	1	6	2	29	0	4	2	9	6	8	5	4	7	9	27	15	6	12	5	1	13	15
"g__Mediterraneibacter"	0	0	6	0	0	1	1	7	0	0	0	10	1	0	0	0	3	28	7	1	5	2	68	3	7	2	0	4	45	1
"g__Faecalicatena"	0	0	12	0	1	0	0	42	1	0	1	1	1	0	2	0	0	27	10	0	8	0	23	6	4	12	3	0	6	18
"g__Pseudomonas"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	1	133
"g__Duncaniella"	1	3	3	2	0	3	0	6	0	1	0	0	17	4	1	6	5	10	2	0	1	0	2	21	6	31	4	5	0	2
"g__Colibacter"	0	0	0	1	0	2	3	1	0	0	0	67	0	0	1	4	0	0	0	8	0	6	0	10	0	14	4	1	4	2
"g__Coprobacter"	0	8	0	0	5	18	0	3	0	6	2	0	2	5	1	0	6	24	4	0	1	0	5	6	4	8	2	12	1	0
"g__Waltera"	8	3	0	2	1	9	1	4	1	10	1	35	0	2	0	6	1	3	3	0	1	0	5	8	4	7	3	2	1	1
"g__Lachnoclostridium"	3	2	2	4	0	4	3	6	0	4	0	14	0	1	1	2	6	3	4	2	4	7	4	10	3	16	2	1	5	6
