"Taxa"	"Hera_2"	"JarJarBinks_2"	"Lambchop_2"	"Goose_4"	"Buddy_16"	"Marshmallow_41"	"JarJarBinks_44"	"Hamlet_67"	"Grogu_70"
"Metabolism|Global and overview maps"	0.385799300996752	0.3779909554306	0.377577035339776	0.365953643615358	0.40173237814101	0.379262145438384	0.383378889354997	0.378679504131117	0.366179511637148
"Metabolism|Carbohydrate metabolism"	0.118140367271224	0.118271241709208	0.118272637583938	0.118046544232846	0.112421583369743	0.117072164828947	0.117727533108784	0.115318559856123	0.122218933890505
"Metabolism|Amino acid metabolism"	0.0636712985075201	0.059877929810799	0.0586300970338246	0.0589204128346781	0.0732995894329539	0.0605272697950348	0.0623509624845749	0.0592410682893215	0.0560865125306441
"Environmental Information Processing|Membrane transport"	0.0575291453502258	0.0505434009496433	0.0441281716457042	0.08621817581987	0.0580325968443388	0.050831101107411	0.0482306767657912	0.0400900995011806	0.0717095950459348
"Environmental Information Processing|Signal transduction"	0.0480021146296404	0.0570040885228909	0.05736464082955	0.040749172714825	0.0354106684617147	0.0580230623704638	0.0544403990529644	0.0606159961151147	0.0485789544388676
"Cellular Processes|Cellular community - prokaryotes"	0.0368870420307464	0.0397639951593235	0.0389815488974598	0.0427535364597109	0.0329058036733998	0.0404881306955047	0.0388410725534871	0.0392898321995018	0.0411203218413059
"Metabolism|Energy metabolism"	0.0354966527293472	0.0348174327117289	0.0352683692823068	0.0366139571155963	0.0354704215298168	0.0348680249530138	0.0353213977326402	0.0349250556961511	0.0374111482339165
"Metabolism|Metabolism of cofactors and vitamins"	0.0361284987832957	0.0338242897046801	0.0372247136715116	0.0328365031620739	0.0368810087822615	0.0341800301700838	0.0361124774208143	0.0363286383832985	0.0357370986270042
"Metabolism|Nucleotide metabolism"	0.0259823440676593	0.0257170612952592	0.0254143686664877	0.0277136313431388	0.0262565816182512	0.025516302960171	0.0252713270717595	0.0254636551247915	0.0255118042397964
"Metabolism|Lipid metabolism"	0.0234734036312526	0.0243848039520056	0.0260988106020221	0.0214229322216169	0.0214334151449769	0.0239636735990748	0.0239906490011117	0.0272499997124172	0.0237368836672159
"Metabolism|Glycan biosynthesis and metabolism"	0.0185270421139261	0.0210927004497136	0.0218081294976263	0.0109675390929205	0.0144329498502284	0.0186948872102351	0.0183615874394962	0.023341317833453	0.0151077994194726
"Genetic Information Processing|Translation"	0.0188114260787512	0.0194351711940874	0.0171942174919922	0.0164046810474127	0.0198432584759089	0.0192081097219236	0.0180085183218915	0.0182112897011894	0.0141230879554169
"Genetic Information Processing|Replication and repair"	0.0178726075068949	0.0187363362203497	0.0173626200610246	0.0171847690977158	0.0182134648115707	0.0185353058672906	0.0178556342120821	0.0179206312924293	0.0156090169697056
"Metabolism|Biosynthesis of other secondary metabolites"	0.013173530468142	0.0149429885705894	0.0143574591534677	0.0115473503961586	0.0129229496646151	0.0147695769082587	0.0143878825069414	0.014258953536242	0.0112299359903782
"Metabolism|Metabolism of other amino acids"	0.0129837123384489	0.0125012211154119	0.0130250365247277	0.0148988314139245	0.0147127482157554	0.0125056924983456	0.0133007781908903	0.012203354188048	0.0144440860372839
"Human Diseases|Drug resistance: Antimicrobial"	0.0118718219936128	0.0123517636112318	0.0139405035214921	0.0154394384637113	0.0108062384417267	0.0129350893649288	0.0132077796865372	0.0131685942046645	0.0158317366088073
"Metabolism|Xenobiotics biodegradation and metabolism"	0.0134280231724426	0.00973215124364382	0.0105207004922176	0.0160205118484475	0.0181701874031911	0.0100784615185272	0.0115709173790857	0.0107469853688497	0.0152753729925493
"Genetic Information Processing|Folding, sorting and degradation"	0.0108397043509277	0.010717957913719	0.0107974620295055	0.00928236723804992	0.011119067831659	0.0104481510515385	0.0104327881478256	0.0110639150378847	0.00984441161609778
"Metabolism|Metabolism of terpenoids and polyketides"	0.00869976152477191	0.00828733970869008	0.00901850824331453	0.0104533900391161	0.00976073147030067	0.00865224891874995	0.00909464856505451	0.00814969204208466	0.0103331223089841
"Cellular Processes|Cell growth and death"	0.00756713883803339	0.00969274970803625	0.00896402388305409	0.0045614212024835	0.00603215304660351	0.00995788239965615	0.00892901180882355	0.00949844266873443	0.00545107843375167
"Human Diseases|Infectious diseases: Bacterial"	0.00483951460874603	0.006269441067959	0.00690220390861172	0.00700681855925665	0.00441454976672888	0.0065512603370808	0.00670367255559441	0.00609507320234004	0.00717995346944841
"Cellular Processes|Cell motility"	0.00329955463212201	0.00326512392785415	0.00523956777060003	0.0106270393094434	0.00222271962534859	0.00375161997119999	0.00437898211714282	0.0043407666785523	0.0104354499643688
"Organismal Systems|Endocrine system"	0.00481017475793733	0.00495461499784816	0.00485995022563286	0.0037788875030273	0.00464762564017133	0.00460075314522488	0.00443745965273368	0.00543091432688581	0.00397097830175031
"Cellular Processes|Transport and catabolism"	0.00337036814805077	0.00457103076120127	0.00469272172862582	0.00176321338032707	0.00180104186974616	0.00390855037026956	0.00356134819350398	0.00530879299190832	0.00279949326285956
"Human Diseases|Cancers: Overview"	0.00297967391827528	0.00324556532471986	0.00365099898015275	0.00375071356673208	0.0027988228376245	0.00320325465386527	0.00330508745586862	0.00354867086395619	0.00378667169107025
"Organismal Systems|Aging"	0.00181150684711103	0.00209887057251621	0.00233006375179024	0.00259067416879922	0.00166163448034065	0.0021583502264203	0.00213026523096139	0.00226082576890244	0.00244976679069951
"Organismal Systems|Immune system"	0.00217926243902144	0.00254927107974347	0.00236756623154049	0.00090286795183648	0.00169607443222961	0.00234179727698867	0.00212967563967472	0.00263807792031596	0.00153950560311542
"Human Diseases|Drug resistance: Antineoplastic"	0.00180946167250089	0.00177640100458551	0.00175095682785226	0.00177139920504755	0.00192151202761968	0.00171955283459548	0.00171103824157359	0.00178775097169867	0.00168870037885573
"Human Diseases|Endocrine and metabolic diseases"	0.00170791981450951	0.00174310296467916	0.00170180232891477	0.00153045573047544	0.00183589899010205	0.00171874791136634	0.00170145004909528	0.00178260780978106	0.00154323316385628
