"ID"	"Function"
"njc1"	"[R,R]-2,3-Butanediol ([R,R]-Butanediol, [S,S]-2,3-Butanediol, [S,S]-Butanediol) -- Production"
"njc2"	"1,2-Ethanediol (Ethylene glycol) -- Production"
"njc3"	"1,2-propanediol (Propene diol, Propylene glycol, [R]-1,2-propanediol, [R]-propane-1,2-diol, [S]-1,2-propanediol, [S]-propane-1,2-diol) -- Consumption"
"njc4"	"1,2-propanediol (Propene diol, Propylene glycol, [R]-1,2-propanediol, [R]-propane-1,2-diol, [S]-1,2-propanediol, [S]-propane-1,2-diol) -- Production"
"njc5"	"4-Aminobutyrate (GABA) -- Production"
"njc6"	"7-Oxodeoxycholic acid -- Production"
"njc7"	"7-Oxolithocholic acid -- Production"
"njc8"	"Acetate -- Consumption"
"njc9"	"Acetate -- Production"
"njc10"	"Acetone -- Production"
"njc11"	"Adenine -- Consumption"
"njc12"	"Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III]) -- Consumption"
"njc13"	"Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III]) -- Production"
"njc14"	"alpha-Linolenic acid (Omega-3 fatty acid, eicosapentaenoic acid) -- Consumption"
"njc15"	"Arabinan -- Macromolecule"
"njc16"	"Arabinogalactan -- Macromolecule"
"njc17"	"beta-Muricholic acid -- Production"
"njc18"	"Biotin (Vitamin B7) -- Consumption"
"njc19"	"Biotin (Vitamin B7) -- Production"
"njc20"	"Butylamine -- Production"
"njc21"	"Butyrate -- Production"
"njc22"	"Cadaverine -- Production"
"njc23"	"Cellobiose -- Consumption"
"njc24"	"Cellulose (Beta-D-glucan) -- Macromolecule"
"njc25"	"Chenodeoxycholic acid (Chenodeoxycholate) -- Consumption"
"njc26"	"Chenodeoxycholic acid (Chenodeoxycholate) -- Production"
"njc27"	"Cholic acid (Cholate) -- Consumption"
"njc28"	"Cholic acid (Cholate) -- Production"
"njc29"	"Choline -- Consumption"
"njc30"	"Chondroitin 4-sulfate (Chondroitin 6-sulfate) -- Macromolecule"
"njc31"	"CO2 -- Consumption"
"njc32"	"CO2 -- Production"
"njc33"	"D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose) -- Consumption"
"njc34"	"D-Fructose (Fructose) -- Consumption"
"njc35"	"D-Fructuronate -- Consumption"
"njc36"	"D-Galactose -- Consumption"
"njc37"	"D-Galacturonate -- Consumption"
"njc38"	"D-Gluconate (D-Gluconic acid, Gluconate) -- Consumption"
"njc39"	"D-Glucosamine (Glucosamine) -- Consumption"
"njc40"	"D-Glucose (Glucose) -- Consumption"
"njc41"	"D-Glucuronic acid (D-Glucuronate) -- Consumption"
"njc42"	"D-Lyxose (L-Lyxose) -- Consumption"
"njc43"	"D-Mannitol (Mannitol) -- Consumption"
"njc44"	"D-Mannose (Mannose) -- Consumption"
"njc45"	"D-Psicose -- Consumption"
"njc46"	"D-Ribose (Ribose) -- Consumption"
"njc47"	"D-Sorbitol (D-Glucitol, Sorbitol, Glucitol, L-Sorbitol, Sorbitol) -- Consumption"
"njc48"	"D-Tagaturonate -- Consumption"
"njc49"	"D-Xylose (Xylose) -- Consumption"
"njc50"	"Deoxycholic acid -- Production"
"njc51"	"Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide) -- Consumption"
"njc52"	"Dimethylamine -- Production"
"njc53"	"Ethanol -- Production"
"njc54"	"Folic acid (Folate, Vitamin B9) -- Production"
"njc55"	"Formaldehyde -- Production"
"njc56"	"Formate -- Consumption"
"njc57"	"Formate -- Production"
"njc58"	"FOS (Fructooligosaccharide) -- Consumption"
"njc59"	"Fructan (Inulin, Levan) -- Macromolecule"
"njc60"	"Fumarate -- Consumption"
"njc61"	"Fumarate -- Production"
"njc62"	"Galactan -- Macromolecule"
"njc63"	"Glycerol -- Consumption"
"njc64"	"Glycochenodeoxycholate -- Consumption"
"njc65"	"Glycocholate -- Consumption"
"njc66"	"Glycodeoxycholate -- Consumption"
"njc67"	"Glycolithocholate -- Consumption"
"njc68"	"H2 (Hydrogen) -- Consumption"
"njc69"	"H2 (Hydrogen) -- Production"
"njc70"	"H2O2 -- Production"
"njc71"	"H2S (HS-) -- Production"
"njc72"	"Hemicellulose, not specified -- Macromolecule"
"njc73"	"Hippurate -- Consumption"
"njc74"	"Histamine -- Production"
"njc75"	"Hyaluronan (Hyaluronate, Hyaluronic acid) -- Macromolecule"
"njc76"	"Indole-3-acetate (Indoleacetate) -- Production"
"njc77"	"Indole -- Production"
"njc78"	"Isobutyrate (2-Methylpropanoic acid) -- Consumption"
"njc79"	"Isobutyrate (2-Methylpropanoic acid) -- Production"
"njc80"	"Isovalerate (3-Methylbutanoic acid) -- Consumption"
"njc81"	"Isovalerate (3-Methylbutanoic acid) -- Production"
"njc82"	"L-Arabitol (L-Arabinitol, D-Arabitol) -- Consumption"
"njc83"	"L-Arginine (Arginine) -- Consumption"
"njc84"	"L-Aspartate (Aspartate, D-Aspartate) -- Consumption"
"njc85"	"L-Cysteine (Cysteine, D-Cysteine) -- Consumption"
"njc86"	"L-Fucose -- Consumption"
"njc87"	"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate) -- Consumption"
"njc88"	"L-Histidine (Histidine) -- Consumption"
"njc89"	"L-Idonate -- Consumption"
"njc90"	"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate) -- Consumption"
"njc91"	"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate) -- Production"
"njc92"	"L-Leucine (Leucine) -- Consumption"
"njc93"	"L-Malate ([S]-Malate, L-Malic acid, Malate, D-Malate, [R]-Malate) -- Consumption"
"njc94"	"L-Methionine (D-Methionine) -- Consumption"
"njc95"	"L-Ornithine (Ornithine) -- Production"
"njc96"	"L-Phenylalanine (Phenylalanine, D-Phenylalanine) -- Consumption"
"njc97"	"L-Rhamnose (Rhamnose, D-Rhamnose) -- Consumption"
"njc98"	"L-Serine (Serine, D-Serine) -- Consumption"
"njc99"	"L-Threonine (Threonine) -- Consumption"
"njc100"	"L-Threonine (Threonine) -- Production"
"njc101"	"L-Tryptophan (Tryptophan) -- Consumption"
"njc102"	"L-Tyrosine (Tyrosine) -- Consumption"
"njc103"	"L-Valine (Valine, D-Valine) -- Consumption"
"njc104"	"Lactose -- Consumption"
"njc105"	"Linoleic acid (Omega-6 fatty acid) -- Consumption"
"njc106"	"Lithocholic acid -- Production"
"njc107"	"Maltose -- Consumption"
"njc108"	"Mannan -- Macromolecule"
"njc109"	"Melibiose -- Consumption"
"njc110"	"Menaquinone (Vitamin K2) -- Production"
"njc111"	"Methanol -- Production"
"njc112"	"Methylamine (Monomethylamine) -- Production"
"njc113"	"Mucin (Mucus Glycoprotein) -- Macromolecule"
"njc114"	"N-Acetyl-D-Glucosamine (N-Acetylglucosamine) -- Consumption"
