"ID"	"Function"
"njc1"	"[R,R]-2,3-Butanediol ([R,R]-Butanediol, [S,S]-2,3-Butanediol, [S,S]-Butanediol) -- Consumption"
"njc2"	"[R,R]-2,3-Butanediol ([R,R]-Butanediol, [S,S]-2,3-Butanediol, [S,S]-Butanediol) -- Production"
"njc3"	"1,2-Ethanediol (Ethylene glycol) -- Production"
"njc4"	"1,2-propanediol (Propene diol, Propylene glycol, [R]-1,2-propanediol, [R]-propane-1,2-diol, [S]-1,2-propanediol, [S]-propane-1,2-diol) -- Consumption"
"njc5"	"1,2-propanediol (Propene diol, Propylene glycol, [R]-1,2-propanediol, [R]-propane-1,2-diol, [S]-1,2-propanediol, [S]-propane-1,2-diol) -- Production"
"njc6"	"1,3-Propanediol -- Production"
"njc7"	"4-Aminobutyrate (GABA) -- Production"
"njc8"	"7-Oxodeoxycholic acid -- Production"
"njc9"	"7-Oxolithocholic acid -- Production"
"njc10"	"Acetate -- Consumption"
"njc11"	"Acetate -- Production"
"njc12"	"Acetoin (3-hydroxybutanone, acetyl methyl carbinol, [R]-Acetoin) -- Production"
"njc13"	"Acetone -- Production"
"njc14"	"Adenine -- Consumption"
"njc15"	"Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III]) -- Consumption"
"njc16"	"Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III]) -- Production"
"njc17"	"alpha-Linolenic acid (Omega-3 fatty acid, eicosapentaenoic acid) -- Consumption"
"njc18"	"Arabinan -- Macromolecule"
"njc19"	"Arabinogalactan -- Macromolecule"
"njc20"	"Benzoate -- Consumption"
"njc21"	"beta-Muricholic acid -- Production"
"njc22"	"Biotin (Vitamin B7) -- Consumption"
"njc23"	"Biotin (Vitamin B7) -- Production"
"njc24"	"Butylamine -- Production"
"njc25"	"Butyrate -- Production"
"njc26"	"Cadaverine -- Production"
"njc27"	"Cellobiose -- Consumption"
"njc28"	"Cellulose (Beta-D-glucan) -- Macromolecule"
"njc29"	"Chenodeoxycholic acid (Chenodeoxycholate) -- Consumption"
"njc30"	"Chenodeoxycholic acid (Chenodeoxycholate) -- Production"
"njc31"	"Cholic acid (Cholate) -- Consumption"
"njc32"	"Cholic acid (Cholate) -- Production"
"njc33"	"Choline -- Consumption"
"njc34"	"Chondroitin 4-sulfate (Chondroitin 6-sulfate) -- Macromolecule"
"njc35"	"Citrate -- Consumption"
"njc36"	"CO2 -- Consumption"
"njc37"	"CO2 -- Production"
"njc38"	"D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose) -- Consumption"
"njc39"	"D-Fructose (Fructose) -- Consumption"
"njc40"	"D-Fructuronate -- Consumption"
"njc41"	"D-Galactose -- Consumption"
"njc42"	"D-Galacturonate -- Consumption"
"njc43"	"D-Gluconate (D-Gluconic acid, Gluconate) -- Consumption"
"njc44"	"D-Glucosamine (Glucosamine) -- Consumption"
"njc45"	"D-Glucose (Glucose) -- Consumption"
"njc46"	"D-Glucuronic acid (D-Glucuronate) -- Consumption"
"njc47"	"D-Lyxose (L-Lyxose) -- Consumption"
"njc48"	"D-Mannitol (Mannitol) -- Consumption"
"njc49"	"D-Mannose (Mannose) -- Consumption"
"njc50"	"D-Psicose -- Consumption"
"njc51"	"D-Ribose (Ribose) -- Consumption"
"njc52"	"D-Sorbitol (D-Glucitol, Sorbitol, Glucitol, L-Sorbitol, Sorbitol) -- Consumption"
"njc53"	"D-Tagatose -- Consumption"
"njc54"	"D-Tagaturonate -- Consumption"
"njc55"	"D-Xylose (Xylose) -- Consumption"
"njc56"	"Deoxycholic acid -- Production"
"njc57"	"Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide) -- Consumption"
"njc58"	"Dimethylamine -- Production"
"njc59"	"Ethanol -- Production"
"njc60"	"Ethanolamine (Phosphatidylethanolamine) -- Consumption"
"njc61"	"Folic acid (Folate, Vitamin B9) -- Production"
"njc62"	"Formaldehyde -- Production"
"njc63"	"Formate -- Consumption"
"njc64"	"Formate -- Production"
"njc65"	"FOS (Fructooligosaccharide) -- Consumption"
"njc66"	"Fructan (Inulin, Levan) -- Macromolecule"
"njc67"	"Fumarate -- Consumption"
"njc68"	"Fumarate -- Production"
"njc69"	"Galactan -- Macromolecule"
"njc70"	"Glycerol -- Consumption"
"njc71"	"Glycochenodeoxycholate -- Consumption"
"njc72"	"Glycocholate -- Consumption"
"njc73"	"Glycodeoxycholate -- Consumption"
"njc74"	"Glycolithocholate -- Consumption"
"njc75"	"H2 (Hydrogen) -- Consumption"
"njc76"	"H2 (Hydrogen) -- Production"
"njc77"	"H2O2 -- Production"
"njc78"	"H2S (HS-) -- Production"
"njc79"	"Hemicellulose, not specified -- Macromolecule"
"njc80"	"Hippurate -- Consumption"
"njc81"	"Histamine -- Production"
"njc82"	"Hyaluronan (Hyaluronate, Hyaluronic acid) -- Macromolecule"
"njc83"	"Indole-3-acetate (Indoleacetate) -- Production"
"njc84"	"Indole -- Production"
"njc85"	"Inositol (myo-Inositol, Inositol 1-phosphate, Myo-inositol phosphate) -- Consumption"
"njc86"	"Isobutyrate (2-Methylpropanoic acid) -- Consumption"
"njc87"	"Isobutyrate (2-Methylpropanoic acid) -- Production"
