"Taxa"	"ginger_29"	"henry_29"	"joans_29"	"ginger_36"	"grogu_36"	"henry_36"	"joans_36"	"franc_37"	"grogu_37"	"ginger_41"	"grogu_41"	"joans_41"	"marshmallow_41"	"ginger_42"	"grogu_42"	"henry_42"	"ivy_42"	"ophelia_57"	"wolverine_57"	"goose_58"	"wolverine_58"	"goose_59"	"hamlet_59"	"iris_59"	"ophelia_59"	"iris_60"	"wolverine_60"	"hamlet_67"	"hera_67"	"jarjarbinks_68"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales"	0.13125	0.24425	0.088	0.2295	0.04325	0.20525	0.0845	0.24625	0.02375	0.10825	0.021	0.08	0.7785	0.28625	0.1065	0.21675	0.58125	0.4725	0.07575	0.08875	0.057	0.13625	0.25925	0.279	0.2965	0.49625	0.12425	0.772	0.033	0.183
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Selenomonadales"	0.32	0.256	0.24375	0.2095	0.00775	0.178	0.22275	0.2035	0.00275	0.13375	0.0125	0.112875	0.00575	0.1015	0.0335	0.2635	0.09925	0.15675	0.25175	0.1685	0.453	0.146	0.20425	0.101	0.05175	0.04425	0.382	0.0175	0.43675	0.16525
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Aeromonadales"	0.0085	0.0045	0.28225	0.0025	0.859	0.01175	0.389	0.02375	0.89475	0.0095	0.85725	0.0605	0.00025	0.006	0.627	0.002	0.00925	0.0095	0.01375	0.135	0.00625	0.1365	0.0055	0.0075	0.00525	0.0065	0.00875	0.004	0.00325	0.068
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Acidaminococcales"	0.18925	0.15775	0.23675	0.13625	0.0585	0.2905	0.11075	0.17775	0.03925	0.237	0.06575	0.215625	0.01375	0.109	0.0915	0.1255	0.112	0.10875	0.0575	0.181	0.0955	0.227	0.1635	0.2385	0.12825	0.17825	0.112	0.039	0.13725	0.1515
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Veillonellales"	0.22775	0.071	0.0535	0.13425	0.0085	0.11225	0.103	0.10025	0.0095	0.1495	0.01325	0.18975	0.0055	0.09225	0.0555	0.20125	0.05125	0.0525	0.061	0.2595	0.0715	0.19925	0.07675	0.15	0.0685	0.08325	0.1355	0.01075	0.243	0.14875
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales"	0.1045	0.0895	0.0615	0.1475	0.01875	0.1355	0.0495	0.18275	0.0245	0.08325	0.02225	0.172	0.01225	0.06675	0.0645	0.10125	0.07075	0.1085	0.084	0.0345	0.081	0.103	0.1555	0.15725	0.068	0.1295	0.05175	0.0285	0.09775	0.12825
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales"	5e-04	0.10075	0	0.061	0	0.0155	0	5e-04	0	0.218	0	0.097625	0.00025	0.27225	0.007	0.00575	0.00025	0.023	0.42475	0.09125	0.201	0.02	0.062	0	0.338	0.0015	0.0635	0.004	0.00025	0.05275
"k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales"	0.0165	0.03275	0.01275	0.04875	0.0025	0.01825	0.0365	0.0125	0.00225	0.03925	0.00325	0.04525	0.07	0.04825	0.008	0.04975	0.0335	0.02275	0.009	0.03	0.00675	0.02525	0.01075	0.03025	0.015	0.02275	0.0505	0.086	0.00375	0.02875
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales"	5e-04	0.002	0.008	0.00175	0.00175	0.00575	0.0025	0.03325	0.003	0.00275	0.00475	0.011375	0.0015	0.00075	0.00475	5e-04	0.01225	0.024	0.01225	0.0025	0.01625	0.00325	0.02525	0.0275	0.017	0.03125	0.01325	0.00925	0.022	0.008
"k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales"	0.00075	0.03475	0.00125	0.0175	0	0.00325	0.00025	0.01325	0.00025	0.00075	0	0.000625	0.00725	0.01	0.00175	0.01925	0.006	0.01625	0.00275	0.0025	0.006	0.001	0.01725	0.00375	0.0095	0.0025	0.028	0.01	0.02225	0.01775
