Run_ID	Full_Seq_ID	Seq_ID	Pipeline	Kit	Sequencer	MinION_Position	Flow_Cell_Type	Flongle_Adapter	Flow_Cell_ID	Run_Date	Loaded_By
MIN_16_2023-12-21	LSK_UNO-CM-001	CM001	16S_LSK	SQK-LSK114 EXP-PBC096	Angel-MinION	MN43747	FLO-MIN114		FAW97410	2023-12-21	SA
MIN_16_2024-2-12	16S_UNO-CM-002	CM002	16S_RAP	SQK-16S024	Angel-MinION	MN43747	FLO-MIN114		FAX08980	2024-02-12	SA
MIN_16_2024-3-6	16S_UNO-CM-003	CM003	16S_RAP	SQK-16S024	Angel-MinION	MN43747	FLO-FLG001	FA-08546	ARM773	2024-03-06	SA
MIN_16_2024-2-29	16S_UNO-CM-004	CM004	16S_RAP	SQK-16S024	Angel-MinION	MN43747	FLO-FLG001	FA-08546	ARL498	2024-02-29	SA
MIN_16_2024-3-1	16S_UNO-CM-005	CM005	16S_RAP	SQK-16S024	Angel-MinION	MN43747	FLO-FLG001	FA-08546	ARM042	2024-03-01	SA
MIN_16_2024-5-19	16S_UNO-CM-006	CM006	16S_RAP	SQK-16S024	Angel-MinION	MN43747	FLO-FLG001	FA-08546	ARM904	2024-05-19	SA
MIN_16_2024-5-21	16S_UNO-CM-007	CM007	16S_RAP	SQK-16S114-24	Angel-MinION	MN43747	FLO-FLG001	FA-08546	AQL192	2024-05-21	SA
MIN_16_2024-6-11	16S_UNO-CM-008	CM008	16S_RAP	SQK-16S114-24	Angel-MinION	MN43747	FLO-FLG114	FA-08546	AUD426	2024-06-11	SA
MIN_16_2024-7-19	16S_UNO-CM-009	CM009	16S_RAP	SQK-16S114-24	Angel-MinION	MN43747	FLO-FLG114	FA-08546	AVI598	2024-07-19	SA
MIN_16_2024-7-21	16S_UNO-CM-010	CM010	16S_RAP	SQK-16S114-24	Angel-MinION	MN43747	FLO-FLG114	FA-08546	AVI583	2024-07-21	SA
MIN_16_2025-1-23	16S_UNO-CM-011	CM011	16S_RAP	SQK-16S114-24	Angel-MinION	MN43747	FLO-FLG114	FA-08546	AWE108	2025-01-23	SA
MIN_16_2025-2-21	16S_UNO-CM-012	CM012	16S_RAP	SQK-16S114-24	Angel-MinION	MN43747	FLO-FLG114	FA-08546	AWI952	2025-02-21	SA
MIN_16_2025-4-1	16S_UNO-CM-013	CM013	16S_RAP	SQK-16S114-24	Angel-MinION	MN43747	FLO-FLG114	FA-08546	AWD252	2025-04-01	SA/TSP
MIN_16_2025-4-2	16S_UNO-CM-014	CM014	16S_RAP	SQK-16S114-24	Angel-MinION	MN43747	FLO-FLG114	FA-08546	AWG208	2025-04-02	SA
