Sequence_ID	Extract_ID	Sample_ID	Seq_ID	Library_Tube	Library_Tube_ID	Library_Barcode	F_Primer	R_Primer	Run_ID	Final_Lib_Conc_ng_uL	Vol_Added_Pool_uL	Full_Seq_ID	Kit	Sequencer	MinION_Position	Flow_Cell_Type	Flongle_Adapter	Flow_Cell_ID	Run_Date	Loaded_By	Pipeline	Extract_Type	Extract_Date	Extracted_By	Extract_Conc_ng_uL	Extract_Kit	Extract_Box	Extract_Notes	Date	Study_Day	Sample_Time	Subject	Sample_Collected_By	Bristol	Sample_Stabilizer	Sample_Box	Sample_Notes	Diet_Trial	Group_Phase	Subj_Day	Group	Room	Cage	Subject_Code	Sex	Housing	Origin	Subj_DOB	Age	Contraception	Previous_Exp	Subject_Notes
PAD-1-MGE-L96	DNA1-PAD-1-MGE	PAD-1-MGE	CM001	2	L96	barcode02	27F	1391R	MIN_16_2023-12-21	12	1.6	LSK_UNO-CM-001	SQK-LSK114 EXP-PBC096	Angel-MinION	MN43747	FLO-MIN114		FAW97410	2023-12-21	SA	16S_LSK	DNA	2023-07-18	SA	91	Quick-DNA Fecal/Soil Microbe	DNA Extracts 4		2023-03-10	1	07:30:00	Padme	SA	4	Molecular Grade (96%) Ethanol	1		run-in	baseline	Padme_1	Group2	RoomF	F3	PAD	Female	Pair	Texas	2018-08-02	4.657534247	Estrumate		euthanized 3/29/23 (renal failure)
GIN-43-DRS-L130	DNA1-GIN-43-DRS	GIN-43-DRS	CM001	3	L130	barcode03	27F	1391R	MIN_16_2023-12-21	4.83	4.1	LSK_UNO-CM-001	SQK-LSK114 EXP-PBC096	Angel-MinION	MN43747	FLO-MIN114		FAW97410	2023-12-21	SA	16S_LSK	DNA	2023-07-28	SA	11	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5		2023-04-21	43	07:30:00	Ginger	SA/GR	2	DNA/RNA Shield	14		intervention_2	gum	Ginger_43	Group2	RoomF	F6	GIN	Female	Pair	Nebraska	2017-01-27	6.117808219	Estrumate	ABX	
CHA-57-DRS-L131	DNA1-CHA-57-DRS	CHA-57-DRS	CM001	4	L131	barcode04	27F	1391R	MIN_16_2023-12-21	7.4	2.7	LSK_UNO-CM-001	SQK-LSK114 EXP-PBC096	Angel-MinION	MN43747	FLO-MIN114		FAW97410	2023-12-21	SA	16S_LSK	DNA	2023-07-28	SA	47	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5		2023-05-05	57	08:00:00	Charles	SA	3	DNA/RNA Shield	21		washout_2	gum-washout	Charles_57	Group2	RoomF	F3	CHA	Male	Pair	Nebraska	2018-12-17	4.230136986			re-paired with bubblegum 3/31/23
HAM-4-DRS-L132	DNA1-HAM-4-DRS	HAM-4-DRS	CM001	5	L132	barcode05	27F	1391R	MIN_16_2023-12-21	5	3.9	LSK_UNO-CM-001	SQK-LSK114 EXP-PBC096	Angel-MinION	MN43747	FLO-MIN114		FAW97410	2023-12-21	SA	16S_LSK	DNA	2023-08-03	SA	88	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5		2023-03-13	4	08:00:00	Hamlet	SA	1	DNA/RNA Shield	1		run-in	baseline	Hamlet_4	Group1	RoomB	B1	HAM	Male	Pair	Nebraska	2017-03-05	6.016438356			
HAM-4-MGE-L133	DNA1-HAM-4-MGE	HAM-4-MGE	CM001	6	L133	barcode06	27F	1391R	MIN_16_2023-12-21	11	1.8	LSK_UNO-CM-001	SQK-LSK114 EXP-PBC096	Angel-MinION	MN43747	FLO-MIN114		FAW97410	2023-12-21	SA	16S_LSK	DNA	2023-08-03	SA	13	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5		2023-03-13	4	08:00:00	Hamlet	SA	1	Molecular Grade (96%) Ethanol	1		run-in	baseline	Hamlet_4	Group1	RoomB	B1	HAM	Male	Pair	Nebraska	2017-03-05	6.016438356			
IRI-36-MGE-L134	DNA1-IRI-36-MGE	IRI-36-MGE	CM001	7	L134	barcode07	27F	1391R	MIN_16_2023-12-21	5.1	3.9	LSK_UNO-CM-001	SQK-LSK114 EXP-PBC096	Angel-MinION	MN43747	FLO-MIN114		FAW97410	2023-12-21	SA	16S_LSK	DNA	2023-08-03	SA	3.81	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5		2023-04-14	36	07:30:00	Iris	SA/GR	3	Molecular Grade (96%) Ethanol	12		washout_1	gum-washout	Iris_36	Group1	RoomB	B4	IRI	Female	Pair	Texas	2016-05-10	6.835616438	Estrumate	ABX-CTRL	
HER-44-DRS-L137	DNA1-HER-44-DRS	HER-44-DRS	CM001	8	L137	barcode08	27F	1391R	MIN_16_2023-12-21	12	1.6	LSK_UNO-CM-001	SQK-LSK114 EXP-PBC096	Angel-MinION	MN43747	FLO-MIN114		FAW97410	2023-12-21	SA	16S_LSK	DNA	2023-08-03	SA	52	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5		2023-04-22	44	07:30:00	Hera	SA	2	DNA/RNA Shield	14		intervention_2	control	Hera_44	Group1	RoomB	B1	HER	Female	Pair	Texas	2019-08-29	3.531506849	Estrumate		
HER-44-MGE-L138	DNA1-HER-44-MGE	HER-44-MGE	CM001	9	L138	barcode09	27F	1391R	MIN_16_2023-12-21	6.2	3.2	LSK_UNO-CM-001	SQK-LSK114 EXP-PBC096	Angel-MinION	MN43747	FLO-MIN114		FAW97410	2023-12-21	SA	16S_LSK	DNA	2023-08-03	SA	9.9	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5		2023-04-22	44	07:30:00	Hera	SA	2	Molecular Grade (96%) Ethanol	14		intervention_2	control	Hera_44	Group1	RoomB	B1	HER	Female	Pair	Texas	2019-08-29	3.531506849	Estrumate		
LAM-70-DRS-L143	DNA1-LAM-70-DRS	LAM-70-DRS	CM001	10	L143	barcode10	27F	1391R	MIN_16_2023-12-21	11	1.8	LSK_UNO-CM-001	SQK-LSK114 EXP-PBC096	Angel-MinION	MN43747	FLO-MIN114		FAW97410	2023-12-21	SA	16S_LSK	DNA	2023-08-03	SA	5.7	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5		2023-05-18	70	07:30:00	Lambchop	SA	3	DNA/RNA Shield	26		washout_2	control-washout	Lambchop_70	Group1	RoomF	F1	LAM	Female	Family	Texas	2017-05-13	5.82739726	Estrumate		
LAM-70-MGE-L144	DNA1-LAM-70-MGE	LAM-70-MGE	CM001	11	L144	barcode11	27F	1391R	MIN_16_2023-12-21	9.6	2	LSK_UNO-CM-001	SQK-LSK114 EXP-PBC096	Angel-MinION	MN43747	FLO-MIN114		FAW97410	2023-12-21	SA	16S_LSK	DNA	2023-08-03	SA	19	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5		2023-05-18	70	07:30:00	Lambchop	SA	3	Molecular Grade (95%) Ethanol	26		washout_2	control-washout	Lambchop_70	Group1	RoomF	F1	LAM	Female	Family	Texas	2017-05-13	5.82739726	Estrumate		
