"","Extract_ID","Sample_ID","Extract_Type","Extract_Date","Extracted_By","Extract_Conc_ng_uL","Extract_Kit","Extract_Box","Extract_Notes"
"1","DNA1-HAM-1-DRS","HAM-1-DRS","DNA",2023-05-16,"SA/AMR","0.245","Quick-DNA Fecal/Soil Microbe","DNA Extracts 1","low"
"2","DNA1-HAM-1-MGE","HAM-1-MGE","DNA",2023-05-16,"SA/AMR","0","Quick-DNA Fecal/Soil Microbe","DNA Extracts 1",""
"3","DNA1-FRA-17-DRS","FRA-17-DRS","DNA",2023-05-16,"SA/AMR","0.0669","Quick-DNA Fecal/Soil Microbe","DNA Extracts 1","low"
"4","DNA1-FRA-17-MGE","FRA-17-MGE","DNA",2023-05-16,"SA/AMR","0","Quick-DNA Fecal/Soil Microbe","DNA Extracts 1",""
"5","DNA1-HER-29-DRS","HER-29-DRS","DNA",2023-05-16,"SA/AMR","0.0532","Quick-DNA Fecal/Soil Microbe","DNA Extracts 1",""
"6","DNA1-HER-29-MGE","HER-29-MGE","DNA",2023-05-16,"SA/AMR","0.00197","Quick-DNA Fecal/Soil Microbe","DNA Extracts 1",""
"7","DNA1-IVY-43-DRS","IVY-43-DRS","DNA",2023-05-16,"SA/AMR","0.0512","Quick-DNA Fecal/Soil Microbe","DNA Extracts 1",""
"8","DNA1-IVY-43-MGE","IVY-43-MGE","DNA",2023-05-16,"SA/AMR","0","Quick-DNA Fecal/Soil Microbe","DNA Extracts 1",""
"9","DNA1-JAR-57-DRS","JAR-57-DRS","DNA",2023-05-16,"SA/AMR","0.159","Quick-DNA Fecal/Soil Microbe","DNA Extracts 1",""
"10","DNA1-JAR-57-MGE","JAR-57-MGE","DNA",2023-05-16,"SA/AMR","0.00233","Quick-DNA Fecal/Soil Microbe","DNA Extracts 1",""
"11","DNA2-HAM-1-DRS","HAM-1-DRS","DNA",2023-05-29,"SA","0.257","Quick-DNA Fecal/Soil Microbe","DNA Extracts 1",""
"12","DNA2-HAM-1-MGE","HAM-1-MGE","DNA",2023-05-29,"SA","0.422","Quick-DNA Fecal/Soil Microbe","DNA Extracts 1",""
"13","DNA2-FRA-17-DRS","FRA-17-DRS","DNA",2023-05-29,"SA","0.189","Quick-DNA Fecal/Soil Microbe","DNA Extracts 1",""
"14","DNA2-FRA-17-MGE","FRA-17-MGE","DNA",2023-05-29,"SA","0.0965","Quick-DNA Fecal/Soil Microbe","DNA Extracts 1",""
"15","DNA2-HER-29-DRS","HER-29-DRS","DNA",2023-05-29,"SA","0.24","Quick-DNA Fecal/Soil Microbe","DNA Extracts 1",""
"16","DNA2-HER-29-MGE","HER-29-MGE","DNA",2023-05-29,"SA","0.459","Quick-DNA Fecal/Soil Microbe","DNA Extracts 1",""
"17","DNA2-IVY-43-DRS","IVY-43-DRS","DNA",2023-05-29,"SA","0.244","Quick-DNA Fecal/Soil Microbe","DNA Extracts 1",""
"18","DNA2-IVY-43-MGE","IVY-43-MGE","DNA",2023-05-29,"SA","0.167","Quick-DNA Fecal/Soil Microbe","DNA Extracts 1",""
"19","DNA2-JAR-57-DRS","JAR-57-DRS","DNA",2023-05-29,"SA","0.6","Quick-DNA Fecal/Soil Microbe","DNA Extracts 1","low"
"20","DNA2-JAR-57-MGE","JAR-57-MGE","DNA",2023-05-29,"SA","0.187","Quick-DNA Fecal/Soil Microbe","DNA Extracts 1",""
"21","DNA3-HAM-1-DRS","HAM-1-DRS","DNA",2023-06-02,"SA","3.45","Quick-DNA Fecal/Soil Microbe","DNA Extracts 1",""
"22","DNA3-HAM-1-MGE","HAM-1-MGE","DNA",2023-06-02,"SA","0.0431","Quick-DNA Fecal/Soil Microbe","DNA Extracts 1",""
"23","DNA3-FRA-17-DRS","FRA-17-DRS","DNA",2023-06-02,"SA","2.31","Quick-DNA Fecal/Soil Microbe","DNA Extracts 1",""
"24","DNA3-FRA-17-MGE","FRA-17-MGE","DNA",2023-06-02,"SA","0.0304","Quick-DNA Fecal/Soil Microbe","DNA Extracts 1",""
"25","DNA3-HER-29-DRS","HER-29-DRS","DNA",2023-06-02,"SA","1.82","Quick-DNA Fecal/Soil Microbe","DNA Extracts 1",""
"26","DNA3-HER-29-MGE","HER-29-MGE","DNA",2023-06-02,"SA","0.107","Quick-DNA Fecal/Soil Microbe","DNA Extracts 1",""
"27","DNA3-IVY-43-DRS","IVY-43-DRS","DNA",2023-06-02,"SA","2.17","Quick-DNA Fecal/Soil Microbe","DNA Extracts 1",""
"28","DNA3-IVY-43-MGE","IVY-43-MGE","DNA",2023-06-02,"SA","0.108","Quick-DNA Fecal/Soil Microbe","DNA Extracts 1",""
"29","DNA3-JAR-57-DRS","JAR-57-DRS","DNA",2023-06-02,"SA","9.3","Quick-DNA Fecal/Soil Microbe","DNA Extracts 1",""
"30","DNA3-JAR-57-MGE","JAR-57-MGE","DNA",2023-06-02,"SA","0.0413","Quick-DNA Fecal/Soil Microbe","DNA Extracts 1",""
"31","DNA1-KOR-3-DRS","KOR-3-DRS","DNA",2023-06-06,"SA","8.9","Quick-DNA Fecal/Soil Microbe","DNA Extracts 1",""
"32","DNA1-KOR-3-MGE","KOR-3-MGE","DNA",2023-06-06,"SA","8.4","Quick-DNA Fecal/Soil Microbe","DNA Extracts 1",""
"33","DNA1-MAR-17-DRS","MAR-17-DRS","DNA",2023-06-06,"SA","5.5","Quick-DNA Fecal/Soil Microbe","DNA Extracts 1",""
"34","DNA1-MAR-17-MGE","MAR-17-MGE","DNA",2023-06-06,"SA","9.4","Quick-DNA Fecal/Soil Microbe","DNA Extracts 1",""
"35","DNA1-WOL-29-DRS","WOL-29-DRS","DNA",2023-06-06,"SA","1.14","Quick-DNA Fecal/Soil Microbe","DNA Extracts 1",""
"36","DNA1-WOL-29-MGE","WOL-29-MGE","DNA",2023-06-06,"SA","2.05","Quick-DNA Fecal/Soil Microbe","DNA Extracts 1",""
"37","DNA1-JOA-43-DRS","JOA-43-DRS","DNA",2023-06-06,"SA","13","Quick-DNA Fecal/Soil Microbe","DNA Extracts 1",""
"38","DNA1-JOA-43-MGE","JOA-43-MGE","DNA",2023-06-06,"SA","6.6","Quick-DNA Fecal/Soil Microbe","DNA Extracts 1",""
"39","DNA1-IRI-57-DRS","IRI-57-DRS","DNA",2023-06-06,"SA","0.98","Quick-DNA Fecal/Soil Microbe","DNA Extracts 1",""
"40","DNA1-IRI-57-MGE","IRI-57-MGE","DNA",2023-06-06,"SA","7.3","Quick-DNA Fecal/Soil Microbe","DNA Extracts 1",""
"41","DNA1-CHA-7-DRS","CHA-7-DRS","DNA",2023-06-15,"SA","16","Quick-DNA Fecal/Soil Microbe","DNA Extracts 1","low"
"42","DNA1-CHA-7-MGE","CHA-7-MGE","DNA",2023-06-15,"SA","10","Quick-DNA Fecal/Soil Microbe","DNA Extracts 1","low"
"43","DNA1-OPH-15-MGE","OPH-15-MGE","DNA",2023-06-15,"SA","3.59","Quick-DNA Fecal/Soil Microbe","DNA Extracts 1",""
