"","Sequence_ID","depth","mean_coverage","Extract_ID","Sample_ID","Seq_ID","Library_Tube","Library_Tube_ID","Library_Barcode","F_Primer","R_Primer","Run_ID","Final_Lib_Conc_ng_uL","Vol_Added_Pool_uL","Full_Seq_ID","Kit","Sequencer","MinION_Position","Flow_Cell_Type","Flongle_Adapter","Flow_Cell_ID","Run_Date","Loaded_By","Pipeline","Extract_Type","Extract_Date","Extracted_By","Extract_Conc_ng_uL","Extract_Kit","Extract_Box","Extract_Notes","Date","Study_Day","Sample_Time","Subject","Sample_Collected_By","Bristol","Sample_Stabilizer","Sample_Box","Sample_Notes","Diet_Trial","Group_Phase","Subj_Day","Group","Room","Cage","Subject_Code","Sex","Housing","Origin","Subj_DOB","Age","Contraception","Previous_Exp","Subject_Notes"
"1","BUD-11-MGE-S206",6505,0.9671,"DNA1-BUD-11-MGE","BUD-11-MGE","CM010",22,"S206","barcode22","27F","1492R","MIN_16_2024-7-21",5.1,0.8,"16S_UNO-CM-010","SQK-16S114-24","Angel-MinION","MN43747","FLO-FLG114","FA-08546","AVI583",2024-07-21,"SA","16S_RAP","DNA",2024-05-07,"SA","7.2","Quick-DNA Fecal/Soil Microbe","DNA Extracts 10","",2023-03-20,"11",08:00:00,"Buddy","SA",3,"Molecular Grade (96%) Ethanol",3,"","baseline","run-in","Buddy_11","Group2","RoomF","F5","BUD","Male","Family","Texas",2016-10-17,6.397260274,"","",""
"2","BUD-16-DRS-L161",23822,0.9223,"DNA1-BUD-16-DRS","BUD-16-DRS","CM001",21,"L161","barcode21","27F","1391R","MIN_16_2023-12-21",8.9,2.2,"LSK_UNO-CM-001","SQK-LSK114 EXP-PBC096","Angel-MinION","MN43747","FLO-MIN114","","FAW97410",2023-12-21,"SA","16S_LSK","DNA",2023-08-08,"SA","27","Quick-DNA Fecal/Soil Microbe","DNA Extracts 6","",2023-03-25,"16",08:00:00,"Buddy","SA",4,"DNA/RNA Shield",3,"","intervention_1","control","Buddy_16","Group2","RoomF","F5","BUD","Male","Family","Texas",2016-10-17,6.397260274,"","",""
"3","BUD-17-MGE-S232",6573,0.9692,"DNA1-BUD-17-MGE","BUD-17-MGE","CM012",2,"S232","barcode02","27F","1492R","MIN_16_2025-2-21",4.96,0.8,"16S_UNO-CM-012","SQK-16S114-24","Angel-MinION","MN43747","FLO-FLG114","FA-08546","AWI952",2025-02-21,"SA","16S_RAP","DNA",2024-05-28,"SA/TSP","14","Quick-DNA Fecal/Soil Microbe","DNA Extracts 11","",2023-03-26,"17",08:00:00,"Buddy","SA",2,"Molecular Grade (96%) Ethanol",4,"","intervention_1","control","Buddy_17","Group2","RoomF","F5","BUD","Male","Family","Texas",2016-10-17,6.397260274,"","",""
"4","BUD-18-MGE-S250",7299,0.9714,"DNA1-BUD-18-MGE","BUD-18-MGE","CM012",20,"S250","barcode20","27F","1492R","MIN_16_2025-2-21",8,0.5,"16S_UNO-CM-012","SQK-16S114-24","Angel-MinION","MN43747","FLO-FLG114","FA-08546","AWI952",2025-02-21,"SA","16S_RAP","DNA",2024-08-07,"SA","1.35","Quick-DNA Fecal/Soil Microbe","DNA Extracts 11","",2023-03-27,"18",07:30:00,"Buddy","SA/GR",2,"Molecular Grade (96%) Ethanol",4,"","intervention_1","control","Buddy_18","Group2","RoomF","F5","BUD","Male","Family","Texas",2016-10-17,6.397260274,"","",""
"5","BUD-21-MGE-S257",9746,0.9586,"DNA1-BUD-21-MGE","BUD-21-MGE","CM013",4,"S257","barcode04","27F","1492R","MIN_16_2025-4-1",5.4,0.7,"16S_UNO-CM-013","SQK-16S114-24","Angel-MinION","MN43747","FLO-FLG114","FA-08546","AWD252",2025-04-01,"SA/TSP","16S_RAP","DNA",2024-08-07,"SA","10","Quick-DNA Fecal/Soil Microbe","DNA Extracts 11","",2023-03-30,"21",07:30:00,"Buddy","SA",3,"Molecular Grade (96%) Ethanol",5,"","intervention_1","control","Buddy_21","Group2","RoomF","F5","BUD","Male","Family","Texas",2016-10-17,6.397260274,"","",""
"6","BUD-28-MGE-S47",3589,0.9576,"DNA1-BUD-28-MGE","BUD-28-MGE","CM004",1,"S47","barcode01","27F","1492R","MIN_16_2024-2-29",7.3,0.6,"16S_UNO-CM-004","SQK-16S024","Angel-MinION","MN43747","FLO-FLG001","FA-08546","ARL498",2024-02-29,"SA","16S_RAP","DNA",2023-11-01,"SA/MB","9.6","Quick-DNA Fecal/Soil Microbe","DNA Extracts 7","",2023-04-06,"28",08:00:00,"Buddy","SA",3,"Molecular Grade (96%) Ethanol",7,"","intervention_1","control","Buddy_28","Group2","RoomF","F5","BUD","Male","Family","Texas",2016-10-17,6.397260274,"","",""
"7","BUD-44-MGE-S192",6708,0.9675,"DNA1-BUD-44-MGE","BUD-44-MGE","CM010",8,"S192","barcode08","27F","1492R","MIN_16_2024-7-21",3.85,1,"16S_UNO-CM-010","SQK-16S114-24","Angel-MinION","MN43747","FLO-FLG114","FA-08546","AVI583",2024-07-21,"SA","16S_RAP","DNA",2024-04-30,"SA","10","Quick-DNA Fecal/Soil Microbe","DNA Extracts 10","",2023-04-22,"44",08:00:00,"Buddy","SA",3,"Molecular Grade (96%) Ethanol",14,"","intervention_2","gum","Buddy_44","Group2","RoomF","F5","BUD","Male","Family","Texas",2016-10-17,6.397260274,"","",""
"8","BUD-45-MGE-S220",6228,0.9691,"DNA1-BUD-45-MGE","BUD-45-MGE","CM011",13,"S220","barcode13","27F","1492R","MIN_16_2025-1-23",5.9,0.7,"16S_UNO-CM-011","SQK-16S114-24","Angel-MinION","MN43747","FLO-FLG114","FA-08546","AWE108",2025-01-23,"SA","16S_RAP","DNA",2024-05-21,"SA","12","Quick-DNA Fecal/Soil Microbe","DNA Extracts 11","",2023-04-23,"45",08:00:00,"Buddy","SA",3,"Molecular Grade (96%) Ethanol",15,"","intervention_2","gum","Buddy_45","Group2","RoomF","F5","BUD","Male","Family","Texas",2016-10-17,6.397260274,"","",""
"9","BUD-46-MGE-S81",30471,0.9622,"DNA1-BUD-46-MGE","BUD-46-MGE","CM005",12,"S81","barcode12","27F","1492R","MIN_16_2024-3-1",3.02,1.3,"16S_UNO-CM-005","SQK-16S024","Angel-MinION","MN43747","FLO-FLG001","FA-08546","ARM042",2024-03-01,"SA","16S_RAP","DNA",2023-12-19,"SA","3.32","Quick-DNA Fecal/Soil Microbe","DNA Extracts 8","",2023-04-24,"46",08:00:00,"Buddy","SA/GR",3,"Molecular Grade (96%) Ethanol",16,"","intervention_2","gum","Buddy_46","Group2","RoomF","F5","BUD","Male","Family","Texas",2016-10-17,6.397260274,"","",""
"10","BUD-48-MGE-S69",10880,0.9514,"DNA1-BUD-48-MGE","BUD-48-MGE","CM004",23,"S69","barcode23","27F","1492R","MIN_16_2024-2-29",4.99,0.8,"16S_UNO-CM-004","SQK-16S024","Angel-MinION","MN43747","FLO-FLG001","FA-08546","ARL498",2024-02-29,"SA","16S_RAP","DNA",2023-11-15,"SA","4.68","Quick-DNA Fecal/Soil Microbe","DNA Extracts 8","",2023-04-26,"48",08:00:00,"Buddy","SA/GR",3,"Molecular Grade (96%) Ethanol",16,"","intervention_2","gum","Buddy_48","Group2","RoomF","F5","BUD","Male","Family","Texas",2016-10-17,6.397260274,"","",""
"11","BUD-50-MGE-S118",8842,0.9574,"DNA1-BUD-50-MGE","BUD-50-MGE","CM007",3,"S118","barcode03","27F","1492R","MIN_16_2024-5-21",4.75,0.8,"16S_UNO-CM-007","SQK-16S114-24","Angel-MinION","MN43747","FLO-FLG001","FA-08546","AQL192",2024-05-21,"SA","16S_RAP","DNA",2024-02-16,"SA","1.25","Quick-DNA Fecal/Soil Microbe","DNA Extracts 9","",2023-04-28,"50",08:00:00,"Buddy","SA/GR",2,"Molecular Grade (96%) Ethanol",18,"","intervention_2","gum","Buddy_50","Group2","RoomF","F5","BUD","Male","Family","Texas",2016-10-17,6.397260274,"","",""
"12","BUD-52-MGE-S144",6468,0.9762,"DNA1-BUD-52-MGE","BUD-52-MGE","CM008",6,"S144","barcode06","27F","1492R","MIN_16_2024-6-11",1.73,2.3,"16S_UNO-CM-008","SQK-16S114-24","Angel-MinION","MN43747","FLO-FLG114","FA-08546","AUD426",2024-06-11,"SA","16S_RAP","DNA",2024-03-25,"SA","4.71","Quick-DNA Fecal/Soil Microbe","DNA Extracts 10","",2023-04-30,"52",08:00:00,"Buddy","SA",4,"Molecular Grade (96%) Ethanol",19,"","intervention_2","gum","Buddy_52","Group2","RoomF","F5","BUD","Male","Family","Texas",2016-10-17,6.397260274,"","",""
"13","BUD-56-MGE-S98",7697,0.9538,"DNA1-BUD-56-MGE","BUD-56-MGE","CM006",6,"S98","barcode06","27F","1492R","MIN_16_2024-5-19",2.35,1.7,"16S_UNO-CM-006","SQK-16S024","Angel-MinION","MN43747","FLO-FLG001","FA-08546","ARM904",2024-05-19,"SA","16S_RAP","DNA",2024-02-02,"SA","34","Quick-DNA Fecal/Soil Microbe","DNA Extracts 9","",2023-05-04,"56",08:00:00,"Buddy","SA",3,"Molecular Grade (96%) Ethanol",21,"","intervention_2","gum","Buddy_56","Group2","RoomF","F5","BUD","Male","Family","Texas",2016-10-17,6.397260274,"","",""
"14","BUD-57-MGE-S165",21682,0.9665,"DNA1-BUD-57-MGE","BUD-57-MGE","CM009",4,"S165","barcode04","27F","1492R","MIN_16_2024-7-19",5.2,0.8,"16S_UNO-CM-009","SQK-16S114-24","Angel-MinION","MN43747","FLO-FLG114","FA-08546","AVI598",2024-07-19,"SA","16S_RAP","DNA",2023-06-20,"SA","3.2","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2","",2023-05-05,"57",08:00:00,"Buddy","SA",3,"Molecular Grade (96%) Ethanol",21,"","washout_2","gum-washout","Buddy_57","Group2","RoomF","F5","BUD","Male","Family","Texas",2016-10-17,6.397260274,"","",""
"15","CHA-44-MGE-S55",3358,0.9658,"DNA1-CHA-44-MGE","CHA-44-MGE","CM004",9,"S55","barcode09","27F","1492R","MIN_16_2024-2-29",8.2,0.5,"16S_UNO-CM-004","SQK-16S024","Angel-MinION","MN43747","FLO-FLG001","FA-08546","ARL498",2024-02-29,"SA","16S_RAP","DNA",2023-11-08,"SA/SK","5.4","Quick-DNA Fecal/Soil Microbe","DNA Extracts 7","",2023-04-22,"44",08:00:00,"Charles","SA",2,"Molecular Grade (96%) Ethanol",14,"","intervention_2","gum","Charles_44","Group2","RoomF","F3","CHA","Male","Pair","Nebraska",2018-12-17,4.230136986,"","","re-paired with bubblegum 3/31/23"
"16","CHA-46-MGE-S38",7415,0.9582,"DNA1-CHA-46-MGE","CHA-46-MGE","CM003",15,"S38","barcode15","27F","1492R","MIN_16_2024-3-6",6.8,0.6,"16S_UNO-CM-003","SQK-16S024","Angel-MinION","MN43747","FLO-FLG001","FA-08546","ARM773",2024-03-06,"SA","16S_RAP","DNA",2023-10-18,"SA/SK","15","Quick-DNA Fecal/Soil Microbe","DNA Extracts 7","",2023-04-24,"46",08:00:00,"Charles","SA/GR",2,"Molecular Grade (96%) Ethanol",16,"","intervention_2","gum","Charles_46","Group2","RoomF","F3","CHA","Male","Pair","Nebraska",2018-12-17,4.230136986,"","","re-paired with bubblegum 3/31/23"
"17","CHA-48-MGE-S286",13226,0.9725,"DNA1-CHA-48-MGE","CHA-48-MGE","CM014",10,"S286","barcode10","27F","1492R","MIN_16_2025-4-2",1.61,2.5,"16S_UNO-CM-014","SQK-16S114-24","Angel-MinION","MN43747","FLO-FLG114","FA-08546","AWG208",2025-04-02,"SA","16S_RAP","DNA",2024-04-30,"SA","100","Quick-DNA Fecal/Soil Microbe","DNA Extracts 10","",2023-04-26,"48",08:00:00,"Charles","SA/GR",3,"Molecular Grade (96%) Ethanol",16,"","intervention_2","gum","Charles_48","Group2","RoomF","F3","CHA","Male","Pair","Nebraska",2018-12-17,4.230136986,"","","re-paired with bubblegum 3/31/23"
"18","CHA-49-MGE-S116",7219,0.9613,"DNA1-CHA-49-MGE","CHA-49-MGE","CM007",1,"S116","barcode01","27F","1492R","MIN_16_2024-5-21",7.2,0.6,"16S_UNO-CM-007","SQK-16S114-24","Angel-MinION","MN43747","FLO-FLG001","FA-08546","AQL192",2024-05-21,"SA","16S_RAP","DNA",2024-02-16,"SA","84","Quick-DNA Fecal/Soil Microbe","DNA Extracts 9","",2023-04-27,"49",08:00:00,"Charles","SA",5,"Molecular Grade (96%) Ethanol",17,"","intervention_2","gum","Charles_49","Group2","RoomF","F3","CHA","Male","Pair","Nebraska",2018-12-17,4.230136986,"","","re-paired with bubblegum 3/31/23"
"19","CHA-50-MGE-S110",10106,0.9586,"DNA1-CHA-50-MGE","CHA-50-MGE","CM006",18,"S110","barcode18","27F","1492R","MIN_16_2024-5-19",3.38,1.2,"16S_UNO-CM-006","SQK-16S024","Angel-MinION","MN43747","FLO-FLG001","FA-08546","ARM904",2024-05-19,"SA","16S_RAP","DNA",2024-02-07,"SA","3.14","Quick-DNA Fecal/Soil Microbe","DNA Extracts 9","",2023-04-28,"50",08:00:00,"Charles","SA/GR",3,"Molecular Grade (96%) Ethanol",18,"","intervention_2","gum","Charles_50","Group2","RoomF","F3","CHA","Male","Pair","Nebraska",2018-12-17,4.230136986,"","","re-paired with bubblegum 3/31/23"
