Sample_ID	Date	Study_Day	Sample_Time	Subject	Sample_Collected_By	Bristol	Sample_Stabilizer	Sample_Box	Sample_Notes	Diet_Trial	Group_Phase	Subj_Day	Known_Repro	Group	Room	Cage	Subject_Code	Sex	Housing	Origin	Subj_DOB	Age	Contraception	Previous_Exp	Subject_Notes	Extract_ID	Extract_Type	Extract_Date	Extracted_By	Extract_Conc_ng_uL	Extract_Kit	Extract_Box	Extract_Notes	Sequence_ID	Seq_ID	Library_Tube	Library_Tube_ID	Library_Barcode	F_Primer	R_Primer	Run_ID	Final_Lib_Conc_ng_uL	Vol_Added_Pool_uL	Full_Seq_ID	Pipeline	Kit	Sequencer	MinION_Position	Flow_Cell_Type	Flongle_Adapter	Flow_Cell_ID	Run_Date	Loaded_By
BUD-3-DRS	2023-03-12	3	07:30:00	Buddy	SA	3	DNA/RNA Shield	1		run-in	baseline	Buddy_3		Group2	RoomF	F5	BUD	Male	Family	Texas	2016-10-17	6.397260274				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BUD-3-MGE	2023-03-12	3	07:30:00	Buddy	SA	3	Molecular Grade (96%) Ethanol	1		run-in	baseline	Buddy_3		Group2	RoomF	F5	BUD	Male	Family	Texas	2016-10-17	6.397260274				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BUD-4-DRS	2023-03-13	4	07:30:00	Buddy	SA	2	DNA/RNA Shield	2		run-in	baseline	Buddy_4		Group2	RoomF	F5	BUD	Male	Family	Texas	2016-10-17	6.397260274				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BUD-4-MGE	2023-03-13	4	07:30:00	Buddy	SA	2	Molecular Grade (96%) Ethanol	2		run-in	baseline	Buddy_4		Group2	RoomF	F5	BUD	Male	Family	Texas	2016-10-17	6.397260274				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BUD-7-DRS	2023-03-16	7	07:30:00	Buddy	SA	5	DNA/RNA Shield	2	blood in stool	run-in	baseline	Buddy_7		Group2	RoomF	F5	BUD	Male	Family	Texas	2016-10-17	6.397260274				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BUD-7-MGE	2023-03-16	7	07:30:00	Buddy	SA	5	Molecular Grade (96%) Ethanol	2	blood in stool	run-in	baseline	Buddy_7		Group2	RoomF	F5	BUD	Male	Family	Texas	2016-10-17	6.397260274				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BUD-9-DRS	2023-03-18	9	08:00:00	Buddy	SA	3	DNA/RNA Shield	3		run-in	baseline	Buddy_9		Group2	RoomF	F5	BUD	Male	Family	Texas	2016-10-17	6.397260274				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BUD-9-MGE	2023-03-18	9	08:00:00	Buddy	SA	3	Molecular Grade (96%) Ethanol	3		run-in	baseline	Buddy_9		Group2	RoomF	F5	BUD	Male	Family	Texas	2016-10-17	6.397260274				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BUD-11-DRS	2023-03-20	11	08:00:00	Buddy	SA	3	DNA/RNA Shield	3		run-in	baseline	Buddy_11		Group2	RoomF	F5	BUD	Male	Family	Texas	2016-10-17	6.397260274				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BUD-11-MGE	2023-03-20	11	08:00:00	Buddy	SA	3	Molecular Grade (96%) Ethanol	3		run-in	baseline	Buddy_11		Group2	RoomF	F5	BUD	Male	Family	Texas	2016-10-17	6.397260274				DNA1-BUD-11-MGE	DNA	2024-05-07	SA	7.2	Quick-DNA Fecal/Soil Microbe	DNA Extracts 10		BUD-11-MGE-S206	CM010	22	S206	barcode22	27F	1492R	MIN_16_2024-7-21	5.1	0.8	16S_UNO-CM-010	16S_RAP	SQK-16S114-24	Angel-MinION	MN43747	FLO-FLG114	FA-08546	AVI583	2024-07-21	SA
BUD-14-DRS	2023-03-23	14	08:00:00	Buddy	SA/GR	3	DNA/RNA Shield	3		run-in	baseline	Buddy_14		Group2	RoomF	F5	BUD	Male	Family	Texas	2016-10-17	6.397260274				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BUD-14-MGE	2023-03-23	14	08:00:00	Buddy	SA/GR	3	Molecular Grade (96%) Ethanol	3		run-in	baseline	Buddy_14		Group2	RoomF	F5	BUD	Male	Family	Texas	2016-10-17	6.397260274				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
