Sample_ID	Subject	Sample_Date	Sample_Collected_By	Group_Phase	Diet_Trial	Sample_Notes	Sample_Box	Bristol	Sample_Time	Sample_Stabilizer
HAM-1-DRS	Hamlet	3/10/23	SA	run-in	baseline		1	1	800	DNA/RNA Shield
HAM-1-MGE	Hamlet	3/10/23	SA	run-in	baseline		1	1	800	Molecular Grade (96%) Ethanol
HER-1-DRS	Hera	3/10/23	SA	run-in	baseline		1	1	800	DNA/RNA Shield
HER-1-MGE	Hera	3/10/23	SA	run-in	baseline		1	1	800	Molecular Grade (96%) Ethanol
JAR-1-DRS	JarJarBinks	3/10/23	SA	run-in	baseline		1	3	800	DNA/RNA Shield
JAR-1-MGE	JarJarBinks	3/10/23	SA	run-in	baseline		1	3	800	Molecular Grade (96%) Ethanol
WOL-1-DRS	Wolverine	3/10/23	SA	run-in	baseline		1	1	800	DNA/RNA Shield
WOL-1-MGE	Wolverine	3/10/23	SA	run-in	baseline		1	1	800	Molecular Grade (96%) Ethanol
IRI-1-DRS	Iris	3/10/23	SA	run-in	baseline		1	2	800	DNA/RNA Shield
IRI-1-MGE	Iris	3/10/23	SA	run-in	baseline		1	2	800	Molecular Grade (96%) Ethanol
GOO-1-DRS	Goose	3/10/23	SA	run-in	baseline		1	2	730	DNA/RNA Shield
GOO-1-MGE	Goose	3/10/23	SA	run-in	baseline		1	2	730	Molecular Grade (96%) Ethanol
LAM-1-DRS	Lambchop	3/10/23	SA	run-in	baseline		1	2	730	DNA/RNA Shield
LAM-1-MGE	Lambchop	3/10/23	SA	run-in	baseline		1	2	730	Molecular Grade (96%) Ethanol
IVY-1-DRS	Ivy	3/10/23	SA	run-in	baseline		1	1	730	DNA/RNA Shield
IVY-1-MGE	Ivy	3/10/23	SA	run-in	baseline		1	1	730	Molecular Grade (96%) Ethanol
PAD-1-DRS	Padme	3/10/23	SA	run-in	baseline		1	4	730	DNA/RNA Shield
PAD-1-MGE	Padme	3/10/23	SA	run-in	baseline		1	4	730	Molecular Grade (96%) Ethanol
JOA-1-DRS	Joans	3/10/23	SA	run-in	baseline		1	1	730	DNA/RNA Shield
JOA-1-MGE	Joans	3/10/23	SA	run-in	baseline		1	1	730	Molecular Grade (96%) Ethanol
GIN-1-DRS	Ginger	3/10/23	SA	run-in	baseline		1	2	730	DNA/RNA Shield
GIN-1-MGE	Ginger	3/10/23	SA	run-in	baseline		1	2	730	Molecular Grade (96%) Ethanol
HAM-2-DRS	Hamlet	3/11/23	SA	run-in	baseline		1	1	800	DNA/RNA Shield
HAM-2-MGE	Hamlet	3/11/23	SA	run-in	baseline		1	1	800	Molecular Grade (96%) Ethanol
HER-2-DRS	Hera	3/11/23	SA	run-in	baseline		1	2	800	DNA/RNA Shield
HER-2-MGE	Hera	3/11/23	SA	run-in	baseline		1	2	800	Molecular Grade (96%) Ethanol
JAR-2-DRS	JarJarBinks	3/11/23	SA	run-in	baseline		1	3	800	DNA/RNA Shield
JAR-2-MGE	JarJarBinks	3/11/23	SA	run-in	baseline		1	3	800	Molecular Grade (96%) Ethanol
OPH-2-DRS	Ophelia	3/11/23	SA	run-in	baseline		1	1	800	DNA/RNA Shield
OPH-2-MGE	Ophelia	3/11/23	SA	run-in	baseline		1	1	800	Molecular Grade (96%) Ethanol
WOL-2-DRS	Wolverine	3/11/23	SA	run-in	baseline		1	1	800	DNA/RNA Shield
WOL-2-MGE	Wolverine	3/11/23	SA	run-in	baseline		1	1	800	Molecular Grade (96%) Ethanol
IRI-2-DRS	Iris	3/11/23	SA	run-in	baseline		1	1	800	DNA/RNA Shield
IRI-2-MGE	Iris	3/11/23	SA	run-in	baseline		1	1	800	Molecular Grade (96%) Ethanol
GOO-2-DRS	Goose	3/11/23	SA	run-in	baseline		1	1	730	DNA/RNA Shield
GOO-2-MGE	Goose	3/11/23	SA	run-in	baseline		1	1	730	Molecular Grade (96%) Ethanol
LAM-2-DRS	Lambchop	3/11/23	SA	run-in	baseline		1	2	730	DNA/RNA Shield
LAM-2-MGE	Lambchop	3/11/23	SA	run-in	baseline		1	2	730	Molecular Grade (96%) Ethanol
IVY-2-DRS	Ivy	3/11/23	SA	run-in	baseline		1	2	730	DNA/RNA Shield
IVY-2-MGE	Ivy	3/11/23	SA	run-in	baseline		1	2	730	Molecular Grade (96%) Ethanol
JOA-2-DRS	Joans	3/11/23	SA	run-in	baseline		1	1	730	DNA/RNA Shield
JOA-2-MGE	Joans	3/11/23	SA	run-in	baseline		1	1	730	Molecular Grade (96%) Ethanol
HEN-2-DRS	Henry	3/11/23	SA	run-in	baseline		1	3	730	DNA/RNA Shield
HEN-2-MGE	Henry	3/11/23	SA	run-in	baseline		1	3	730	Molecular Grade (96%) Ethanol
GIN-2-DRS	Ginger	3/11/23	SA	run-in	baseline		1	3	730	DNA/RNA Shield
GIN-2-MGE	Ginger	3/11/23	SA	run-in	baseline		1	3	730	Molecular Grade (96%) Ethanol
HAM-3-DRS	Hamlet	3/12/23	SA	run-in	baseline		1	1	800	DNA/RNA Shield
HAM-3-MGE	Hamlet	3/12/23	SA	run-in	baseline		1	1	800	Molecular Grade (96%) Ethanol
JAR-3-DRS	JarJarBinks	3/12/23	SA	run-in	baseline		1	1	800	DNA/RNA Shield
JAR-3-MGE	JarJarBinks	3/12/23	SA	run-in	baseline		1	1	800	Molecular Grade (96%) Ethanol
OPH-3-DRS	Ophelia	3/12/23	SA	run-in	baseline		1	1	800	DNA/RNA Shield
OPH-3-MGE	Ophelia	3/12/23	SA	run-in	baseline		1	1	800	Molecular Grade (96%) Ethanol
KUB-3-DRS	Kubo	3/12/23	SA	run-in	baseline		1	1	800	DNA/RNA Shield
KUB-3-MGE	Kubo	3/12/23	SA	run-in	baseline		1	1	800	Molecular Grade (96%) Ethanol
KOR-3-DRS	Korra	3/12/23	SA	run-in	baseline		1	2	800	DNA/RNA Shield
KOR-3-MGE	Korra	3/12/23	SA	run-in	baseline		1	2	800	Molecular Grade (96%) Ethanol
WOL-3-DRS	Wolverine	3/12/23	SA	run-in	baseline		1	1	800	DNA/RNA Shield
WOL-3-MGE	Wolverine	3/12/23	SA	run-in	baseline		1	1	800	Molecular Grade (96%) Ethanol
IRI-3-DRS	Iris	3/12/23	SA	run-in	baseline		1	2	800	DNA/RNA Shield
IRI-3-MGE	Iris	3/12/23	SA	run-in	baseline		1	2	800	Molecular Grade (96%) Ethanol
GOO-3-DRS	Goose	3/12/23	SA	run-in	baseline		1	2	730	DNA/RNA Shield
GOO-3-MGE	Goose	3/12/23	SA	run-in	baseline		1	2	730	Molecular Grade (96%) Ethanol
LAM-3-DRS	Lambchop	3/12/23	SA	run-in	baseline		1	3	730	DNA/RNA Shield
LAM-3-MGE	Lambchop	3/12/23	SA	run-in	baseline		1	3	730	Molecular Grade (96%) Ethanol
FRA-3-DRS	Franc	3/12/23	SA	run-in	baseline		1	2	730	DNA/RNA Shield
FRA-3-MGE	Franc	3/12/23	SA	run-in	baseline		1	2	730	Molecular Grade (96%) Ethanol
IVY-3-DRS	Ivy	3/12/23	SA	run-in	baseline		1	1	730	DNA/RNA Shield
IVY-3-MGE	Ivy	3/12/23	SA	run-in	baseline		1	1	730	Molecular Grade (96%) Ethanol
PAD-3-DRS	Padme	3/12/23	SA	run-in	baseline		1	3	730	DNA/RNA Shield
PAD-3-MGE	Padme	3/12/23	SA	run-in	baseline		1	3	730	Molecular Grade (96%) Ethanol
GRO-3-DRS	Grogu	3/12/23	SA	run-in	baseline		1	2	730	DNA/RNA Shield
GRO-3-MGE	Grogu	3/12/23	SA	run-in	baseline		1	2	730	Molecular Grade (96%) Ethanol
MAR-3-DRS	Marshmallow	3/12/23	SA	run-in	baseline		1	3	730	DNA/RNA Shield
MAR-3-MGE	Marshmallow	3/12/23	SA	run-in	baseline		1	3	730	Molecular Grade (96%) Ethanol
BUD-3-DRS	Buddy	3/12/23	SA	run-in	baseline		1	3	730	DNA/RNA Shield
BUD-3-MGE	Buddy	3/12/23	SA	run-in	baseline		1	3	730	Molecular Grade (96%) Ethanol
JOA-3-DRS	Joans	3/12/23	SA	run-in	baseline		1	2	730	DNA/RNA Shield
