Study_Day	Date	Subject	Diet_Trial	Group_Phase	Group	Bristol	Repro_Status
1	3/10/23	Hamlet	run-in	baseline	Group1	1	
2	3/11/23	Hamlet	run-in	baseline	Group1	1	
3	3/12/23	Hamlet	run-in	baseline	Group1	1	
4	3/13/23	Hamlet	run-in	baseline	Group1	1	
5	3/14/23	Hamlet	run-in	baseline	Group1	1	
6	3/15/23	Hamlet	run-in	baseline	Group1	2	
7	3/16/23	Hamlet	run-in	baseline	Group1	1	
9	3/18/13	Hamlet	run-in	baseline	Group1	2	
11	3/20/23	Hamlet	run-in	baseline	Group1	2	
14	3/23/23	Hamlet	run-in	baseline	Group1	1	
15	3/24/23	Hamlet	intervention_1	gum	Group1	1	
16	3/25/23	Hamlet	intervention_1	gum	Group1	2	
17	3/26/23	Hamlet	intervention_1	gum	Group1	3	
18	3/27/23	Hamlet	intervention_1	gum	Group1	2	
20	3/29/23	Hamlet	intervention_1	gum	Group1	1	
21	3/30/23	Hamlet	intervention_1	gum	Group1	2	
22	3/31/23	Hamlet	intervention_1	gum	Group1	2	
23	4/1/23	Hamlet	intervention_1	gum	Group1	5	
24	4/2/23	Hamlet	intervention_1	gum	Group1	2	
25	4/3/23	Hamlet	intervention_1	gum	Group1	2	
27	4/5/23	Hamlet	intervention_1	gum	Group1	1	
28	4/6/23	Hamlet	intervention_1	gum	Group1	2	
29	4/7/23	Hamlet	washout_1	gum-washout	Group1	1	
30	4/8/23	Hamlet	washout_1	gum-washout	Group1	1	
31	4/9/23	Hamlet	washout_1	gum-washout	Group1	2	
32	4/10/23	Hamlet	washout_1	gum-washout	Group1	2	
33	4/11/23	Hamlet	washout_1	gum-washout	Group1	2	
34	4/12/23	Hamlet	washout_1	gum-washout	Group1	3	
35	4/13/23	Hamlet	washout_1	gum-washout	Group1	2	
36	4/14/23	Hamlet	washout_1	gum-washout	Group1	3	
37	4/15/23	Hamlet	washout_1	gum-washout	Group1	2	
38	4/16/23	Hamlet	washout_1	gum-washout	Group1	2	
39	4/17/23	Hamlet	washout_1	gum-washout	Group1	2	
41	4/19/23	Hamlet	washout_1	gum-washout	Group1	2	
43	4/21/23	Hamlet	intervention_2	control	Group1	2	
44	4/22/23	Hamlet	intervention_2	control	Group1	2	
45	4/23/23	Hamlet	intervention_2	control	Group1	2	
46	4/24/23	Hamlet	intervention_2	control	Group1	2	
48	4/26/23	Hamlet	intervention_2	control	Group1	2	
49	4/27/23	Hamlet	intervention_2	control	Group1	2	
50	4/28/23	Hamlet	intervention_2	control	Group1	2	
52	4/30/23	Hamlet	intervention_2	control	Group1	2	
53	5/1/23	Hamlet	intervention_2	control	Group1	2	
55	5/3/23	Hamlet	intervention_2	control	Group1	1	
56	5/4/23	Hamlet	intervention_2	control	Group1	2	
57	5/5/23	Hamlet	washout_2	control-washout	Group1	2	
58	5/6/23	Hamlet	washout_2	control-washout	Group1	2	
59	5/7/23	Hamlet	washout_2	control-washout	Group1	2	
60	5/8/23	Hamlet	washout_2	control-washout	Group1	2	
61	5/9/23	Hamlet	washout_2	control-washout	Group1	2	
