Sequence_ID	Extract_ID	Sample_ID	Seq_ID	Library_Tube	Library_Tube_ID	Library_Barcode	F_Primer	R_Primer	Run_ID	Final_Lib_Conc_ng_uL	Vol_Added_Pool_uL
PAD-1-MGE-L96	DNA1-PAD-1-MGE	PAD-1-MGE	CM001	2	L96	barcode02	27F	1391R	MIN_16_2023-12-21	12	1.6
GIN-43-DRS-L130	DNA1-GIN-43-DRS	GIN-43-DRS	CM001	3	L130	barcode03	27F	1391R	MIN_16_2023-12-21	4.83	4.1
CHA-57-DRS-L131	DNA1-CHA-57-DRS	CHA-57-DRS	CM001	4	L131	barcode04	27F	1391R	MIN_16_2023-12-21	7.4	2.7
HAM-4-DRS-L132	DNA1-HAM-4-DRS	HAM-4-DRS	CM001	5	L132	barcode05	27F	1391R	MIN_16_2023-12-21	5	3.9
HAM-4-MGE-L133	DNA1-HAM-4-MGE	HAM-4-MGE	CM001	6	L133	barcode06	27F	1391R	MIN_16_2023-12-21	11	1.8
IRI-36-MGE-L134	DNA1-IRI-36-MGE	IRI-36-MGE	CM001	7	L134	barcode07	27F	1391R	MIN_16_2023-12-21	5.1	3.9
HER-44-DRS-L137	DNA1-HER-44-DRS	HER-44-DRS	CM001	8	L137	barcode08	27F	1391R	MIN_16_2023-12-21	12	1.6
HER-44-MGE-L138	DNA1-HER-44-MGE	HER-44-MGE	CM001	9	L138	barcode09	27F	1391R	MIN_16_2023-12-21	6.2	3.2
LAM-70-DRS-L143	DNA1-LAM-70-DRS	LAM-70-DRS	CM001	10	L143	barcode10	27F	1391R	MIN_16_2023-12-21	11	1.8
LAM-70-MGE-L144	DNA1-LAM-70-MGE	LAM-70-MGE	CM001	11	L144	barcode11	27F	1391R	MIN_16_2023-12-21	9.6	2
HER-2-DRS-L145	DNA1-HER-2-DRS	HER-2-DRS	CM001	12	L145	barcode12	27F	1391R	MIN_16_2023-12-21	12	1.6
HER-2-MGE-L146	DNA1-HER-2-MGE	HER-2-MGE	CM001	13	L146	barcode13	27F	1391R	MIN_16_2023-12-21	4.11	4.8
IRI-16-DRS-L147	DNA1-IRI-16-DRS	IRI-16-DRS	CM001	14	L147	barcode14	27F	1391R	MIN_16_2023-12-21	9.8	2
IRI-16-MGE-L148	DNA1-IRI-16-MGE	IRI-16-MGE	CM001	15	L148	barcode15	27F	1391R	MIN_16_2023-12-21	8.8	2.2
GIN-66-DRS-L155	DNA1-GIN-66-DRS	GIN-66-DRS	CM001	16	L155	barcode16	27F	1391R	MIN_16_2023-12-21	7	2.8
WOL-70-DRS-L157	DNA1-WOL-70-DRS	WOL-70-DRS	CM001	17	L157	barcode17	27F	1391R	MIN_16_2023-12-21	10	2
WOL-70-MGE-L158	DNA1-WOL-70-MGE	WOL-70-MGE	CM001	18	L158	barcode18	27F	1391R	MIN_16_2023-12-21	11	1.8
JAR-2-DRS-L159	DNA1-JAR-2-DRS	JAR-2-DRS	CM001	19	L159	barcode19	27F	1391R	MIN_16_2023-12-21	7.7	2.6
JAR-2-MGE-L160	DNA1-JAR-2-MGE	JAR-2-MGE	CM001	20	L160	barcode20	27F	1391R	MIN_16_2023-12-21	7.9	2.5
BUD-16-DRS-L161	DNA1-BUD-16-DRS	BUD-16-DRS	CM001	21	L161	barcode21	27F	1391R	MIN_16_2023-12-21	8.9	2.2
HAM-17-MGE-L175	DNA1-HAM-17-MGE	HAM-17-MGE	CM001	22	L175	barcode22	27F	1391R	MIN_16_2023-12-21	8.2	2.4
CHA-41-DRS-L176	DNA1-CHA-41-DRS	CHA-41-DRS	CM001	23	L176	barcode23	27F	1391R	MIN_16_2023-12-21	9.4	2.1
WOL-44-DRS-L177	DNA1-WOL-44-DRS	WOL-44-DRS	CM001	24	L177	barcode24	27F	1391R	MIN_16_2023-12-21	11	1.8
WOL-44-MGE-L178	DNA1-WOL-44-MGE	WOL-44-MGE	CM001	25	L178	barcode25	27F	1391R	MIN_16_2023-12-21	12	1.6
HER-58-DRS-L179	DNA1-HER-58-DRS	HER-58-DRS	CM001	26	L179	barcode26	27F	1391R	MIN_16_2023-12-21	15	1.3
HER-58-MGE-L180	DNA1-HER-58-MGE	HER-58-MGE	CM001	27	L180	barcode27	27F	1391R	MIN_16_2023-12-21	7.2	2.7
HER-17-MGE-L187	DNA1-HER-17-MGE	HER-17-MGE	CM001	28	L187	barcode28	27F	1391R	MIN_16_2023-12-21	6.4	3.1
IVY-36-MGE-L188	DNA1-IVY-36-MGE	IVY-36-MGE	CM001	29	L188	barcode29	27F	1391R	MIN_16_2023-12-21	11	1.8
GRO-41-DRS-L189	DNA1-GRO-41-DRS	GRO-41-DRS	CM001	30	L189	barcode30	27F	1391R	MIN_16_2023-12-21	2.12	9.3
GRO-41-MGE-L190	DNA1-GRO-41-MGE	GRO-41-MGE	CM001	31	L190	barcode31	27F	1391R	MIN_16_2023-12-21	8.3	2.4
KOR-44-DRS-L191	DNA1-KOR-44-DRS	KOR-44-DRS	CM001	32	L191	barcode32	27F	1391R	MIN_16_2023-12-21	13	1.5
KOR-44-MGE-L192	DNA1-KOR-44-MGE	KOR-44-MGE	CM001	33	L192	barcode33	27F	1391R	MIN_16_2023-12-21	7.1	2.8
MAR-41-MGE-L202	DNA1-MAR-41-MGE	MAR-41-MGE	CM001	34	L202	barcode34	27F	1391R	MIN_16_2023-12-21	4.21	4.7
JAR-44-DRS-L203	DNA1-JAR-44-DRS	JAR-44-DRS	CM001	35	L203	barcode35	27F	1391R	MIN_16_2023-12-21	8.8	2.2
JAR-44-MGE-L204	DNA1-JAR-44-MGE	JAR-44-MGE	CM001	36	L204	barcode36	27F	1391R	MIN_16_2023-12-21	1.97	10
KUB-58-DRS-L205	DNA1-KUB-58-DRS	KUB-58-DRS	CM001	37	L205	barcode37	27F	1391R	MIN_16_2023-12-21	1.2	16.4
KUB-58-MGE-L206	DNA1-KUB-58-MGE	KUB-58-MGE	CM001	38	L206	barcode38	27F	1391R	MIN_16_2023-12-21	3.05	6.4
HAM-67-DRS-L207	DNA1-HAM-67-DRS	HAM-67-DRS	CM001	39	L207	barcode39	27F	1391R	MIN_16_2023-12-21	3.25	6
HAM-67-MGE-L208	DNA1-HAM-67-MGE	HAM-67-MGE	CM001	40	L208	barcode40	27F	1391R	MIN_16_2023-12-21	2.35	8.4
MAR-70-DRS-L209	DNA1-MAR-70-DRS	MAR-70-DRS	CM001	41	L209	barcode41	27F	1391R	MIN_16_2023-12-21	4.68	4.2
GRO-36-MGE-L214	DNA1-GRO-36-MGE	GRO-36-MGE	CM001	42	L214	barcode42	27F	1391R	MIN_16_2023-12-21	9.2	2.1
KOR-58-MGE-L215	DNA1-KOR-58-MGE	KOR-58-MGE	CM001	43	L215	barcode43	27F	1391R	MIN_16_2023-12-21	3.33	5.9
GRO-70-DRS-L217	DNA1-GRO-70-DRS	GRO-70-DRS	CM001	44	L217	barcode44	27F	1391R	MIN_16_2023-12-21	3.51	5.6
LAM-2-DRS-L218	DNA1-LAM-2-DRS	LAM-2-DRS	CM001	45	L218	barcode45	27F	1391R	MIN_16_2023-12-21	1.65	11.9
LAM-2-MGE-L219	DNA1-LAM-2-MGE	LAM-2-MGE	CM001	46	L219	barcode46	27F	1391R	MIN_16_2023-12-21	1.21	16.2
JAR-3-DRS-L220	DNA1-JAR-3-DRS	JAR-3-DRS	CM001	47	L220	barcode47	27F	1391R	MIN_16_2023-12-21	4.14	4.7
JAR-3-MGE-L221	DNA1-JAR-3-MGE	JAR-3-MGE	CM001	48	L221	barcode48	27F	1391R	MIN_16_2023-12-21	2.19	9
GOO-4-DRS-L222	DNA1-GOO-4-DRS	GOO-4-DRS	CM001	49	L222	barcode49	27F	1391R	MIN_16_2023-12-21	10	2
GOO-4-MGE-L223	DNA1-GOO-4-MGE	GOO-4-MGE	CM001	50	L223	barcode50	27F	1391R	MIN_16_2023-12-21	1.6	12.3
MAR-37-MGE-L224	DNA1-MAR-37-MGE	MAR-37-MGE	CM001	51	L224	barcode51	27F	1391R	MIN_16_2023-12-21	1.94	10.1
JOA-3-MGE-L225	DNA1-JOA-3-MGE	JOA-3-MGE	CM001	52	L225	barcode52	27F	1391R	MIN_16_2023-12-21	4.64	4.2
IRI-16-MGE-S1	DNA1-IRI-16-MGE	IRI-16-MGE	CM002	1	S1	barcode01	27F	1492R	MIN_16_2024-2-12	7.2	0.6
WOL-70-MGE-S2	DNA1-WOL-70-MGE	WOL-70-MGE	CM002	2	S2	barcode02	27F	1492R	MIN_16_2024-2-12	4.55	0.9
JAR-2-DRS-S3	DNA1-JAR-2-DRS	JAR-2-DRS	CM002	3	S3	barcode03	27F	1492R	MIN_16_2024-2-12	7.4	0.5
JAR-2-MGE-S4	DNA1-JAR-2-MGE	JAR-2-MGE	CM002	4	S4	barcode04	27F	1492R	MIN_16_2024-2-12	8.9	0.5
HAM-17-MGE-S5	DNA1-HAM-17-MGE	HAM-17-MGE	CM002	5	S5	barcode05	27F	1492R	MIN_16_2024-2-12	1.64	2.4
WOL-44-MGE-S6	DNA1-WOL-44-MGE	WOL-44-MGE	CM002	6	S6	barcode06	27F	1492R	MIN_16_2024-2-12	7.2	0.6
GRO-41-MGE-S7	DNA1-GRO-41-MGE	GRO-41-MGE	CM002	7	S7	barcode07	27F	1492R	MIN_16_2024-2-12	6.9	0.6
KOR-44-MGE-S8	DNA1-KOR-44-MGE	KOR-44-MGE	CM002	8	S8	barcode08	27F	1492R	MIN_16_2024-2-12	2.79	1.4
MAR-41-MGE-S9	DNA1-MAR-41-MGE	MAR-41-MGE	CM002	9	S9	barcode09	27F	1492R	MIN_16_2024-2-12	7.9	0.5
JAR-44-MGE-S10	DNA1-JAR-44-MGE	JAR-44-MGE	CM002	10	S10	barcode10	27F	1492R	MIN_16_2024-2-12	2.21	1.8
KUB-58-MGE-S11	DNA1-KUB-58-MGE	KUB-58-MGE	CM002	11	S11	barcode11	27F	1492R	MIN_16_2024-2-12	6.5	0.6
HAM-67-MGE-S12	DNA1-HAM-67-MGE	HAM-67-MGE	CM002	12	S12	barcode12	27F	1492R	MIN_16_2024-2-12	7.5	0.5
GRO-36-MGE-S13	DNA1-GRO-36-MGE	GRO-36-MGE	CM002	13	S13	barcode13	27F	1492R	MIN_16_2024-2-12	6.5	0.6
KOR-58-MGE-S14	DNA1-KOR-58-MGE	KOR-58-MGE	CM002	14	S14	barcode14	27F	1492R	MIN_16_2024-2-12	7.2	0.6
GRO-70-DRS-S15	DNA1-GRO-70-DRS	GRO-70-DRS	CM002	15	S15	barcode15	27F	1492R	MIN_16_2024-2-12	7.3	0.6
LAM-2-DRS-S16	DNA1-LAM-2-DRS	LAM-2-DRS	CM002	16	S16	barcode16	27F	1492R	MIN_16_2024-2-12	8	0.5
LAM-2-MGE-S17	DNA1-LAM-2-MGE	LAM-2-MGE	CM002	17	S17	barcode17	27F	1492R	MIN_16_2024-2-12	5.6	0.7
JAR-3-DRS-S18	DNA1-JAR-3-DRS	JAR-3-DRS	CM002	18	S18	barcode18	27F	1492R	MIN_16_2024-2-12	5.6	0.7
JAR-3-MGE-S19	DNA1-JAR-3-MGE	JAR-3-MGE	CM002	19	S19	barcode19	27F	1492R	MIN_16_2024-2-12	4.96	0.8
GOO-4-DRS-S20	DNA1-GOO-4-DRS	GOO-4-DRS	CM002	20	S20	barcode20	27F	1492R	MIN_16_2024-2-12	7.9	0.5
GOO-4-MGE-S21	DNA1-GOO-4-MGE	GOO-4-MGE	CM002	21	S21	barcode21	27F	1492R	MIN_16_2024-2-12	7.1	0.6
MAR-37-MGE-S22	DNA1-MAR-37-MGE	MAR-37-MGE	CM002	22	S22	barcode22	27F	1492R	MIN_16_2024-2-12	7.1	0.6
JOA-3-MGE-S23	DNA1-JOA-3-MGE	JOA-3-MGE	CM002	23	S23	barcode23	27F	1492R	MIN_16_2024-2-12	5.9	0.7
CM-NTC-002	NTC	NTC2	CM002	24	CTRL	barcode24	27F	1492R	MIN_16_2024-2-12	NA	NA
PAD-6-MGE-S24	DNA1-PAD-6-MGE	PAD-6-MGE	CM003	1	S24	barcode01	27F	1492R	MIN_16_2024-3-6	0.433	9
IRI-11-MGE-S25	DNA1-IRI-11-MGE	IRI-11-MGE	CM003	2	S25	barcode02	27F	1492R	MIN_16_2024-3-6	0.0984	9
LAM-18-MGE-S26	DNA1-LAM-18-MGE	LAM-18-MGE	CM003	3	S26	barcode03	27F	1492R	MIN_16_2024-3-6	0.428	9
HER-19-MGE-S27	DNA1-HER-19-MGE	HER-19-MGE	CM003	4	S27	barcode04	27F	1492R	MIN_16_2024-3-6	0.253	9
MAR-36-MGE-S28	DNA1-MAR-36-MGE	MAR-36-MGE	CM003	5	S28	barcode05	27F	1492R	MIN_16_2024-3-6	0.13	9
