"ID"	"hera_1"	"wolverine_1"	"buddy_11"	"hamlet_11"	"hera_11"	"jarjarbinks_11"	"joans_11"	"padme_11"	"ginger_14"	"hera_14"	"iris_14"	"jarjarbinks_14"	"kubo_14"	"wolverine_14"	"ginger_2"	"hera_2"	"jarjarbinks_2"	"lambchop_2"	"jarjarbinks_3"	"goose_4"	"padme_5"	"korra_6"	"padme_6"	"ginger_7"	"hera_7"	"iris_7"	"padme_7"	"charles_9"	"franc_9"	"grogu_9"	"henry_9"	"ivy_9"	"korra_9"	"ophelia_9"
"c__Negativicutes"	2614	2606	1964	1374	2192	1460	1830	1773	2931	2590	1483	1537	968	2230	343	426	409	225	2444	17	1032	3347	750	1968	2800	4669	444	1477	712	2250	2293	1120	1444	2332
"c__Gammaproteobacteria"	72	111	893	36	372	503	1103	381	39	186	23	88	2272	25	3294	20	15	2388	122	5556	2025	1713	1949	4973	44	66	2202	1715	3002	165	2738	1372	54	56
"c__Bacteroidia"	755	522	738	603	347	649	672	379	328	560	1912	1159	318	611	199	2543	1832	1080	458	5	686	1364	853	665	504	1114	712	216	103	1074	1522	997	1503	671
"c__Clostridia"	459	522	275	435	704	543	282	496	457	416	307	1107	222	1017	53	146	123	22	883	20	206	1255	382	270	497	1826	509	485	151	358	69	380	727	866
"c__Fusobacteriia"	26	103	30	1501	334	790	27	906	123	149	191	13	183	56	27	14	53	0	0	6	5	193	19	0	25	140	79	68	0	71	1100	0	2	15
"c__Betaproteobacteria"	62	67	79	30	25	41	65	37	113	84	64	44	30	18	79	750	463	255	87	42	32	67	34	104	123	177	41	22	29	59	148	110	205	43
"c__Bacilli"	0	4	3	4	0	2	4	21	0	0	0	4	2	4	0	0	0	0	0	1488	11	28	6	6	2	1	9	11	2	0	9	0	0	2
"c__Actinomycetes"	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	80	625	23	0	849	0	1	1	0	0	2	0	0	0	0	0	0	0	0
"c__Coriobacteriia"	12	62	16	16	23	7	13	4	9	12	10	45	3	30	3	19	441	6	6	0	3	13	2	10	4	3	2	2	0	21	118	21	65	13
"c__Mollicutes"	0	3	0	0	0	3	0	0	0	0	8	0	2	3	0	0	28	0	0	0	0	12	0	0	0	0	0	0	0	1	0	0	0	0
"c__Epsilonproteobacteria"	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"c__Tissierellia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0
