"ID"	"Ivy_17"	"Ophelia_20"	"Franc_22"	"Grogu_22"	"Hamlet_23"	"Franc_24"	"Hera_24"	"Ivy_24"	"Kubo_24"	"Ophelia_24"	"Henry_25"	"Kubo_25"	"Ginger_44"	"Iris_44"	"Korra_45"	"Hamlet_46"	"Joans_46"	"Ginger_47"	"Marshmallow_47"	"Charles_48"	"Grogu_48"	"Hera_48"	"Kubo_48"	"Kubo_49"	"Franc_50"	"Kubo_52"	"Kubo_53"	"Marshmallow_53"	"Ginger_55"	"Ophelia_55"	"Buddy_56"
"g__Megamonas"	698	821	1024	84	1121	1008	901	1158	1474	1467	1033	578	1861	1511	681	886	975	2168	400	1299	49	651	1031	1178	1709	500	875	88	1916	997	794
"g__Phascolarctobacterium"	714	840	838	573	1541	836	1326	868	618	838	518	732	440	637	436	864	1363	243	545	1204	157	1419	1421	1437	971	798	1530	288	932	951	361
"g__Anaerobiospirillum"	13	0	7	4383	1	6	0	2	0	1	0	2725	0	1	6	0	716	0	2006	1	4834	1	0	0	98	0	0	4791	0	0	1090
"g__Megasphaera"	686	171	844	56	589	665	653	850	736	210	413	222	1929	575	603	549	377	1908	384	130	102	503	376	590	649	324	682	89	788	123	316
"g__Phocaeicola"	203	449	209	183	769	407	1243	659	184	869	457	224	273	373	287	1178	205	120	59	231	74	948	697	431	329	130	451	57	243	476	75
"g__Segatella"	1323	24	987	31	20	806	30	0	385	31	379	107	316	67	1138	110	866	80	180	44	25	31	703	696	175	823	333	12	295	28	67
"g__Shigella"	233	1896	40	0	26	78	3	1	548	19	697	4	0	0	319	5	0	212	661	3	0	31	1	1	0	1047	60	0	0	515	1963
"g__Oribacterium"	386	125	507	51	332	270	355	135	488	155	119	73	165	270	324	305	217	167	308	104	84	553	179	180	461	321	323	67	469	203	111
"g__Escherichia"	408	37	38	1	31	150	0	1	324	1	838	3	0	0	210	19	0	229	420	4	0	86	0	0	0	607	2	1	0	290	129
"g__Parabacteroides"	60	139	60	11	45	132	75	75	106	226	196	124	209	400	325	67	41	99	98	111	31	93	110	111	162	200	89	13	211	82	38
"g__Prevotellamassilia"	0	174	0	0	136	0	172	0	53	154	236	231	0	0	556	638	93	0	57	126	28	148	0	0	0	169	0	13	0	82	49
"g__Bacteroides"	36	119	54	13	103	87	104	298	39	247	55	95	40	232	53	135	38	22	16	260	13	263	173	84	69	61	90	17	50	146	21
"g__Blautia"	32	196	79	28	9	128	88	143	140	452	31	14	46	104	62	41	15	34	28	24	7	71	47	42	29	47	60	2	81	150	136
"g__Sutterella"	94	46	125	3	53	183	59	105	44	35	195	15	81	110	127	150	103	106	46	23	10	28	49	98	132	53	25	1	102	49	51
"g__Fusobacterium"	5	0	15	0	279	24	12	571	0	1	38	8	1	157	0	6	0	0	0	58	0	3	155	23	0	3	78	0	0	33	12
"g__Xylanibacter"	202	0	109	0	1	151	0	0	1	1	0	0	0	335	1	0	129	1	0	0	0	0	0	0	438	0	0	1	0	0	22
"g__Clostridium"	53	58	48	1	58	45	34	73	22	61	6	39	1	46	30	93	19	1	19	57	17	114	55	136	1	53	117	15	9	74	16
"g__Wansuia"	52	32	88	25	40	68	45	102	34	59	37	21	6	67	35	13	27	14	84	36	9	43	33	20	47	78	66	17	55	63	16
"g__Succinatimonas"	14	35	30	6	40	25	40	58	19	50	13	31	3	34	0	36	109	5	9	101	2	32	116	67	18	28	73	2	45	60	46
"g__Collinsella"	26	5	12	1	2	6	121	80	14	57	121	3	70	33	45	73	4	11	14	11	2	13	6	22	5	9	117	3	97	80	12
"g__Enterocloster"	28	26	36	0	29	32	21	15	50	44	13	29	12	50	33	38	21	2	12	35	10	58	48	85	11	35	92	2	35	44	11
"g__Lacrimispora"	11	10	21	5	37	29	37	74	22	27	10	13	3	43	9	25	14	0	6	207	0	75	53	61	2	11	92	0	10	39	5
"g__Duodenibacillus"	16	23	28	2	15	20	6	17	14	23	26	34	4	17	67	100	33	6	44	1	7	38	34	63	18	54	25	4	10	20	9
"g__Enterobacter"	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	12	0	0	0	0	0	2	0	0	0	0	0	0	0	702	0
"g__Citrobacter"	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	643	0	0	0	0	0	0	0	0	0	0	0
"g__Paraprevotella"	0	11	0	1	10	1	16	2	4	29	1	10	0	7	3	4	2	0	1	455	3	2	2	2	0	2	2	1	0	3	0
"g__Mediterraneibacter"	5	32	10	0	31	43	60	15	4	64	0	3	0	7	1	6	0	0	0	174	0	29	8	9	0	2	16	0	2	26	1
"g__Faecalicatena"	72	39	56	4	0	81	4	0	30	81	0	2	0	35	7	6	0	1	0	0	1	16	10	2	10	15	10	2	1	45	9
"g__Allisonella"	23	6	28	5	53	14	10	0	30	5	0	11	0	0	54	25	14	0	19	0	5	26	20	34	34	18	79	1	0	4	8
"g__Bilifractor"	17	8	22	2	19	8	27	7	22	10	2	7	6	7	9	18	8	4	13	1	4	65	12	9	19	17	24	1	29	10	3
"g__Flavonifractor"	2	24	4	0	22	16	10	31	1	38	0	8	0	14	2	15	0	0	0	11	0	38	13	7	0	12	26	0	0	49	0
"g__Prevotella"	19	0	24	0	0	15	0	0	0	1	0	2	0	126	2	1	19	0	0	0	0	0	0	0	36	0	0	0	0	1	20
"g__Lachnoclostridium"	4	0	7	1	3	5	3	9	11	5	3	8	5	18	3	9	4	2	3	33	0	10	14	13	1	2	18	0	10	11	6
"g__Barnesiella"	1	21	3	0	3	4	6	1	7	57	0	25	1	5	4	2	0	2	2	4	1	2	11	5	3	20	6	0	2	10	1
"g__Butyricicoccus"	12	0	18	2	25	37	2	26	0	0	0	0	0	8	1	2	0	0	7	17	4	17	5	4	0	1	2	3	0	0	0
"g__Succinivibrio"	0	0	0	12	0	0	0	0	0	0	0	23	0	0	0	0	62	0	16	0	16	0	0	0	0	0	0	6	0	0	51
"g__Peptococcus"	2	41	15	0	1	6	1	10	3	23	0	4	0	0	0	4	1	0	3	0	0	23	4	9	0	3	4	0	0	9	0
"g__Paramuribaculum"	8	8	6	0	3	14	3	2	2	11	4	15	4	1	7	4	0	4	3	0	1	4	5	9	6	8	7	0	4	8	0
"g__Coprobacter"	1	7	0	8	4	1	7	3	0	25	6	6	0	3	0	2	0	0	2	15	0	7	17	2	0	8	3	2	0	9	0
"g__Butyrivibrio"	2	2	9	2	0	4	0	11	10	4	2	0	0	13	5	0	2	2	1	1	0	3	6	3	7	5	11	0	15	11	4
"g__Waltera"	4	5	12	1	3	9	3	8	4	3	8	1	1	10	0	1	2	5	3	0	0	6	4	2	4	2	10	0	8	6	0
"g__Duncaniella"	2	8	7	0	1	9	1	6	1	8	2	5	2	16	5	0	0	2	2	0	1	2	3	5	6	5	2	0	5	5	2
