"ID"	"jarjarbinks_29"	"korra_29"	"kubo_30"	"hamlet_31"	"jarjarbinks_32"	"goose_37"	"hera_37"	"kubo_37"	"lambchop_37"	"ophelia_37"	"wolverine_37"	"hamlet_41"	"hera_41"	"goose_42"	"lambchop_42"	"buddy_57"	"joans_57"	"ginger_58"	"henry_59"	"joans_60"	"marshmallow_60"	"joans_62"	"henry_66"	"ivy_67"	"franc_68"	"grogu_70"
"g__Megamonas"	1050	1142	532	1406	932	554	590	1707	365	219	1497	2027	1380	607	542	547	492	1094	994	1099	282	1216	291	1036	999	200
"g__Phascolarctobacterium"	653	390	596	567	1302	1027	809	704	767	376	829	1593	688	792	1052	833	207	793	768	1174	486	581	492	421	457	51
"g__Megasphaera"	416	244	251	437	1185	442	274	242	573	65	345	374	211	728	341	269	276	1000	1003	404	325	971	264	623	756	32
"g__Segatella"	136	36	28	52	513	480	43	243	366	14	11	68	27	320	1356	217	77	393	350	224	340	628	573	1	290	2246
"g__Anaerobiospirillum"	490	0	1895	0	606	310	0	0	415	0	0	1	0	302	14	1404	1378	0	0	58	564	27	0	0	346	1
"g__Shigella"	188	1149	68	31	792	97	3	41	169	1683	13	74	27	34	3	0	1064	0	1	231	376	17	3	367	191	301
"g__Oribacterium"	378	107	108	160	712	342	312	141	400	63	259	978	254	294	107	114	84	350	71	168	190	100	266	126	273	9
"g__Phocaeicola"	152	67	46	407	279	66	925	221	66	258	178	785	495	56	126	81	61	67	262	26	20	15	672	233	59	244
"g__Escherichia"	92	679	37	5	380	67	0	26	91	860	0	205	82	19	7	1	26	0	1	54	1093	11	3	247	119	160
"g__Sutterella"	51	24	7	69	139	79	44	28	86	9	11	111	63	98	96	58	31	37	114	45	14	104	103	77	82	372
"g__Prevotellamassilia"	65	32	34	118	153	70	136	0	71	30	0	142	134	66	0	92	36	0	194	22	25	11	236	0	0	107
"g__Parabacteroides"	86	30	32	87	204	46	85	20	59	51	85	55	37	40	50	54	22	68	30	25	42	3	317	37	38	19
"g__Succinatimonas"	13	11	13	62	50	24	24	45	48	14	32	257	78	69	14	46	60	18	20	126	17	46	18	47	29	1
"g__Bacteroides"	27	14	15	67	77	17	107	70	15	92	49	110	71	14	16	15	10	13	45	10	6	7	73	68	17	38
"g__Fusobacterium"	0	0	13	5	0	12	27	180	3	12	90	98	52	0	149	35	1	0	31	0	0	0	129	129	3	0
"g__Wansuia"	48	10	17	18	113	33	29	21	61	26	58	101	17	48	0	38	21	34	1	58	32	3	51	45	50	2
"g__Blautia"	27	11	22	88	72	24	34	42	22	50	82	118	55	25	1	11	42	15	2	15	19	5	42	73	25	1
"g__Collinsella"	9	2	77	18	53	9	52	18	12	10	120	15	12	4	12	27	1	3	2	1	2	9	241	105	7	7
"g__Clostridium"	17	6	36	30	37	14	116	29	20	20	37	129	52	11	0	38	10	6	14	47	9	4	3	24	15	4
"g__Succinivibrio"	1	0	14	0	3	83	0	0	141	0	0	0	0	191	32	16	20	0	0	40	5	56	0	0	3	0
"g__Duodenibacillus"	14	5	9	28	58	20	25	25	27	7	25	77	24	21	0	12	6	14	21	23	21	23	18	9	21	39
"g__Enterocloster"	20	11	24	25	34	16	57	14	21	14	24	87	32	18	0	15	9	17	5	9	4	4	10	15	16	0
"g__Allisonella"	16	15	24	16	30	14	6	12	54	1	0	19	8	71	59	15	7	0	0	15	10	34	0	15	51	3
"g__Xylanibacter"	0	0	0	0	0	33	1	0	37	0	99	0	0	53	0	22	32	0	1	59	0	69	0	0	36	1
"g__Lacrimispora"	4	2	10	17	19	10	57	21	11	9	16	73	20	8	0	7	3	4	3	20	1	1	9	50	9	1
"g__Bilifractor"	11	4	8	14	41	16	25	9	11	3	11	63	11	13	15	3	2	5	11	13	7	5	7	6	7	1
"g__Flavonifractor"	2	0	4	9	9	0	142	3	0	14	27	60	22	0	0	2	1	0	0	0	0	0	0	10	2	0
"g__Mediterraneibacter"	0	0	1	94	0	2	5	34	0	22	3	68	15	1	1	2	1	0	0	0	0	1	0	13	3	1
"g__Enterobacter"	0	0	9	67	0	0	0	0	0	4	0	65	46	0	0	0	0	0	11	0	41	1	1	0	0	0
"g__Pseudomonas"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	108	3	0
"g__Bifidobacterium"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140
"g__Faecalicatena"	2	0	2	8	7	4	1	2	1	13	10	22	14	1	0	2	2	2	1	1	4	0	0	10	20	0
"g__Prevotella"	0	0	1	5	5	18	0	0	13	1	14	2	1	20	0	3	2	0	2	5	1	22	0	0	12	2
"g__Porcincola"	1	1	1	1	20	11	6	3	16	1	1	20	1	11	0	1	1	11	1	1	7	4	1	2	5	0
"g__Butyrivibrio"	3	1	7	6	12	6	5	6	3	5	10	22	4	6	0	0	2	3	1	2	4	1	1	10	5	0
"g__Lachnoclostridium"	2	3	2	4	9	6	10	4	6	2	5	22	4	7	0	2	2	6	3	0	4	0	3	6	4	0
"g__Butyricicoccus"	0	0	0	7	0	0	7	20	0	0	0	33	11	0	0	1	0	0	0	0	1	0	0	17	5	1
"g__Peptococcus"	7	2	1	2	5	2	4	1	0	3	21	9	5	0	0	3	1	0	0	0	1	0	0	3	2	0
"g__Hominisplanchenecus"	2	1	7	5	10	5	3	4	3	2	0	9	1	4	0	0	1	1	0	0	4	0	1	3	2	1
"g__Barnesiella"	3	0	4	4	41	0	2	0	2	2	1	1	0	0	0	1	0	1	1	0	0	0	3	0	0	1
"g__Waltera"	3	0	2	3	5	2	1	5	3	1	4	12	1	2	0	2	0	1	0	4	1	0	5	2	3	1
"g__Paramuribaculum"	4	0	1	5	17	1	4	1	1	5	0	1	1	1	0	1	1	3	2	0	0	0	9	1	0	1
"g__Coprobacter"	0	0	1	2	0	0	5	3	0	3	3	3	3	0	0	0	0	0	0	0	1	0	32	1	1	0
"g__Marvinbryantia"	2	0	1	2	6	3	5	4	5	0	2	11	2	3	0	0	0	3	1	1	1	0	1	1	2	0
"g__Colibacter"	0	0	1	0	2	2	0	1	4	0	0	2	0	7	1	0	0	10	2	1	3	5	0	2	5	0
"g__Streptococcus"	0	0	3	0	1	0	0	2	0	0	3	2	1	0	1	1	0	1	9	2	1	2	15	0	0	0
"g__Kineothrix"	1	0	1	1	6	2	1	2	3	1	2	5	1	1	1	2	1	3	0	2	2	1	3	0	2	0
"g__Duncaniella"	1	0	1	2	3	2	2	0	2	2	2	2	1	1	0	2	1	3	1	2	1	0	4	1	2	4
"g__Anaeromassilibacillus"	0	0	3	5	0	0	0	9	0	6	2	2	3	0	0	0	0	0	0	0	0	0	0	10	1	0
"g__Hoylesella"	0	0	0	0	0	7	0	0	5	0	2	0	0	7	0	0	0	0	1	3	0	3	0	0	4	0
"g__Paraprevotella"	0	0	0	2	3	2	3	0	1	4	1	2	5	1	0	1	0	0	1	0	0	0	2	2	0	0
"g__Anaerocolumna"	0	1	1	0	3	5	1	1	2	0	0	3	0	2	0	0	0	2	0	3	3	0	0	1	1	0
"g__Thermophilibacter"	1	0	2	1	0	0	2	2	1	0	4	2	4	1	0	0	1	0	1	1	0	0	3	2	0	0
"g__Alloprevotella"	0	0	3	4	3	1	1	0	1	0	0	2	1	2	0	0	0	0	4	0	2	0	0	0	0	0
"g__Qiania"	0	0	1	0	3	2	1	1	3	0	0	3	1	3	0	0	0	3	0	0	1	0	0	0	1	0
"g__Roseburia"	0	0	0	1	3	1	0	3	0	0	0	5	0	1	0	0	0	3	1	0	1	0	0	1	2	0
"g__Eisenbergiella"	0	0	1	2	0	0	0	0	0	0	0	9	5	0	0	0	1	0	0	0	0	0	0	2	0	0
"g__Caecibacter"	0	0	0	0	3	1	0	1	2	0	0	0	0	3	0	0	0	3	3	0	0	1	0	0	2	0
"g__Parolsenella"	1	0	0	0	1	0	1	0	1	0	1	2	1	0	1	1	1	0	0	0	0	1	5	0	0	1
"g__Sodaliphilus"	1	0	0	2	3	0	1	0	0	2	0	0	1	0	0	0	0	2	1	0	0	0	1	2	0	2
"g__Asteroleplasma"	0	0	0	0	0	0	0	3	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0
"g__Gemella"	0	0	2	1	0	0	0	2	0	0	0	0	1	0	0	1	0	0	2	0	0	0	6	0	0	0
"g__Marseilla"	0	0	1	2	2	1	1	0	1	0	0	2	0	1	0	0	0	0	2	0	1	0	0	0	0	0
"g__Granulicatella"	0	0	2	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	7	0	0	0
"g__Eubacterium"	0	0	0	1	1	0	0	1	0	0	2	4	0	1	0	0	0	0	0	0	0	0	0	1	2	0
"g__Pantoea"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	10	1	0	0	0	0
"g__Gluceribacter"	0	0	0	0	2	1	0	0	0	0	1	2	0	0	0	0	0	0	1	1	1	0	0	2	1	0
