"ID"	"Function"
"njc1"	"[R,R]-2,3-Butanediol ([R,R]-Butanediol, [S,S]-2,3-Butanediol, [S,S]-Butanediol) -- Production"
"njc2"	"1,2-Ethanediol (Ethylene glycol) -- Production"
"njc3"	"1,2-propanediol (Propene diol, Propylene glycol, [R]-1,2-propanediol, [R]-propane-1,2-diol, [S]-1,2-propanediol, [S]-propane-1,2-diol) -- Consumption"
"njc4"	"1,2-propanediol (Propene diol, Propylene glycol, [R]-1,2-propanediol, [R]-propane-1,2-diol, [S]-1,2-propanediol, [S]-propane-1,2-diol) -- Production"
"njc5"	"4-Aminobutyrate (GABA) -- Production"
"njc6"	"7-Oxodeoxycholic acid -- Production"
"njc7"	"7-Oxolithocholic acid -- Production"
"njc8"	"Acetate -- Consumption"
"njc9"	"Acetate -- Production"
"njc10"	"Acetone -- Production"
"njc11"	"Adenine -- Consumption"
"njc12"	"Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III]) -- Consumption"
"njc13"	"Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III]) -- Production"
"njc14"	"alpha-Linolenic acid (Omega-3 fatty acid, eicosapentaenoic acid) -- Consumption"
"njc15"	"Arabinan -- Macromolecule"
"njc16"	"Arabinogalactan -- Macromolecule"
"njc17"	"beta-Muricholic acid -- Production"
"njc18"	"Biotin (Vitamin B7) -- Consumption"
"njc19"	"Biotin (Vitamin B7) -- Production"
"njc20"	"Butylamine -- Production"
"njc21"	"Butyrate -- Production"
"njc22"	"Cadaverine -- Production"
"njc23"	"Cellobiose -- Consumption"
"njc24"	"Cellulose (Beta-D-glucan) -- Macromolecule"
"njc25"	"Chenodeoxycholic acid (Chenodeoxycholate) -- Consumption"
"njc26"	"Chenodeoxycholic acid (Chenodeoxycholate) -- Production"
"njc27"	"Cholic acid (Cholate) -- Consumption"
"njc28"	"Cholic acid (Cholate) -- Production"
"njc29"	"Choline -- Consumption"
"njc30"	"Chondroitin 4-sulfate (Chondroitin 6-sulfate) -- Macromolecule"
"njc31"	"CO2 -- Consumption"
"njc32"	"CO2 -- Production"
"njc33"	"D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose) -- Consumption"
"njc34"	"D-Fructose (Fructose) -- Consumption"
"njc35"	"D-Fructuronate -- Consumption"
"njc36"	"D-Galactosamine (Galactosamine) -- Consumption"
"njc37"	"D-Galactose -- Consumption"
"njc38"	"D-Galacturonate -- Consumption"
"njc39"	"D-Gluconate (D-Gluconic acid, Gluconate) -- Consumption"
"njc40"	"D-Glucosamine (Glucosamine) -- Consumption"
"njc41"	"D-Glucose (Glucose) -- Consumption"
"njc42"	"D-Glucuronic acid (D-Glucuronate) -- Consumption"
"njc43"	"D-Lyxose (L-Lyxose) -- Consumption"
"njc44"	"D-Mannitol (Mannitol) -- Consumption"
"njc45"	"D-Mannose (Mannose) -- Consumption"
"njc46"	"D-Psicose -- Consumption"
"njc47"	"D-Ribose (Ribose) -- Consumption"
"njc48"	"D-Sorbitol (D-Glucitol, Sorbitol, Glucitol, L-Sorbitol, Sorbitol) -- Consumption"
"njc49"	"D-Tagaturonate -- Consumption"
"njc50"	"D-Xylose (Xylose) -- Consumption"
"njc51"	"Deoxycholic acid -- Production"
"njc52"	"Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide) -- Consumption"
"njc53"	"Dimethylamine -- Production"
"njc54"	"Ethanol -- Production"
"njc55"	"Folic acid (Folate, Vitamin B9) -- Consumption"
"njc56"	"Folic acid (Folate, Vitamin B9) -- Production"
"njc57"	"Formaldehyde -- Production"
"njc58"	"Formate -- Consumption"
"njc59"	"Formate -- Production"
"njc60"	"FOS (Fructooligosaccharide) -- Consumption"
"njc61"	"Fructan (Inulin, Levan) -- Macromolecule"
"njc62"	"Fumarate -- Consumption"
"njc63"	"Fumarate -- Production"
"njc64"	"Galactan -- Macromolecule"
"njc65"	"Glycerol -- Consumption"
"njc66"	"Glycochenodeoxycholate -- Consumption"
"njc67"	"Glycocholate -- Consumption"
"njc68"	"Glycodeoxycholate -- Consumption"
"njc69"	"Glycolithocholate -- Consumption"
"njc70"	"H2 (Hydrogen) -- Consumption"
"njc71"	"H2 (Hydrogen) -- Production"
"njc72"	"H2O2 -- Production"
"njc73"	"H2S (HS-) -- Production"
"njc74"	"Hemicellulose, not specified -- Macromolecule"
"njc75"	"Hippurate -- Consumption"
"njc76"	"Histamine -- Production"
"njc77"	"Hyaluronan (Hyaluronate, Hyaluronic acid) -- Macromolecule"
"njc78"	"Indole-3-acetate (Indoleacetate) -- Production"
"njc79"	"Indole -- Production"
"njc80"	"Isobutyrate (2-Methylpropanoic acid) -- Consumption"
"njc81"	"Isobutyrate (2-Methylpropanoic acid) -- Production"
"njc82"	"Isovalerate (3-Methylbutanoic acid) -- Consumption"
"njc83"	"Isovalerate (3-Methylbutanoic acid) -- Production"
"njc84"	"L-Arabitol (L-Arabinitol, D-Arabitol) -- Consumption"
"njc85"	"L-Arginine (Arginine) -- Consumption"
"njc86"	"L-Aspartate (Aspartate, D-Aspartate) -- Consumption"
"njc87"	"L-Cysteine (Cysteine, D-Cysteine) -- Consumption"
"njc88"	"L-Fucose -- Consumption"
"njc89"	"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate) -- Consumption"
"njc90"	"L-Histidine (Histidine) -- Consumption"
"njc91"	"L-Idonate -- Consumption"
"njc92"	"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate) -- Consumption"
"njc93"	"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate) -- Production"
"njc94"	"L-Leucine (Leucine) -- Consumption"
"njc95"	"L-Malate ([S]-Malate, L-Malic acid, Malate, D-Malate, [R]-Malate) -- Consumption"
"njc96"	"L-Methionine (D-Methionine) -- Consumption"
"njc97"	"L-Ornithine (Ornithine) -- Production"
"njc98"	"L-Phenylalanine (Phenylalanine, D-Phenylalanine) -- Consumption"
"njc99"	"L-Rhamnose (Rhamnose, D-Rhamnose) -- Consumption"
"njc100"	"L-Serine (Serine, D-Serine) -- Consumption"
"njc101"	"L-Threonine (Threonine) -- Consumption"
"njc102"	"L-Threonine (Threonine) -- Production"
"njc103"	"L-Tryptophan (Tryptophan) -- Consumption"
"njc104"	"L-Tyrosine (Tyrosine) -- Consumption"
"njc105"	"L-Valine (Valine, D-Valine) -- Consumption"
"njc106"	"Lactose -- Consumption"
"njc107"	"Linoleic acid (Omega-6 fatty acid) -- Consumption"
"njc108"	"Lithocholic acid -- Production"
"njc109"	"Maltose -- Consumption"
"njc110"	"Mannan -- Macromolecule"
"njc111"	"Melibiose -- Consumption"
"njc112"	"Menaquinone (Vitamin K2) -- Production"
"njc113"	"Methanol -- Production"
"njc114"	"Methylamine (Monomethylamine) -- Production"
"njc115"	"Mucin (Mucus Glycoprotein) -- Macromolecule"
