"ID"	"jarjarbinks_29"	"korra_29"	"kubo_30"	"hamlet_31"	"jarjarbinks_32"	"goose_37"	"hera_37"	"kubo_37"	"lambchop_37"	"ophelia_37"	"wolverine_37"	"hamlet_41"	"hera_41"	"goose_42"	"lambchop_42"	"buddy_57"	"joans_57"	"ginger_58"	"henry_59"	"joans_60"	"marshmallow_60"	"joans_62"	"henry_66"	"ivy_67"	"franc_68"	"grogu_70"
"c__Negativicutes"	2135	1791	1404	2427	3454	2040	1679	2667	1765	661	2671	4016	2287	2208	1995	1664	982	2900	2772	2693	1106	2809	1047	2098	2271	286
"c__Gammaproteobacteria"	784	1839	2036	178	1833	581	27	112	864	2562	45	602	233	615	70	1467	2548	18	34	509	2115	160	98	769	691	464
"c__Bacteroidia"	475	179	169	760	1304	747	1318	558	642	464	445	1176	779	583	1548	490	243	550	897	379	439	759	1922	348	459	2666
"c__Clostridia"	530	160	272	511	1142	512	824	396	598	265	584	1893	537	469	127	243	185	471	116	346	300	130	403	453	463	22
"c__Betaproteobacteria"	65	29	16	97	197	99	69	53	113	16	36	188	87	119	96	70	37	51	135	68	35	127	121	86	103	411
"c__Fusobacteriia"	0	0	13	5	0	12	27	180	3	12	90	98	52	0	149	35	1	0	31	0	0	0	129	129	3	0
"c__Coriobacteriia"	11	2	79	19	56	9	55	21	14	11	125	19	19	5	13	28	3	3	3	2	2	10	249	108	8	8
"c__Actinomycetes"	0	0	0	0	2	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	140
"c__Bacilli"	0	0	7	2	1	0	0	5	0	0	3	2	3	0	1	3	0	1	11	2	1	2	30	0	0	0
"c__Mollicutes"	0	0	0	0	0	0	0	3	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0
"c__Epsilonproteobacteria"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
