"Taxa"	"ginger_29"	"henry_29"	"joans_29"	"ginger_36"	"grogu_36"	"henry_36"	"franc_37"	"grogu_37"	"grogu_41"	"joans_41"	"marshmallow_41"	"ginger_42"	"grogu_42"	"henry_42"	"ivy_42"	"ophelia_57"	"wolverine_57"	"goose_58"	"wolverine_58"	"goose_59"	"hamlet_59"	"iris_59"	"ophelia_59"	"iris_60"	"wolverine_60"	"hamlet_67"	"hera_67"	"jarjarbinks_68"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales"	0.131111111111111	0.243555555555556	0.0882222222222222	0.230222222222222	0.0433333333333333	0.205111111111111	0.246222222222222	0.0235555555555556	0.0211111111111111	0.08	0.778444444444444	0.285111111111111	0.106888888888889	0.216222222222222	0.580666666666667	0.472222222222222	0.076	0.0882222222222222	0.0571111111111111	0.136222222222222	0.259111111111111	0.278444444444444	0.295111111111111	0.496888888888889	0.124	0.771333333333333	0.0331111111111111	0.182444444444444
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Selenomonadales"	0.320222222222222	0.256	0.243777777777778	0.209333333333333	0.00777777777777778	0.178	0.203555555555556	0.00266666666666667	0.0124444444444444	0.112888888888889	0.00577777777777778	0.101777777777778	0.0335555555555556	0.263555555555556	0.0991111111111111	0.157111111111111	0.251777777777778	0.168666666666667	0.452888888888889	0.146222222222222	0.204222222222222	0.100888888888889	0.052	0.0442222222222222	0.382222222222222	0.0175555555555556	0.436666666666667	0.165555555555556
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Aeromonadales"	0.00866666666666667	0.00444444444444444	0.282444444444444	0.00244444444444444	0.858888888888889	0.0115555555555556	0.0235555555555556	0.894666666666667	0.857333333333333	0.0604444444444444	0.000222222222222222	0.006	0.626888888888889	0.002	0.00911111111111111	0.00955555555555555	0.014	0.135333333333333	0.00622222222222222	0.136888888888889	0.00555555555555556	0.00733333333333333	0.00533333333333333	0.00644444444444444	0.00866666666666667	0.004	0.00355555555555556	0.068
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Acidaminococcales"	0.189333333333333	0.157777777777778	0.236888888888889	0.136444444444444	0.0584444444444444	0.290666666666667	0.177777777777778	0.0393333333333333	0.0657777777777778	0.215555555555556	0.0137777777777778	0.109111111111111	0.0915555555555556	0.125555555555556	0.112	0.108666666666667	0.0575555555555556	0.180888888888889	0.0955555555555556	0.226888888888889	0.163333333333333	0.238444444444444	0.128222222222222	0.178222222222222	0.112	0.0391111111111111	0.137333333333333	0.151555555555556
"k__Bacteria|p__Bacillota|c__Negativicutes|o__Veillonellales"	0.227777777777778	0.0711111111111111	0.0535555555555556	0.134	0.00844444444444444	0.112222222222222	0.100444444444444	0.00955555555555555	0.0135555555555556	0.189888888888889	0.00555555555555556	0.092	0.0553333333333333	0.201333333333333	0.0513333333333333	0.0524444444444444	0.0611111111111111	0.259555555555556	0.0713333333333333	0.199555555555556	0.0766666666666667	0.149555555555556	0.0684444444444444	0.0831111111111111	0.135111111111111	0.0106666666666667	0.243111111111111	0.148666666666667
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales"	0.104444444444444	0.0897777777777778	0.0613333333333333	0.147333333333333	0.0186666666666667	0.135555555555556	0.182444444444444	0.0244444444444444	0.022	0.172	0.0126666666666667	0.0675555555555555	0.0646666666666667	0.101555555555556	0.0713333333333333	0.108444444444444	0.0835555555555555	0.034	0.0815555555555556	0.102666666666667	0.156	0.157333333333333	0.0688888888888889	0.128888888888889	0.0522222222222222	0.0288888888888889	0.0973333333333333	0.129555555555556
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales"	0.000444444444444444	0.100888888888889	0	0.0608888888888889	0	0.0153333333333333	0.000444444444444444	0	0	0.0976666666666667	0.000222222222222222	0.272444444444444	0.00688888888888889	0.00577777777777778	0.000222222222222222	0.0231111111111111	0.424444444444444	0.092	0.201111111111111	0.0197777777777778	0.0624444444444444	0	0.338222222222222	0.00155555555555556	0.0631111111111111	0.00377777777777778	0.000222222222222222	0.0537777777777778
"k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales"	0.0164444444444444	0.0326666666666667	0.0126666666666667	0.0488888888888889	0.00244444444444444	0.0182222222222222	0.0124444444444444	0.00244444444444444	0.00311111111111111	0.0451111111111111	0.07	0.0482222222222222	0.00777777777777778	0.0497777777777778	0.0337777777777778	0.0228888888888889	0.00911111111111111	0.03	0.00688888888888889	0.0253333333333333	0.0104444444444444	0.0304444444444444	0.0151111111111111	0.0226666666666667	0.0502222222222222	0.0862222222222222	0.00377777777777778	0.0284444444444444
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales"	0.000444444444444444	0.002	0.00755555555555556	0.00177777777777778	0.00177777777777778	0.00577777777777778	0.0333333333333333	0.00311111111111111	0.00466666666666667	0.0114444444444444	0.00177777777777778	0.000666666666666667	0.00466666666666667	0.000666666666666667	0.0124444444444444	0.0237777777777778	0.0122222222222222	0.00266666666666667	0.0162222222222222	0.00333333333333333	0.0251111111111111	0.0275555555555556	0.0171111111111111	0.0313333333333333	0.0131111111111111	0.00933333333333333	0.0213333333333333	0.00755555555555556
"k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales"	0.000666666666666667	0.0348888888888889	0.00111111111111111	0.0173333333333333	0.000222222222222222	0.00333333333333333	0.0133333333333333	0.000222222222222222	0	0.000555555555555556	0.00711111111111111	0.01	0.00177777777777778	0.0186666666666667	0.006	0.0162222222222222	0.00288888888888889	0.00266666666666667	0.00533333333333333	0.000888888888888889	0.0168888888888889	0.00422222222222222	0.01	0.00266666666666667	0.0284444444444444	0.00977777777777778	0.0224444444444444	0.0164444444444444
"k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales"	0.000222222222222222	0.00466666666666667	0.012	0.00755555555555556	0	0.024	0.00622222222222222	0	0	0.0141111111111111	0	0.00644444444444444	0	0.0135555555555556	0.0226666666666667	0.002	0.00733333333333333	0.000222222222222222	0.00466666666666667	0.00177777777777778	0.02	0.00488888888888889	0	0.00266666666666667	0.0195555555555556	0.00444444444444444	0.000666666666666667	0.0135555555555556
"k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Bifidobacteriales"	0	0	0	0	0	0	0	0	0	0	0.103777777777778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0106666666666667	0	0
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00266666666666667	0.000222222222222222	0.034
"k__Bacteria|p__Bacillota|c__Bacilli|o__Lactobacillales"	0.000222222222222222	0.00133333333333333	0.000222222222222222	0.00355555555555556	0	0	0	0	0	0.000333333333333333	0	0.000222222222222222	0	0.000888888888888889	0.000444444444444444	0.000222222222222222	0	0.00533333333333333	0.000888888888888889	0.000444444444444444	0.000222222222222222	0.000444444444444444	0	0.000222222222222222	0.00622222222222222	0	0.000222222222222222	0.000444444444444444
"k__Bacteria|p__Mycoplasmatota|c__Mollicutes|o__Anaeroplasmatales"	0	0	0	0	0	0	0.000222222222222222	0	0	0	0.000666666666666667	0	0	0	0.000222222222222222	0.00288888888888889	0	0	0	0	0	0.000444444444444444	0.00133333333333333	0.000888888888888889	0	0.00133333333333333	0	0
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pasteurellales"	0	0.000444444444444444	0.000222222222222222	0	0	0	0	0	0	0	0	0	0	0.000222222222222222	0.000666666666666667	0	0	0	0	0	0	0	0	0	0.00133333333333333	0	0	0
"k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales"	0	0.000444444444444444	0	0.000222222222222222	0	0	0	0	0	0	0	0.000444444444444444	0	0	0	0.000222222222222222	0	0.000222222222222222	0.000222222222222222	0	0	0	0.000222222222222222	0	0.000444444444444444	0	0	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Peptostreptococcales"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000222222222222222	0	0	0	0	0	0	0.002	0	0	0
"k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Neisseriales"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00133333333333333	0	0	0
"k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Eggerthellales"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000222222222222222	0	0.000222222222222222	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000222222222222222	0	0	0	0
"k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000222222222222222	0	0
"k__Bacteria|p__Campylobacterota|c__Epsilonproteobacteria|o__Campylobacterales"	0	0	0	0	0	0.000222222222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
