"Taxa"	"hera_1"	"wolverine_1"	"buddy_11"	"hamlet_11"	"hera_11"	"jarjarbinks_11"	"joans_11"	"padme_11"	"ginger_14"	"hera_14"	"iris_14"	"jarjarbinks_14"	"kubo_14"	"wolverine_14"	"ginger_2"	"hera_2"	"jarjarbinks_2"	"lambchop_2"	"jarjarbinks_3"	"goose_4"	"padme_5"	"korra_6"	"padme_6"	"ginger_7"	"hera_7"	"iris_7"	"padme_7"	"charles_9"	"franc_9"	"grogu_9"	"henry_9"	"ivy_9"	"korra_9"	"ophelia_9"
"Metabolism|Global and overview maps|Metabolic pathways"	0.147877088649195	0.147351190353873	0.142674410738838	0.142711152640655	0.143122715679949	0.143950452264458	0.146699736628618	0.141500289132103	0.153956058816593	0.146919680167333	0.1470538457262	0.139431288546821	0.141253985371588	0.141794122665696	0.140154236455101	0.151624553603213	0.150042588603095	0.151930112103992	0.15296503413309	0.142346911074217	0.14112599407135	0.146876277368761	0.141381437006882	0.141454753277588	0.15147846303877	0.148484819021715	0.141119131479851	0.139894110806722	0.14081363361655	0.151713376020704	0.141483504459489	0.144675745143281	0.145309958088114	0.144572236160688
"Metabolism|Global and overview maps|Biosynthesis of secondary metabolites"	0.0623412172054064	0.0603149749519837	0.0576783270219572	0.0521957373360138	0.0580850142699161	0.0561985634504281	0.0615144313610525	0.0547241212142611	0.0684191694174281	0.0611562557301367	0.0590656975258378	0.0574251440359852	0.0567165210428316	0.0585832599902722	0.0562288727709564	0.0615677023086199	0.0612221695223237	0.0605495299771921	0.0659934624136988	0.0582102073929397	0.0566299056354639	0.0607126564003284	0.0566945267992525	0.0573062857547561	0.0641733220926831	0.0619947289809465	0.056403198539498	0.0559202306739421	0.0568023655868934	0.0621064492201996	0.0561192834946364	0.0584192825974484	0.0605363681832901	0.0607837901853363
"Metabolism|Global and overview maps|Microbial metabolism in diverse environments"	0.0527959021284024	0.052632950570707	0.0566873968709515	0.0521702555797589	0.0535014814175915	0.0524916333245966	0.0549345551971315	0.0531636865653718	0.0495390879942858	0.052442944508246	0.0485099337030707	0.0521310614340403	0.0562057558092257	0.0510885751210517	0.0573556170942422	0.0499619981583088	0.0466264963796472	0.047718962832627	0.0543654847451488	0.053499352641166	0.0570134675138835	0.0496148381803764	0.0566056963609772	0.0570547844251329	0.0547319602778613	0.0541393807950426	0.0562457322009035	0.05671941581181	0.0572727666781675	0.0531487897153397	0.0561092438349576	0.0548533730650548	0.0522187024719421	0.0521136259913969
"Environmental Information Processing|Membrane transport|ABC transporters"	0.0564608627720703	0.0500031157572553	0.0542348191661759	0.0631707316620195	0.0602405256939997	0.0558617846936673	0.0514820860364213	0.0564553714082107	0.0473816431321882	0.0544317005411794	0.0438798081236869	0.0661403006651177	0.0545589194165553	0.0673024185626183	0.0548020220836727	0.0415399101125496	0.0362177315127869	0.0310230233267444	0.0458007098071644	0.0588510197945819	0.0530755973779122	0.0569983074072063	0.052137490539373	0.0534560392109965	0.0485879868985701	0.052553766928506	0.0523442767031991	0.0561089390037524	0.0541440157519107	0.0423999077199521	0.0537837149591384	0.0485041938549411	0.053512940186192	0.0613870498197323
"Metabolism|Global and overview maps|Biosynthesis of antibiotics"	0.0496076855031796	0.0496715509189249	0.0454937868236789	0.0421139859896911	0.0453110914747056	0.0444859660470974	0.0478101364379807	0.0437315998788758	0.0511354253454532	0.0472737808457338	0.0476685860974676	0.0465131186463511	0.0440269118540508	0.046742630690419	0.0435256292134287	0.05003409732731	0.0501967027147688	0.0492779076509532	0.0525591913053809	0.0452967244170747	0.0441301255781549	0.0479031832491297	0.0441858611942098	0.0443467558461459	0.0519462677946124	0.0506625964287814	0.0439338223095533	0.0434758223009278	0.04389206267114	0.0504611226802548	0.0438773199871882	0.0459980380381843	0.0491109312762724	0.0485469676727201
"Environmental Information Processing|Signal transduction|Two-component system"	0.0372706974071604	0.043987622041671	0.0412148689991765	0.0409393288067578	0.0425766262624836	0.0449431486403004	0.0363418921677627	0.0488833531075836	0.0314470669453489	0.0397848078116383	0.0556484430856349	0.0581308734013953	0.0427194878660969	0.0501971791285259	0.0429770657317607	0.0454608770507726	0.0535923932818105	0.0534426916661411	0.0302958076482776	0.0387598794568952	0.0431275303789853	0.046412997640176	0.044096248296759	0.0416516508350002	0.0322614362638832	0.0381817430369463	0.0448759029056706	0.0445418272470976	0.0421287043025684	0.0390566556414339	0.0437217203808716	0.0432937231877402	0.0493425863567631	0.0470068722297214
"Metabolism|Global and overview maps|Biosynthesis of amino acids"	0.0299817489026401	0.0287826969510971	0.024440960586872	0.024826789384113	0.0261722456985373	0.0251972749192289	0.0273158134478095	0.0241862795143037	0.03242932208169	0.0280867877714774	0.0278437242126483	0.0270274736996182	0.0230716299054004	0.0288498632278811	0.0221711949098848	0.0293331709450288	0.0299431954700909	0.0273852124721747	0.0318244732225303	0.0249116472828634	0.0227468454582119	0.0291284966129828	0.0227990096661975	0.0230777042659051	0.0313289106776624	0.0304915218623605	0.0226203735896701	0.0224406577352042	0.0226260355101706	0.0293001447350253	0.0230246939912303	0.0247374093173441	0.0288451525262129	0.0294729610310199
"Metabolism|Global and overview maps|Carbon metabolism"	0.0258080568593361	0.0264913941078313	0.0250507851034447	0.0242995798627266	0.0247576901306406	0.0248472306931865	0.0253185369874522	0.0252025030277359	0.0253632665656537	0.0250310957541557	0.0262202262066324	0.0267050278141117	0.0244625212575644	0.025691319844042	0.0242898009523781	0.0265895063988064	0.0256141995987182	0.0258619448287277	0.0271891504488026	0.023634968724604	0.024539242119382	0.0255017107571368	0.0245724065095477	0.0244936860462328	0.0271526389232831	0.0269166758470985	0.024490764085368	0.0243554259725444	0.0243546155239829	0.0268579124948169	0.0247269563742805	0.0250009161637388	0.0268615810503232	0.0263628637839356
"Cellular Processes|Cellular community - prokaryotes|Quorum sensing"	0.0243338879238425	0.0223640436461128	0.0218644692334043	0.0289601140726142	0.0262426865253538	0.0250957469553298	0.0220156300325346	0.0256724747417114	0.02363669795735	0.0247719616936307	0.021193449513683	0.0314670852652847	0.0220542965236606	0.0291468328477332	0.0218245744743479	0.0199152572584024	0.0172736166189885	0.0155795046789653	0.0209818377705578	0.0234884965875255	0.0212696168276031	0.0257388131624402	0.0211510457320324	0.0215555948748439	0.0213938616688698	0.022573422288622	0.0212114366456285	0.0226479318659411	0.0217068792668058	0.0194092204309644	0.0225643465478642	0.0200571754137348	0.0251612801456089	0.0286623789488754
"Environmental Information Processing|Membrane transport|Phosphotransferase system (PTS)"	0.0192912331941842	0.0142475896169688	0.0221346355630482	0.0329451503721639	0.023733364691713	0.0238328027104041	0.0223894187389105	0.0237296918595353	0.0227050556761994	0.0218251086647373	0.0118799994984387	0.011800508406288	0.0243771496320582	0.0178251318705337	0.0243931013835778	0.0119119566726333	0.0096618066184686	0.00862682151167653	0.0176987081924147	0.0224175533229579	0.0230976646943861	0.0171465200376764	0.0223792716376978	0.0239033961149865	0.0172150909388941	0.0163115640632532	0.0227297622150987	0.0239367232404298	0.0242907269113236	0.0139884315316148	0.0239404396632509	0.0199648380878805	0.0129243805414726	0.0153464716494094
