barcode	alias	type	target_unclassified	acquisition_run_id	protocol_group_id	sample_id	flow_cell_id	started
barcode01	barcode01	test_sample	71273	a8fe775922382175481701f2d9eaf7940e39afe0	PL2	no_sample	FAX08980	2024-02-12T12:57:44.163673-06:00
barcode02	barcode02	test_sample	40446	a8fe775922382175481701f2d9eaf7940e39afe0	PL2	no_sample	FAX08980	2024-02-12T12:57:44.163673-06:00
barcode03	barcode03	test_sample	26940	a8fe775922382175481701f2d9eaf7940e39afe0	PL2	no_sample	FAX08980	2024-02-12T12:57:44.163673-06:00
barcode04	barcode04	test_sample	33907	a8fe775922382175481701f2d9eaf7940e39afe0	PL2	no_sample	FAX08980	2024-02-12T12:57:44.163673-06:00
barcode05	barcode05	test_sample	86444	a8fe775922382175481701f2d9eaf7940e39afe0	PL2	no_sample	FAX08980	2024-02-12T12:57:44.163673-06:00
barcode06	barcode06	test_sample	51899	a8fe775922382175481701f2d9eaf7940e39afe0	PL2	no_sample	FAX08980	2024-02-12T12:57:44.163673-06:00
barcode07	barcode07	test_sample	56368	a8fe775922382175481701f2d9eaf7940e39afe0	PL2	no_sample	FAX08980	2024-02-12T12:57:44.163673-06:00
barcode08	barcode08	test_sample	22600	a8fe775922382175481701f2d9eaf7940e39afe0	PL2	no_sample	FAX08980	2024-02-12T12:57:44.163673-06:00
barcode09	barcode09	test_sample	31627	a8fe775922382175481701f2d9eaf7940e39afe0	PL2	no_sample	FAX08980	2024-02-12T12:57:44.163673-06:00
barcode10	barcode10	test_sample	14327	a8fe775922382175481701f2d9eaf7940e39afe0	PL2	no_sample	FAX08980	2024-02-12T12:57:44.163673-06:00
barcode11	barcode11	test_sample	49568	a8fe775922382175481701f2d9eaf7940e39afe0	PL2	no_sample	FAX08980	2024-02-12T12:57:44.163673-06:00
barcode12	barcode12	test_sample	33440	a8fe775922382175481701f2d9eaf7940e39afe0	PL2	no_sample	FAX08980	2024-02-12T12:57:44.163673-06:00
barcode13	barcode13	test_sample	43384	a8fe775922382175481701f2d9eaf7940e39afe0	PL2	no_sample	FAX08980	2024-02-12T12:57:44.163673-06:00
barcode14	barcode14	test_sample	36599	a8fe775922382175481701f2d9eaf7940e39afe0	PL2	no_sample	FAX08980	2024-02-12T12:57:44.163673-06:00
barcode15	barcode15	test_sample	56641	a8fe775922382175481701f2d9eaf7940e39afe0	PL2	no_sample	FAX08980	2024-02-12T12:57:44.163673-06:00
barcode16	barcode16	test_sample	21211	a8fe775922382175481701f2d9eaf7940e39afe0	PL2	no_sample	FAX08980	2024-02-12T12:57:44.163673-06:00
barcode17	barcode17	test_sample	30800	a8fe775922382175481701f2d9eaf7940e39afe0	PL2	no_sample	FAX08980	2024-02-12T12:57:44.163673-06:00
barcode18	barcode18	test_sample	29582	a8fe775922382175481701f2d9eaf7940e39afe0	PL2	no_sample	FAX08980	2024-02-12T12:57:44.163673-06:00
barcode19	barcode19	test_sample	29202	a8fe775922382175481701f2d9eaf7940e39afe0	PL2	no_sample	FAX08980	2024-02-12T12:57:44.163673-06:00
barcode20	barcode20	test_sample	25527	a8fe775922382175481701f2d9eaf7940e39afe0	PL2	no_sample	FAX08980	2024-02-12T12:57:44.163673-06:00
barcode21	barcode21	test_sample	35060	a8fe775922382175481701f2d9eaf7940e39afe0	PL2	no_sample	FAX08980	2024-02-12T12:57:44.163673-06:00
barcode22	barcode22	test_sample	36972	a8fe775922382175481701f2d9eaf7940e39afe0	PL2	no_sample	FAX08980	2024-02-12T12:57:44.163673-06:00
barcode23	barcode23	test_sample	41466	a8fe775922382175481701f2d9eaf7940e39afe0	PL2	no_sample	FAX08980	2024-02-12T12:57:44.163673-06:00
barcode24	barcode24	test_sample	5	a8fe775922382175481701f2d9eaf7940e39afe0	PL2	no_sample	FAX08980	2024-02-12T12:57:44.163673-06:00
unclassified	unclassified	na	88119	a8fe775922382175481701f2d9eaf7940e39afe0	PL2	no_sample	FAX08980	2024-02-12T12:57:44.163673-06:00
