"Taxa"	"hera_1"	"buddy_11"	"hera_11"	"jarjarbinks_11"	"padme_11"	"hera_14"	"iris_14"	"jarjarbinks_14"	"jarjarbinks_15"	"buddy_16"	"buddy_17"	"iris_17"	"lambchop_17"	"padme_17"	"buddy_18"	"hera_18"	"iris_18"	"jarjarbinks_18"	"lambchop_18"	"franc_19"	"hera_2"	"jarjarbinks_2"	"lambchop_2"	"goose_20"	"hera_20"	"iris_20"	"buddy_21"	"jarjarbinks_21"	"franc_22"	"goose_22"	"grogu_22"	"hera_22"	"iris_22"	"iris_23"	"franc_24"	"goose_24"	"grogu_24"	"hera_24"	"lambchop_25"	"jarjarbinks_29"	"jarjarbinks_3"	"jarjarbinks_32"	"grogu_36"	"franc_37"	"goose_37"	"grogu_37"	"hera_37"	"lambchop_37"	"goose_4"	"grogu_41"	"hera_41"	"goose_42"	"grogu_42"	"lambchop_42"	"buddy_44"	"franc_44"	"goose_44"	"iris_44"	"jarjarbinks_44"	"lambchop_44"	"buddy_45"	"franc_45"	"grogu_45"	"hera_45"	"jarjarbinks_45"	"buddy_46"	"goose_46"	"iris_46"	"lambchop_46"	"franc_47"	"buddy_48"	"franc_48"	"grogu_48"	"hera_48"	"iris_48"	"jarjarbinks_48"	"lambchop_48"	"franc_49"	"iris_49"	"jarjarbinks_49"	"padme_5"	"buddy_50"	"franc_50"	"grogu_50"	"jarjarbinks_50"	"lambchop_50"	"franc_51"	"lambchop_51"	"buddy_52"	"goose_52"	"grogu_52"	"jarjarbinks_52"	"franc_53"	"hera_53"	"iris_55"	"lambchop_55"	"buddy_56"	"franc_56"	"grogu_56"	"buddy_57"	"goose_58"	"goose_59"	"iris_59"	"padme_6"	"iris_60"	"hera_67"	"franc_68"	"jarjarbinks_68"	"hera_7"	"iris_7"	"padme_7"	"grogu_70"	"franc_9"	"grogu_9"
"k__Bacteria|p__Bacillota|c__Negativicutes"	0.6535	0.491	0.548	0.365	0.44325	0.647	0.37075	0.38425	0.446	0.0785	0.5085	0.597	0.297	0.00075	0.27625	0.591	0.5165	0.438	0.66125	0.538	0.1065	0.10225	0.05625	0.58875	0.54825	0.679	0.427	0.6085	0.49875	0.4345	0.13025	0.4035	0.72275	0.60225	0.46	0.537	0.384	0.525	0.71525	0.53375	0.611	0.431875	0.07475	0.4815	0.51	0.0515	0.41975	0.44125	0.002125	0.0915	0.57175	0.55225	0.1805	0.49875	0.38675	0.24425	0.7005	0.49975	0.04675	0.57525	0.46225	0.4815	0.6055	0.312	0.1555	0.26475	0.37375	0.45525	0.4915	0.6815	0.237	0.48675	0.05725	0.4725	0.578	0.38225	0.70475	0.482	0.69475	0.43475	0.258	0.3335	0.61175	0.25475	0.65375	0.61875	0.5035	0.72275	0.47825	0.61725	0.162	0.656	0.5765	0.641	0.63575	0.34225	0.27025	0.47	0.11625	0.416	0.609	0.57225	0.4895	0.18725	0.30575	0.817	0.56775	0.4655	0.7	0.583625	0.111	0.0715	0.178	0.5625
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria"	0.018	0.22325	0.09325	0.12625	0.0955	0.04675	0.00575	0.022	0.03125	0.00475	0.08475	0.00925	0.6865	0.98325	0.6795	0.01	0.0065	0.2535	0.29075	0.0865	0.00525	0.00375	0.597	0.0655	0.02225	0.00575	0.10775	0.102	0.02125	0.22075	0.8005	0.298	0.0045	0.00125	0.0475	0.10825	0.33	0.00825	0.04325	0.196	0.0305	0.229	0.859	0.02425	0.14525	0.89475	0.007	0.216	0.694875	0.85725	0.0585	0.15375	0.634	0.0175	0.33525	0.1455	0.08	0.00625	0.221	0.041	0.21525	0.0535	0.20575	0.0125	0.6495	0.31425	0.096	0.03675	0.03025	0.0185	0.62625	0.02425	0.8825	0.02725	0.009	0.31175	0.098	0.0375	0.003	0.07675	0.50625	0.487	0.021	0.666	0.0575	0.042	0.01275	0.01675	0.2945	0.10575	0.73875	0.02025	0.004	0.01825	0.00525	0.02675	0.597	0.01225	0.78625	0.367	0.2265	0.1565	0.0075	0.4875	0.008	0.00375	0.173	0.15475	0.011	0.00825	0.5505	0.11575	0.75075	0.04125
"k__Bacteria|p__Bacteroidota|c__Bacteroidia"	0.18875	0.18425	0.08675	0.16225	0.09475	0.14025	0.47825	0.28975	0.15425	0.57175	0.156	0.2325	0.00025	0.0025	0.0055	0.23975	0.3255	0.18475	0	0.214	0.63625	0.4585	0.27	0.14325	0.22325	0.1505	0.18525	0.1915	0.26625	0.16475	0.04425	0.18925	0.1835	0.2605	0.29875	0.18025	0.1775	0.3025	0.22125	0.11875	0.1145	0.16325	0.04325	0.24625	0.18675	0.024	0.32875	0.16025	0.00075	0.021	0.19475	0.14575	0.1065	0.387	0.17175	0.2525	0.035	0.29875	0.502	0.28625	0.25925	0.28325	0.07825	0.458	0.068	0.34175	0.34525	0.35625	0.3775	0.16775	0.06925	0.3115	0.03225	0.275	0.2395	0.14525	0.11675	0.2415	0.15225	0.169	0.1715	0.06925	0.223	0.02475	0.138	0.25925	0.31025	0.20725	0.12725	0.16675	0.056	0.143	0.299	0.0985	0.1465	0.56775	0.056	0.2685	0.05725	0.1225	0.08875	0.13625	0.279	0.21375	0.49625	0.0325	0.115	0.18375	0.12575	0.13925	0.178	0.66675	0.02575	0.2685
"k__Bacteria|p__Bacillota|c__Clostridia"	0.11475	0.0695	0.1765	0.13575	0.12425	0.1045	0.07675	0.277	0.34	0.01125	0.06075	0.15025	0.0095	0.00275	0.0135	0.135	0.11425	0.10425	0.02025	0.14025	0.03625	0.03075	0.0055	0.168	0.19375	0.1235	0.0395	0.08525	0.18075	0.16175	0.0235	0.07225	0.06725	0.12325	0.15	0.14825	0.09225	0.127	0.001	0.1325	0.22075	0.14325	0.0205	0.216	0.128	0.02725	0.20625	0.15	0.0025	0.027	0.13425	0.11725	0.06925	0.03175	0.073	0.107	0.15075	0.134	0.01325	0.0565	0.0375	0.135	0.064	0.11925	0.117	0.04725	0.09725	0.1115	0.02075	0.10875	0.04125	0.143	0.025	0.20975	0.14325	0.1285	0.06025	0.2045	0.123	0.29425	0.0515	0.05975	0.11175	0.05225	0.1155	0.03425	0.11425	0.02075	0.07575	0.07925	0.03925	0.16	0.101	0.15875	0.17875	0.02175	0.06025	0.21425	0.0355	0.0605	0.03725	0.10625	0.18475	0.09575	0.16075	0.11925	0.1155	0.1365	0.12475	0.2285	0.1275	0.0055	0.038	0.0895
"k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria"	0.0155	0.01975	0.00625	0.01025	0.0095	0.021	0.016	0.01125	0.0075	0.1305	0.04075	0.00775	0.0035	0	0.02425	0.01975	0.01025	0.01775	0.026	0.01275	0.1875	0.11575	0.064	0.03175	0.01	0.01525	0.023	0.01275	0.02775	0.016	0.00125	0.0345	0.00625	0.00675	0.037	0.02125	0.015	0.01175	0.0135	0.01625	0.02175	0.02475	0.0025	0.0125	0.02475	0.00225	0.01725	0.02825	0.00575	0.00325	0.02175	0.02975	0.008	0.02425	0.0065	0.09	0.011	0.023	0.1515	0.01125	0.02425	0.04	0.008	0.01525	0.005	0.01875	0.06	0.0205	0.04675	0.018	0.01825	0.028	0.003	0.012	0.017	0.02925	0.01875	0.031	0.019	0.023	0.008	0.0105	0.02725	0.002	0.032	0.0255	0.034	0.01925	0.009	0.02675	0.004	0.01675	0.01725	0.00975	0.01975	0.026	0.01125	0.0295	0.00175	0.0175	0.03	0.02525	0.03025	0.00875	0.02275	0.00375	0.02575	0.02875	0.03075	0.022125	0.01025	0.103	0.00725	0.01475
"k__Bacteria|p__Fusobacteriota|c__Fusobacteriia"	0.0065	0.0075	0.0835	0.1975	0.2265	0.03725	0.04775	0.00325	0.00675	0	0.14525	0.0025	0	0.00025	5e-04	0	0.00575	0.00075	0	0.00475	0.0035	0.01325	0	5e-04	0	0.024	0.20425	0	0.00275	0.0015	0	0	0.013	0.00375	0.0045	0.00325	0	0.002	5e-04	0	0	0	0	0.006	0.003	0	0.00675	0.00075	0.00075	0	0.01325	0	0	0.03725	0.01525	0.109	0.00025	0.0285	0	0.0235	0	5e-04	0	0.0155	0.00125	0.00375	0.01425	0.01775	0.02875	0.001	0.00725	0	0	5e-04	0.01175	0.00175	0.00025	0	0.004	0.00025	0.00125	0.00925	0	0	0	0.00525	0.0015	0.00275	0.00425	0	0	0	0	0.00925	0.012	0.0055	0.0025	0.00025	0	0.00875	0.00025	0.002	0.00475	0.00475	0.00275	0.00075	0.00075	0.0135	0.00625	0.0175	0.01975	0	0	0.01775
"k__Bacteria|p__Actinomycetota|c__Coriobacteriia"	0.003	0.004	0.00575	0.00175	0.001	0.003	0.0025	0.01125	0.00925	0.01325	0.00325	5e-04	0.00025	0.00025	0.00025	0.0045	0.02025	0.00075	0.00075	0.0035	0.00525	0.111	0.0015	0.00225	0.0025	0.00175	0.01275	0	0.00225	0	0.00025	0.00175	0.00275	0.00225	0.00175	0.00125	0.001	0.022	0.00525	0.00275	0.0015	0.007375	0	0.01325	0.00225	0.00025	0.014	0.0035	0	0	0.00475	0.00125	0.00175	0.00325	0.01125	0.016	0.021	0.00625	0.00475	0.00475	5e-04	0.00575	0.03625	0.067	0.0025	0.0095	0.0135	0.0015	0.00125	0.0045	0.00025	0.0055	0	0.00275	0.0015	0.00125	0.00125	0.0025	0.00325	0.00175	0.00075	0.0245	0.001	0	0.002	0.00175	0.02075	0.003	0.00975	0.003	0	0.0035	0.002	0.0625	0.001	0.0085	0.00225	0.0045	0.003	0.007	0.00275	0.001	0.00375	0.00075	0.0025	0.02275	0.002	0.01725	0.001	0.000375	5e-04	0.002	0	0.00525
"k__Bacteria|p__Actinomycetota|c__Actinomycetes"	0	0	0	0	0	0.00025	0	0.00025	0	0.19	0.00025	0	0	0	0	0	0.00025	0.00025	0	0	0.0195	0.15775	0.00575	0	0	0	0	0	0	0.00025	0	0	0	0	0	0.00025	0	0.00025	0	0	0	0.00025	0	0	0	0	0.00025	0	0.10625	0	0.00025	0	0	0	0	0.00025	5e-04	0	0.06025	0	0	0	5e-04	0.00025	0.00025	0	0	0	0	0	0	0.00025	0	0	0	0	0	0	0.00025	0.00025	0	0	0	0.00025	0	0.00025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00025	0	0	0	0	0.00025	0	0.0355	0	0
"k__Bacteria|p__Bacillota|c__Bacilli"	0	0.00075	0	5e-04	0.00525	0	0	0.001	0.0015	0	5e-04	0	0.003	0.01025	0.00025	0	0	0	0.001	0	0	0	0	0	0	0	5e-04	0	0	5e-04	0	0.00075	0	0	0	0.00025	0.00025	0.00125	0	0	0	0.00025	0	0	0	0	0	0	0.186875	0	0.00075	0	0	0.00025	0.00025	0.035	0.00075	0	0	0.0015	0.001	0	0.00175	0.00025	0.00025	0	0	0	0.003	0	5e-04	0	0	0.00025	0	0	0	0.001	0	0	0.00275	0.006	0.002	0	0.00125	0.0125	5e-04	0.007	0.001	0.00125	0	0.00025	0.00025	0.002	0	0.0015	0.00025	5e-04	0	0.00075	0.0055	5e-04	0	0.00125	0	0.00025	0	0	5e-04	0.000125	0.0025	0	0.00025	0
"k__Bacteria|p__Mycoplasmatota|c__Mollicutes"	0	0	0	0.00075	0	0	0.002	0	0.0035	0	0	0	0	0	0	0	0.00025	0	0	0	0	0.007	0	0	0	0.00025	0	0	0	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003	5e-04	0	0	0	0	0	0.00075	0	0	5e-04	0	0	0	0.00075	0	0	0	0	0	0	5e-04	0	0	0	0.002	0	0	0	0.0025	0	0	0	0	0	0	0	0.001	0	0	0.00025	0	0	0	0	5e-04	0	0.001	0	0.00025	0	0	0	0	0	0	0.00025
