"ID"	"Buddy_11"	"Joans_11"	"Padme_11"	"Ginger_14"	"Buddy_16"	"Buddy_17"	"Ivy_17"	"Padme_17"	"Buddy_18"	"Ginger_18"	"Ivy_18"	"Franc_19"	"Ivy_19"	"Ginger_2"	"Ginger_20"	"Buddy_21"	"Joans_21"	"Franc_22"	"Grogu_22"	"Henry_22"	"Joans_22"	"Marshmallow_22"	"Franc_24"	"Ivy_24"	"Marshmallow_24"	"Henry_25"	"Ginger_29"	"Henry_29"	"Joans_29"	"Ginger_36"	"Grogu_36"	"Henry_36"	"Franc_37"	"Grogu_37"	"Grogu_41"	"Joans_41"	"Marshmallow_41"	"Ginger_42"	"Grogu_42"	"Henry_42"	"Ivy_42"	"Buddy_44"	"Franc_44"	"Ginger_44"	"Ivy_44"	"Joans_44"	"Marshmallow_44"	"Buddy_45"	"Franc_45"	"Grogu_45"	"Ivy_45"	"Joans_45"	"Marshmallow_45"	"Buddy_46"	"Charles_46"	"Ivy_46"	"Joans_46"	"Franc_47"	"Ginger_47"	"Marshmallow_47"	"Buddy_48"	"Charles_48"	"Franc_48"	"Grogu_48"	"Ivy_48"	"Joans_48"	"Marshmallow_48"	"Charles_49"	"Franc_49"	"Ginger_49"	"Henry_49"	"Ivy_49"	"Padme_5"	"Buddy_50"	"Charles_50"	"Franc_50"	"Ginger_50"	"Grogu_50"	"Ivy_50"	"Joans_50"	"Charles_51"	"Franc_51"	"Joans_51"	"Buddy_52"	"Ginger_52"	"Grogu_52"	"Marshmallow_52"	"Franc_53"	"Marshmallow_53"	"Charles_55"	"Ginger_55"	"Ivy_55"	"Buddy_56"	"Franc_56"	"Grogu_56"	"Joans_56"	"Buddy_57"	"Joans_57"	"Ginger_58"	"Henry_59"	"Padme_6"	"Joans_60"	"Marshmallow_60"	"Joans_62"	"Henry_66"	"Franc_68"	"Ginger_7"	"Padme_7"	"Grogu_70"	"Charles_9"	"Franc_9"	"Grogu_9"	"Henry_9"	"Ivy_9"
"o__Coriobacteriales"	22	18	8	12	68	18	28	1	1	77	33	20	31	4	37	71	3	12	1	28	19	7	10	115	5	126	4	192	6	95	1	18	74	1	0	3	37	54	10	103	33	64	88	74	34	8	15	3	30	197	44	1	17	52	10	175	4	24	15	14	1	11	30	2	4	7	9	3	13	31	7	14	4	135	9	5	20	2	5	23	50	115	5	54	15	3	65	10	3	526	122	27	13	26	17	5	37	3	5	5	3	3	2	13	342	9	15	2	9	4	1	29	162	28
"o__Bifidobacteriales"	0	0	0	0	1031	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	568	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	197	0	0	0	0	0
"o__Lactobacillales"	3	6	29	2	0	3	0	55	4	25	13	0	51	0	29	4	8	0	0	0	1	3	0	101	5	4	1	6	1	21	0	0	0	0	0	4	0	5	0	7	3	1	46	0	2	4	1	4	0	10	0	0	0	0	1	3	1	0	3	0	1	1	0	0	7	16	0	883	5	1	3	3	13	24	8	8	1	1	2	4	22	3	1	1	1	0	17	1	0	20	10	11	5	1	0	11	3	0	2	14	6	2	1	2	33	0	8	12	0	17	3	0	6	1
"o__Pseudomonadales"	0	0	0	0	13	9	0	0	3	124	293	1	118	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	4	0	0	0	0	0	0	0	0
"o__Pasteurellales"	0	1	0	1	0	8	1	29	3	8	52	0	138	5	2	1	3	0	0	1	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	1	0	1	0	2	4	0	2	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	4	1	0	0	0	0	39	30	0	2	0	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	8	0	0	0	0	19	4	2	0	0	0	0	0	0	5	0	1	1	1	0	20	0	0	2	0	0	5	0
"o__Bacillales"	1	1	0	0	0	1	0	0	2	3	1	0	3	0	5	0	2	0	0	0	0	0	0	38	0	1	0	3	0	1	0	0	0	0	0	0	0	2	0	0	0	0	128	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	4	0	0	0	0	0	1	1	6	0	0	1	0	0	0	2	0	1	3	0	0	0	0	0	2	1	0	1	0	0	0	1	0	0	2	1	0	0	2	8	0	1	0	0	0	0	0	4	0
"o__Anaeroplasmatales"	0	0	0	0	0	0	2	0	0	0	36	0	15	0	0	0	0	0	0	0	0	0	1	17	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	6	0	0	0	0	0	0	4	0	0	0	11	0	0	7	0	0	13	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
"o__Peptostreptococcales"	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0
"o__Neisseriales"	0	0	0	0	0	4	1	0	4	0	0	0	0	2	0	2	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	1	0	1	0
"o__Campylobacterales"	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"o__Cardiobacteriales"	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
