"ID"	"Buddy_11"	"Joans_11"	"Padme_11"	"Ginger_14"	"Buddy_16"	"Buddy_17"	"Ivy_17"	"Padme_17"	"Buddy_18"	"Ginger_18"	"Ivy_18"	"Franc_19"	"Ivy_19"	"Ginger_2"	"Ginger_20"	"Buddy_21"	"Joans_21"	"Franc_22"	"Grogu_22"	"Henry_22"	"Joans_22"	"Marshmallow_22"	"Franc_24"	"Ivy_24"	"Marshmallow_24"	"Henry_25"	"Ginger_29"	"Henry_29"	"Joans_29"	"Ginger_36"	"Grogu_36"	"Henry_36"	"Franc_37"	"Grogu_37"	"Grogu_41"	"Joans_41"	"Marshmallow_41"	"Ginger_42"	"Grogu_42"	"Henry_42"	"Ivy_42"	"Buddy_44"	"Franc_44"	"Ginger_44"	"Ivy_44"	"Joans_44"	"Marshmallow_44"	"Buddy_45"	"Franc_45"	"Grogu_45"	"Ivy_45"	"Joans_45"	"Marshmallow_45"	"Buddy_46"	"Charles_46"	"Ivy_46"	"Joans_46"	"Franc_47"	"Ginger_47"	"Marshmallow_47"	"Buddy_48"	"Charles_48"	"Franc_48"	"Grogu_48"	"Ivy_48"	"Joans_48"	"Marshmallow_48"	"Charles_49"	"Franc_49"	"Ginger_49"	"Henry_49"	"Ivy_49"	"Padme_5"	"Buddy_50"	"Charles_50"	"Franc_50"	"Ginger_50"	"Grogu_50"	"Ivy_50"	"Joans_50"	"Charles_51"	"Franc_51"	"Joans_51"	"Buddy_52"	"Ginger_52"	"Grogu_52"	"Marshmallow_52"	"Franc_53"	"Marshmallow_53"	"Charles_55"	"Ginger_55"	"Ivy_55"	"Buddy_56"	"Franc_56"	"Grogu_56"	"Joans_56"	"Buddy_57"	"Joans_57"	"Ginger_58"	"Henry_59"	"Padme_6"	"Joans_60"	"Marshmallow_60"	"Joans_62"	"Henry_66"	"Franc_68"	"Ginger_7"	"Padme_7"	"Grogu_70"	"Charles_9"	"Franc_9"	"Grogu_9"	"Henry_9"	"Ivy_9"
"c__Negativicutes"	2703	2516	2438	4027	430	2798	2123	5	1519	3538	1761	2957	2749	471	3369	2345	2921	2743	718	2801	2740	2997	2529	5735	1407	1965	4055	2666	2938	2642	412	3193	2650	284	504	2886	138	1664	993	3244	1446	2129	1343	4238	6796	2389	2222	2545	2653	3330	1992	2032	858	1457	2476	4197	2730	3748	4338	1350	1303	2633	2678	313	2769	2970	2685	1115	2650	4708	4123	3500	1422	1833	3848	3365	4463	1404	3959	2105	2938	2766	1767	2631	3860	890	2174	3173	467	2983	8013	2500	1482	2587	640	3464	2286	1351	3987	3811	1027	3705	1518	3865	1438	3122	2705	609	392	2028	979	3097	3155	1540
"c__Gammaproteobacteria"	1227	1518	526	54	28	463	669	5391	3736	213	466	476	369	4527	89	592	1342	115	4402	612	771	1380	260	219	3327	1548	49	581	1553	350	4724	149	133	4921	4715	478	3	1529	3486	45	56	1841	778	3	577	1224	2303	1183	292	1132	965	1049	3949	1729	976	38	887	102	452	3113	3444	752	134	4852	83	525	1894	2816	205	5	43	179	2786	2676	575	116	9	3663	78	503	300	70	624	1619	19	4062	1376	23	4800	65	61	50	3283	67	4324	474	2017	3506	25	50	2678	698	2904	220	133	950	6830	3026	638	2360	4129	227	3761	1884
"c__Bacteroidia"	1017	918	519	451	3141	859	1865	18	29	987	2108	1177	995	279	1432	1018	737	1469	247	1408	1127	672	1644	1642	296	1342	719	1343	485	1262	238	1128	1354	131	117	506	4279	1566	588	1189	3196	943	1390	846	1416	1431	551	1425	1560	427	1649	2010	221	1877	1643	329	1402	921	335	418	384	1251	1712	178	1514	949	298	252	1331	358	823	999	939	380	647	1230	485	133	739	2454	1348	1710	2835	703	811	309	1101	1645	114	1377	1440	1707	303	1477	313	1061	673	334	758	1232	1171	518	605	1040	2643	634	917	980	3666	298	143	1474	2094	1368
"c__Clostridia"	374	386	677	628	64	331	691	13	72	289	474	771	904	69	400	214	275	981	127	487	678	364	824	2110	456	247	579	503	378	819	111	777	1187	150	147	1284	75	374	379	555	455	397	587	252	1868	319	345	207	731	352	636	222	447	260	331	635	340	600	240	512	225	764	781	138	937	743	578	387	1118	363	399	481	281	329	322	612	450	283	589	251	626	628	201	413	645	215	522	555	111	430	1178	1010	336	1173	198	358	337	254	651	156	530	476	415	180	556	632	371	703	30	663	205	490	96	524
"c__Betaproteobacteria"	110	91	53	155	717	225	112	0	133	333	118	71	86	111	56	127	157	153	5	108	39	76	203	182	4	221	91	180	69	268	14	100	68	12	17	255	385	264	44	275	184	35	493	85	285	121	61	132	220	44	193	186	8	104	54	86	136	100	113	90	100	24	154	17	149	212	31	13	170	31	88	287	43	59	83	150	70	11	120	160	175	186	60	50	147	21	229	93	5	52	166	183	60	162	8	122	97	50	70	185	43	95	47	175	166	140	140	56	567	29	39	82	204	151
"c__Fusobacteriia"	41	37	1245	169	0	798	5	1	2	31	473	25	265	36	77	1122	53	15	0	55	118	0	24	820	0	38	2	26	68	41	0	131	33	0	0	78	0	35	0	75	125	85	597	1	2	0	0	0	2	0	2	0	0	20	6	29	0	5	0	0	41	58	0	0	21	64	0	19	1	0	8	30	7	50	6	0	0	0	0	0	31	8	0	21	1	0	0	0	0	40	0	3	12	1	0	2	49	2	0	43	25	0	0	1	179	5	1	110	0	93	0	99	1510	0
"c__Coriobacteriia"	22	18	8	12	68	18	28	1	1	77	33	20	31	4	37	71	3	12	1	28	19	7	10	115	5	126	4	192	6	95	1	18	74	1	0	3	37	54	10	103	33	64	88	74	34	8	15	3	30	197	44	1	17	52	10	175	4	24	15	14	1	11	30	2	4	7	9	3	13	31	7	14	4	135	9	5	20	2	5	23	50	115	5	54	15	3	65	10	3	526	122	27	13	26	17	5	37	3	5	5	3	3	2	13	342	9	15	2	9	4	1	29	162	28
"c__Bacilli"	4	7	29	2	0	4	0	55	6	28	14	0	54	0	34	4	10	0	0	0	1	3	0	139	5	5	1	9	1	22	0	0	0	0	0	4	0	7	0	7	3	1	174	0	7	4	1	5	0	10	0	0	0	0	1	3	1	0	4	1	1	1	0	0	7	20	0	883	5	1	3	4	14	30	8	8	2	1	2	4	24	3	2	4	1	0	17	1	0	22	11	11	6	1	0	11	4	0	2	16	7	2	1	4	41	0	9	12	0	17	3	0	10	1
"c__Actinomycetes"	0	0	0	0	1031	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	568	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	197	0	0	0	0	0
"c__Mollicutes"	0	0	0	0	0	0	2	0	0	0	36	0	15	0	0	0	0	0	0	0	0	0	1	17	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	6	0	0	0	0	0	0	4	0	0	0	11	0	0	7	0	0	13	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
